,yrmts,ppt
214,1912nov,37.09999847
215,1912oct,77.30000305
216,1912sep,122.5999985
217,1913apr,107.4000015
218,1913aug,174.3999939
219,1913dec,24
220,1913feb,37.59999847
221,1913jan,24.5
222,1913jul,192.5
223,1913jun,172.8999939
224,1913mar,68.80000305
225,1913may,157.8999939
226,1913nov,36.70000076
227,1913oct,82.09999847
228,1913sep,128.6999969
229,1914apr,110.1999969
230,1914aug,170
231,1914dec,23.29999924
232,1914feb,37.90000153
233,1914jan,25.70000076
234,1914jul,193.6999969
235,1914jun,174.6000061
236,1914mar,75.80000305
237,1914may,158.5
238,1914nov,38.70000076
239,1914oct,79.80000305
240,1914sep,121.9000015
241,1915apr,111.9000015
242,1915aug,172.6000061
243,1915dec,25.20000076
244,1915feb,37.59999847
245,1915jan,25.79999924
246,1915jul,193.6000061
247,1915jun,176.3000031
248,1915mar,74.19999695
249,1915may,150.1000061
250,1915nov,36.90000153
251,1915oct,84.40000153
252,1915sep,126.1999969
253,1916apr,113
254,1916aug,169.6999969
255,1916dec,24
256,1916feb,39.70000076
257,1916jan,23.60000038
258,1916jul,192.3000031
259,1916jun,174.6000061
260,1916mar,72.59999847
261,1916may,153.6000061
262,1916nov,36.20000076
263,1916oct,77.69999695
264,1916sep,126.5999985
265,1917apr,107.5999985
266,1917aug,173.1000061
267,1917dec,26.79999924
268,1917feb,38.09999847
269,1917jan,24.60000038
270,1917jul,200.6000061
271,1917jun,179.1999969
272,1917mar,66.5
273,1917may,151.1999969
274,1917nov,38.90000153
275,1917oct,87.69999695
276,1917sep,128.1999969
277,1918apr,110.5999985
278,1918aug,169
279,1918dec,24.29999924
280,1918feb,37.09999847
281,1918jan,26.79999924
282,1918jul,189.1999969
283,1918jun,187.8000031
284,1918mar,69.80000305
285,1918may,154.8999939
286,1918nov,36.79999924
287,1918oct,82
288,1918sep,125.3000031
289,1919apr,111.5999985
290,1919aug,168.8000031
291,1919dec,24.79999924
292,1919feb,36.59999847
293,1919jan,26.5
294,1919jul,196.1999969
295,1919jun,176.8999939
296,1919mar,68.19999695
297,1919may,162.3000031
298,1919nov,37.40000153
299,1919oct,78.09999847
300,1919sep,125.0999985
301,1920apr,108.8000031
302,1920aug,172.6999969
303,1920dec,24.79999924
304,1920feb,38.40000153
305,1920jan,27.5
306,1920jul,190.8999939
307,1920jun,178.1000061
308,1920mar,67.59999847
309,1920may,160.1999969
310,1920nov,36.59999847
311,1920oct,76.69999695
312,1920sep,124.1999969
313,1921apr,108.0999985
314,1921aug,167.8999939
315,1921dec,25.70000076
316,1921feb,38.59999847
317,1921jan,25.5
318,1921jul,197.3999939
319,1921jun,177.8000031
320,1921mar,72.09999847
321,1921may,152.6999969
322,1921nov,38.29999924
323,1921oct,82.59999847
324,1921sep,126
325,1922apr,105.8000031
326,1922aug,166.8999939
327,1922dec,24.70000076
328,1922feb,35.79999924
329,1922jan,24.20000076
330,1922jul,198.5
331,1922jun,179.3000031
332,1922mar,66.59999847
333,1922may,159.6999969
334,1922nov,35.40000153
335,1922oct,79.30000305
336,1922sep,130.8000031
337,1923apr,106.6999969
338,1923aug,168.8999939
339,1923dec,24.79999924
340,1923feb,37.90000153
341,1923jan,24.89999962
342,1923jul,192.6999969
343,1923jun,168.5
344,1923mar,73.30000305
345,1923may,156.8999939
346,1923nov,39.59999847
347,1923oct,80.09999847
348,1923sep,128.6999969
349,1924apr,114.0999985
350,1924aug,168.8000031
351,1924dec,23.20000076
352,1924feb,40.40000153
353,1924jan,25.79999924
354,1924jul,194.6000061
355,1924jun,179.1999969
356,1924mar,69.59999847
357,1924may,166.3999939
358,1924nov,37.90000153
359,1924oct,78.30000305
360,1924sep,129.1000061
361,1925apr,109.6999969
362,1925aug,167.1999969
363,1925dec,25.60000038
364,1925feb,38.70000076
365,1925jan,26.20000076
366,1925jul,197.3000031
367,1925jun,180.1000061
368,1925mar,71.59999847
369,1925may,157.8999939
370,1925nov,36.90000153
371,1925oct,80
372,1925sep,120.6999969
373,1926apr,115.8000031
374,1926aug,168.3999939
375,1926dec,24.89999962
376,1926feb,38.79999924
377,1926jan,24.70000076
378,1926jul,198.8000031
379,1926jun,185.3999939
380,1926mar,76.5
381,1926may,160.5
382,1926nov,39.79999924
383,1926oct,82
384,1926sep,122.5999985
385,1927apr,108.5999985
386,1927aug,167.6999969
387,1927dec,24.60000038
388,1927feb,38.20000076
389,1927jan,26.39999962
390,1927jul,196.6000061
391,1927jun,178.1999969
392,1927mar,69.30000305
393,1927may,155.5
394,1927nov,38.09999847
395,1927oct,81.40000153
396,1927sep,123.3000031
397,1928apr,107.3000031
398,1928aug,169.6999969
399,1928dec,24.10000038
400,1928feb,38.29999924
401,1928jan,25.89999962
402,1928jul,194.8000031
403,1928jun,178.3000031
404,1928mar,72.5
405,1928may,162.1999969
406,1928nov,37.09999847
407,1928oct,80.40000153
408,1928sep,126.9000015
409,1929apr,103.6999969
410,1929aug,170.6999969
411,1929dec,26.60000038
412,1929feb,36.70000076
413,1929jan,24.60000038
414,1929jul,194.1000061
415,1929jun,176
416,1929mar,70.69999695
417,1929may,159.6000061
418,1929nov,38.79999924
419,1929oct,83.5
420,1929sep,126.0999985
421,1930apr,107.8000031
422,1930aug,161.1999969
423,1930dec,23.79999924
424,1930feb,41.29999924
425,1930jan,23.70000076
426,1930jul,190.1999969
427,1930jun,178.1999969
428,1930mar,72.30000305
429,1930may,142.3999939
430,1930nov,39.70000076
431,1930oct,78.09999847
432,1930sep,112
433,1931apr,113.6999969
434,1931aug,169.3999939
435,1931dec,22.29999924
436,1931feb,40.20000076
437,1931jan,25.79999924
438,1931jul,206.3000031
439,1931jun,170.8999939
440,1931mar,72.69999695
441,1931may,173.6999969
442,1931nov,34.70000076
443,1931oct,76.30000305
444,1931sep,116.1999969
445,1932apr,99
446,1932aug,163.6000061
447,1932dec,20.20000076
448,1932feb,34.40000153
449,1932jan,23.89999962
450,1932jul,188.3000031
451,1932jun,181.1999969
452,1932mar,73.40000153
453,1932may,154.3999939
454,1932nov,41.20000076
455,1932oct,80
456,1932sep,129.8000031
457,1933apr,107.8000031
458,1933aug,169.6000061
459,1933dec,24.10000038
460,1933feb,33.20000076
461,1933jan,21.70000076
462,1933jul,200.1999969
463,1933jun,169.8000031
464,1933mar,68.09999847
465,1933may,138
466,1933nov,39.29999924
467,1933oct,87.40000153
468,1933sep,115.8000031
469,1934apr,118.0999985
470,1934aug,167.6999969
471,1934dec,25.5
472,1934feb,39.59999847
473,1934jan,27.5
474,1934jul,187.5
475,1934jun,173.6999969
476,1934mar,81.30000305
477,1934may,162.8999939
478,1934nov,38.20000076
479,1934oct,79.19999695
480,1934sep,125.1999969
481,1935apr,103.9000015
482,1935aug,167.6000061
483,1935dec,24.79999924
484,1935feb,37
485,1935jan,24.10000038
486,1935jul,186.3000031
487,1935jun,183.1000061
488,1935mar,58.5
489,1935may,156.5
490,1935nov,34.59999847
491,1935oct,75.09999847
492,1935sep,124.9000015
493,1936apr,111.5
494,1936aug,167.8999939
495,1936dec,23.60000038
496,1936feb,36.29999924
497,1936jan,27.29999924
498,1936jul,193.8999939
499,1936jun,173.3000031
500,1936mar,73.59999847
501,1936may,163.5
502,1936nov,38.20000076
503,1936oct,83.09999847
504,1936sep,124.3000031
505,1937apr,100.9000015
506,1937aug,164.5
507,1937dec,26.79999924
508,1937feb,32.5
509,1937jan,17.20000076
510,1937jul,194.8000031
511,1937jun,172.5
512,1937mar,67.59999847
513,1937may,162.6999969
514,1937nov,38.59999847
515,1937oct,80.19999695
516,1937sep,121.0999985
517,1938apr,103.9000015
518,1938aug,161.5
519,1938dec,26.39999962
520,1938feb,35.70000076
521,1938jan,25.79999924
522,1938jul,195
523,1938jun,182.8999939
524,1938mar,62.5
525,1938may,160.8000031
526,1938nov,34.90000153
527,1938oct,74.80000305
528,1938sep,124.1999969
529,1939apr,119.4000015
530,1939aug,166.8999939
531,1939dec,26.5
532,1939feb,33.40000153
533,1939jan,25.10000038
534,1939jul,193.8000031
535,1939jun,175.8000031
536,1939mar,69.5
537,1939may,161
538,1939nov,38.70000076
539,1939oct,79.40000153
540,1939sep,125.0999985
541,1940apr,109.3000031
542,1940aug,166.3000031
543,1940dec,27
544,1940feb,39.5
545,1940jan,26.79999924
546,1940jul,187.3000031
547,1940jun,188.6000061
548,1940mar,72.59999847
549,1940may,164.8000031
550,1940nov,35.79999924
551,1940oct,78.09999847
552,1940sep,116.1999969
553,1941apr,103.3000031
554,1941aug,159.3999939
555,1941dec,25.5
556,1941feb,39.20000076
557,1941jan,27.10000038
558,1941jul,195.3999939
559,1941jun,167.1999969
560,1941mar,72.19999695
561,1941may,157.6999969
562,1941nov,38.79999924
563,1941oct,75.40000153
564,1941sep,117.5
565,1942apr,99.5
566,1942aug,165.8999939
567,1942dec,25.10000038
568,1942feb,35.29999924
569,1942jan,25.10000038
570,1942jul,194.1000061
571,1942jun,172.3000031
572,1942mar,65
573,1942may,141.5
574,1942nov,36.59999847
575,1942oct,81
576,1942sep,121.5
577,1943apr,109.5999985
578,1943aug,158
579,1943dec,26
580,1943feb,38.40000153
581,1943jan,25.60000038
582,1943jul,191.8000031
583,1943jun,161.5
584,1943mar,70.69999695
585,1943may,163.1000061
586,1943nov,38.79999924
587,1943oct,77.59999847
588,1943sep,128.8999939
589,1944apr,98
590,1944aug,164
591,1944dec,26.39999962
592,1944feb,35.59999847
593,1944jan,24.79999924
594,1944jul,188.1000061
595,1944jun,165.1000061
596,1944mar,71.40000153
597,1944may,157
598,1944nov,35.20000076
599,1944oct,82.80000305
600,1944sep,130
601,1945apr,110.5
602,1945aug,161.8000031
603,1945dec,24.79999924
604,1945feb,39
605,1945jan,25.20000076
606,1945jul,198.1999969
607,1945jun,178.5
608,1945mar,60.20000076
609,1945may,149.8999939
610,1945nov,36.79999924
611,1945oct,83.5
612,1945sep,128
613,1946apr,107.5999985
614,1946aug,164.6999969
615,1946dec,25.10000038
616,1946feb,33
617,1946jan,24.89999962
618,1946jul,189.5
619,1946jun,164.6999969
620,1946mar,65.59999847
621,1946may,156
622,1946nov,34.79999924
623,1946oct,74.19999695
624,1946sep,121
625,1947apr,114.5999985
626,1947aug,155.3999939
627,1947dec,23.70000076
628,1947feb,38.90000153
629,1947jan,22.79999924
630,1947jul,178.3999939
631,1947jun,171.8000031
632,1947mar,72.80000305
633,1947may,170.1999969
634,1947nov,35
635,1947oct,77.30000305
636,1947sep,127.1999969
637,1948apr,89.19999695
638,1948aug,157.8000031
639,1948dec,21
640,1948feb,33.59999847
641,1948jan,27.39999962
642,1948jul,183.6000061
643,1948jun,172.3999939
644,1948mar,59.29999924
645,1948may,139.3999939
646,1948nov,36.29999924
647,1948oct,78.90000153
648,1948sep,120.5999985
649,1949apr,115.5
650,1949aug,154.8000031
651,1949dec,22.89999962
652,1949feb,31.70000076
653,1949jan,18.70000076
654,1949jul,186.1000061
655,1949jun,180.8999939
656,1949mar,64.19999695
657,1949may,156.6000061
658,1949nov,41.09999847
659,1949oct,76.30000305
660,1949sep,125.4000015
661,1950apr,110.5
662,1950aug,167.3999939
663,1950dec,27.10000038
664,1950feb,36.59999847
665,1950jan,20.70000076
666,1950jul,197.6999969
667,1950jun,170
668,1950mar,64
669,1950may,160.1999969
670,1950nov,41.09999847
671,1950oct,78.30000305
672,1950sep,122.3000031
673,1951apr,110
674,1951aug,162.6999969
675,1951dec,24.10000038
676,1951feb,35.59999847
677,1951jan,24.39999962
678,1951jul,186.8999939
679,1951jun,177.5
680,1951mar,66.30000305
681,1951may,158.6000061
682,1951nov,37.09999847
683,1951oct,76.90000153
684,1951sep,126.0999985
685,1952apr,108.4000015
686,1952aug,159.8999939
687,1952dec,23.79999924
688,1952feb,35.70000076
689,1952jan,21.79999924
690,1952jul,198.1000061
691,1952jun,155.8000031
692,1952mar,60.20000076
693,1952may,161.3999939
694,1952nov,36
695,1952oct,85.59999847
696,1952sep,127.9000015
697,1953apr,102.4000015
698,1953aug,155
699,1953dec,27.10000038
700,1953feb,39.20000076
701,1953jan,27.79999924
702,1953jul,197.6999969
703,1953jun,157.1999969
704,1953mar,65.69999695
705,1953may,136.5
706,1953nov,37.40000153
707,1953oct,78.40000153
708,1953sep,128.6000061
709,1954apr,113.9000015
710,1954aug,149.1999969
711,1954dec,22.70000076
712,1954feb,41.20000076
713,1954jan,23.89999962
714,1954jul,190.3000031
715,1954jun,166
716,1954mar,61
717,1954may,161.1000061
718,1954nov,37
719,1954oct,74.69999695
720,1954sep,115.1999969
721,1955apr,87.59999847
722,1955aug,165.8999939
723,1955dec,26.39999962
724,1955feb,33
725,1955jan,21.10000038
726,1955jul,177.6000061
727,1955jun,168.6999969
728,1955mar,65
729,1955may,155.3999939
730,1955nov,35.40000153
731,1955oct,78.80000305
732,1955sep,123.3000031
733,1956apr,104.5999985
734,1956aug,157.3000031
735,1956dec,25.5
736,1956feb,31.5
737,1956jan,24
738,1956jul,188.8000031
739,1956jun,173
740,1956mar,66.30000305
741,1956may,152.6999969
742,1956nov,40
743,1956oct,74.5
744,1956sep,119
745,1957apr,108.9000015
746,1957aug,156.6000061
747,1957dec,25.10000038
748,1957feb,37.90000153
749,1957jan,21
750,1957jul,188.8999939
751,1957jun,185.5
752,1957mar,66.69999695
753,1957may,148.3000031
754,1957nov,35.90000153
755,1957oct,71.19999695
756,1957sep,123.3000031
757,1958apr,105
758,1958aug,175.5
759,1958dec,29.5
760,1958feb,39.09999847
761,1958jan,25.39999962
762,1958jul,189.6000061
763,1958jun,169.1999969
764,1958mar,57.40000153
765,1958may,161.6000061
766,1958nov,39.29999924
767,1958oct,86.09999847
768,1958sep,128.5
769,1959apr,119.9000015
770,1959aug,163.3999939
771,1959dec,26
772,1959feb,34.20000076
773,1959jan,26.20000076
774,1959jul,197.5
775,1959jun,179.6999969
776,1959mar,74.80000305
777,1959may,149.6999969
778,1959nov,39.40000153
779,1959oct,85.69999695
780,1959sep,118.0999985
781,1960apr,103.5999985
782,1960aug,165.1000061
783,1960dec,25.5
784,1960feb,36.40000153
785,1960jan,23.20000076
786,1960jul,199.1000061
787,1960jun,190.6999969
788,1960mar,71.19999695
789,1960may,149.3000031
790,1960nov,34.59999847
791,1960oct,78.30000305
792,1960sep,125.5999985
793,1961apr,108.0999985
794,1961aug,168.8999939
795,1961dec,23.79999924
796,1961feb,38.29999924
797,1961jan,26
798,1961jul,198
799,1961jun,187.5
800,1961mar,63
801,1961may,141.6999969
802,1961nov,36.09999847
803,1961oct,79.80000305
804,1961sep,119.5999985
805,1962apr,115.8000031
806,1962aug,159.3000031
807,1962dec,26.60000038
808,1962feb,33.59999847
809,1962jan,26.39999962
810,1962jul,188.5
811,1962jun,174.1000061
812,1962mar,59.79999924
813,1962may,144.3999939
814,1962nov,39.20000076
815,1962oct,77.69999695
816,1962sep,120
817,1963apr,87.09999847
818,1963aug,160.5
819,1963dec,24.5
820,1963feb,43.90000153
821,1963jan,23.10000038
822,1963jul,178.5
823,1963jun,169.1000061
824,1963mar,61.79999924
825,1963may,150.1999969
826,1963nov,36.20000076
827,1963oct,78.19999695
828,1963sep,126.9000015
829,1964apr,104.0999985
830,1964aug,165.5
831,1964dec,25.5
832,1964feb,38.90000153
833,1964jan,23.5
834,1964jul,188.5
835,1964jun,166.6000061
836,1964mar,64.30000305
837,1964may,143.6999969
838,1964nov,33
839,1964oct,83.69999695
840,1964sep,117.8000031
841,1965apr,102.5
842,1965aug,162.3000031
843,1965dec,21.39999962
844,1965feb,37.70000076
845,1965jan,25.20000076
846,1965jul,185
847,1965jun,163.1999969
848,1965mar,66.80000305
849,1965may,153.1999969
850,1965nov,36.29999924
851,1965oct,83.80000305
852,1965sep,112
853,1966apr,118.8000031
854,1966aug,168.8000031
855,1966dec,24.5
856,1966feb,32.59999847
857,1966jan,23.60000038
858,1966jul,179.1000061
859,1966jun,176.6000061
860,1966mar,66.69999695
861,1966may,163.3999939
862,1966nov,37.5
863,1966oct,81.19999695
864,1966sep,121.3000031
865,1967apr,74
866,1967aug,177.6999969
867,1967dec,23.5
868,1967feb,39.29999924
869,1967jan,25.79999924
870,1967jul,196
871,1967jun,168.1999969
872,1967mar,60.59999847
873,1967may,157.3000031
874,1967nov,41.09999847
875,1967oct,82.19999695
876,1967sep,128.3000031
877,1968apr,111.0999985
878,1968aug,152.3999939
879,1968dec,20.20000076
880,1968feb,40.79999924
881,1968jan,23.29999924
882,1968jul,192.1999969
883,1968jun,182.1999969
884,1968mar,70.59999847
885,1968may,152.1999969
886,1968nov,34.29999924
887,1968oct,75
888,1968sep,122.8000031
889,1969apr,101.1999969
890,1969aug,170.3000031
891,1969dec,26.5
892,1969feb,28.5
893,1969jan,21
894,1969jul,192.1999969
895,1969jun,167.3999939
896,1969mar,64.09999847
897,1969may,164.8999939
898,1969nov,37.59999847
899,1969oct,74
900,1969sep,127
901,1970apr,97.19999695
902,1970aug,162.8000031
903,1970dec,21.60000038
904,1970feb,40
905,1970jan,26.5
906,1970jul,194.1999969
907,1970jun,177.3000031
908,1970mar,71.40000153
909,1970may,166.8000031
910,1970nov,37.29999924
911,1970oct,74.5
912,1970sep,123.5
913,1971apr,97.69999695
914,1971aug,167.6999969
915,1971dec,19.79999924
916,1971feb,36.79999924
917,1971jan,25.20000076
918,1971jul,192.1000061
919,1971jun,166.3999939
920,1971mar,61.20000076
921,1971may,143.8000031
922,1971nov,34.79999924
923,1971oct,71.90000153
924,1971sep,120.1999969
925,1972apr,101.9000015
926,1972aug,166.1000061
927,1972dec,20.10000038
928,1972feb,36.40000153
929,1972jan,21.89999962
930,1972jul,191.3999939
931,1972jun,177.6999969
932,1972mar,74.59999847
933,1972may,159.1999969
934,1972nov,33.79999924
935,1972oct,73.69999695
936,1972sep,115
937,1973apr,113.5999985
938,1973aug,160.3999939
939,1973dec,24.29999924
940,1973feb,37.20000076
941,1973jan,22.5
942,1973jul,193.6000061
943,1973jun,184.5
944,1973mar,61.09999847
945,1973may,171
946,1973nov,33.5
947,1973oct,76.09999847
948,1973sep,119.5
949,1974apr,98.40000153
950,1974aug,165.6999969
951,1974dec,23.79999924
952,1974feb,33.5
953,1974jan,22.5
954,1974jul,187.6999969
955,1974jun,178.1999969
956,1974mar,64.90000153
957,1974may,155.5
958,1974nov,35.70000076
959,1974oct,82.59999847
960,1974sep,130.8000031
961,1975apr,88
962,1975aug,158.6000061
963,1975dec,25.20000076
964,1975feb,33.59999847
965,1975jan,25.10000038
966,1975jul,183
967,1975jun,175.1999969
968,1975mar,61.70000076
969,1975may,160.8000031
970,1975nov,34.29999924
971,1975oct,73.5
972,1975sep,126.8000031
973,1976apr,96.59999847
974,1976aug,152.1999969
975,1976dec,24.5
976,1976feb,35.40000153
977,1976jan,26
978,1976jul,191.5
979,1976jun,174.8999939
980,1976mar,63.29999924
981,1976may,167
982,1976nov,41.40000153
983,1976oct,82.40000153
984,1976sep,121.0999985
985,1977apr,115.9000015
986,1977aug,165.1000061
987,1977dec,26.20000076
988,1977feb,41
989,1977jan,24.79999924
990,1977jul,189.8999939
991,1977jun,187.3000031
992,1977mar,63.29999924
993,1977may,133.3000031
994,1977nov,37.79999924
995,1977oct,79.80000305
996,1977sep,117.1999969
997,1978apr,98.09999847
998,1978aug,168.3000031
999,1978dec,22.10000038
1000,1978feb,37.5
1001,1978jan,26.70000076
1002,1978jul,192.6000061
1003,1978jun,172
1004,1978mar,74.40000153
1005,1978may,161.3999939
1006,1978nov,34.20000076
1007,1978oct,86.19999695
1008,1978sep,118.5
1009,1979apr,102.8000031
1010,1979aug,159.1000061
1011,1979dec,25.5
1012,1979feb,33.90000153
1013,1979jan,23
1014,1979jul,191.6999969
1015,1979jun,179.8000031
1016,1979mar,68.30000305
1017,1979may,164.1999969
1018,1979nov,34.59999847
1019,1979oct,77.59999847
1020,1979sep,128.6000061
1021,1980apr,106.3000031
1022,1980aug,159.1999969
1023,1980dec,25.89999962
1024,1980feb,38.79999924
1025,1980jan,25.29999924
1026,1980jul,189.5
1027,1980jun,154.8999939
1028,1980mar,63.5
1029,1980may,148.1000061
1030,1980nov,38.59999847
1031,1980oct,82.09999847
1032,1980sep,119.5
1033,1981apr,112.3000031
1034,1981aug,168.3000031
1035,1981dec,25.70000076
1036,1981feb,38.79999924
1037,1981jan,26.89999962
1038,1981jul,193.8999939
1039,1981jun,192.6000061
1040,1981mar,66.30000305
1041,1981may,162.6999969
1042,1981nov,38.09999847
1043,1981oct,73
1044,1981sep,125.3000031
1045,1982apr,97.5
1046,1982aug,162.1999969
1047,1982dec,23.60000038
1048,1982feb,37.5
1049,1982jan,21.79999924
1050,1982jul,183.6000061
1051,1982jun,165.3000031
1052,1982mar,60.09999847
1053,1982may,162.6999969
1054,1982nov,32.5
1055,1982oct,74.59999847
1056,1982sep,119
1057,1983apr,92.30000305
1058,1983aug,162
1059,1983dec,25.10000038
1060,1983feb,37.59999847
1061,1983jan,25.70000076
1062,1983jul,176
1063,1983jun,169.1000061
1064,1983mar,64.19999695
1065,1983may,154.1999969
1066,1983nov,33.59999847
1067,1983oct,80.90000153
1068,1983sep,124.1999969
1069,1984apr,101.5999985
1070,1984aug,161.8000031
1071,1984dec,21.79999924
1072,1984feb,35.90000153
1073,1984jan,27.70000076
1074,1984jul,197.8999939
1075,1984jun,173.6000061
1076,1984mar,74.90000153
1077,1984may,164.8000031
1078,1984nov,33
1079,1984oct,70.40000153
1080,1984sep,128.3999939
1081,1985apr,118.8000031
1082,1985aug,155.8999939
1083,1985dec,24.5
1084,1985feb,39.20000076
1085,1985jan,24.20000076
1086,1985jul,196.3999939
1087,1985jun,184.6000061
1088,1985mar,60.5
1089,1985may,151
1090,1985nov,32.09999847
1091,1985oct,78.30000305
1092,1985sep,110.6999969
1093,1986apr,107
1094,1986aug,165.5
1095,1986dec,24.10000038
1096,1986feb,39.29999924
1097,1986jan,27.70000076
1098,1986jul,182.8000031
1099,1986jun,176.3999939
1100,1986mar,75.59999847
1101,1986may,156.3999939
1102,1986nov,39.5
1103,1986oct,78.59999847
1104,1986sep,109.4000015
1105,1987apr,119
1106,1987aug,163.1999969
1107,1987dec,24.29999924
1108,1987feb,37.29999924
1109,1987jan,23.20000076
1110,1987jul,175
1111,1987jun,180.1000061
1112,1987mar,65.90000153
1113,1987may,169
1114,1987nov,36.40000153
1115,1987oct,85.80000305
1116,1987sep,124.0999985
1117,1988apr,109.9000015
1118,1988aug,164.8999939
1119,1988dec,25.10000038
1120,1988feb,41.29999924
1121,1988jan,25.39999962
1122,1988jul,201.8000031
1123,1988jun,169
