Site/Project: McLaughlin 80 sites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment: Temporal stability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date: Data collected 2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data description: results of 80 sites soil analyses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protocols: Analyzed at Western A&L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CVS file & path,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Names of data takers: ?  Data existed before I came into the lab (BFG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Column info: Site, soil, date analyzed, followed by soil metrics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Definitions & Abbreviations: S=Serpentine, NS=Non-serpentine (See Western A&L for variable definitions)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Site,soil,Date_Analysis,Organic_Matter,ENR,Bray P,Olsen P,pH,K,Mg,Ca,Ca_Mg,Na,H,CEC,K_PCT,MG_PCT,CA_PCT,H_PCT,NA_PCT,NO3_N,S,Zinc,Manganese,Iron,Copper,Boron,Cobalt,Nickel,Sol__Salts,SAND,SILT,CLAY,TEXTURE
11,S,9/19/2001,4.1,112,12.5,2.9,6.5,129.8,1426,638.8,0.447966339,13,1.2,16.5,2,70.9,19.3,7.5,0.3,2.9,0.5,1.8,21.6,31.9,1.8,0.3,0.65,14.09,0.2,43.6,33.6,22.8,LOAM
12,S,9/19/2001,2.6,81,8.6,2.9,6.7,39.7,1739,592.4,0.340655549,13.6,0.8,18.2,0.6,78.4,16.2,4.5,0.3,2.7,0,1,20.5,16.5,2.3,0.2,0.87,17.9,0.2,51.2,25.6,23.2,SANDY_CLAY_LOAM
13,S,9/19/2001,3.5,100,8,2.4,7.2,76.3,3038,577.8,0.190190915,15,0,28.1,0.7,88.8,10.3,0,0.2,4.1,0,1.1,16.9,14,1.6,0.2,0.81,31.68,0.2,33.5,20.5,46,CLAY
14,S,9/19/2001,3.1,91,10.7,2.5,6.8,158.1,2416,713.9,0.295488411,14.2,0.7,24.6,1.6,80.6,14.5,3,0.3,3,0,1,14,10,2.9,0.4,0.39,6.81,0.2,22.9,35.7,41.4,CLAY
15,S,9/19/2001,4.4,117,8,1,7.6,108.9,3130,1433,0.457827476,15.9,0,33.2,0.8,77.4,21.5,0,0.2,2.9,0,1,7,5,2.4,0.7,0.29,12.48,0.2,30.8,26,43.2,CLAY
16,S,9/19/2001,2.7,84,8.8,2.1,7.7,207,2297,591.7,0.257596865,18.8,0,22.5,2.4,84.1,13.1,0,0.4,2.7,0,0.5,9,4.3,2.4,0.4,0.26,3.96,0.2,41,17.5,41.5,CLAY
17,NS,9/19/2001,4,111,12.9,14.3,8,154,471.2,3722,7.898981324,14.9,0,22.9,1.7,16.9,81.1,0,0.3,2.6,0,0.4,2.2,2.8,0.7,1.3,0.18,7.92,0.3,61,22.5,16.5,SANDY_LOAM
18,S,9/19/2001,2.9,88,4.5,2.1,7.2,152.9,2148,605.9,0.28207635,13.9,0,21.1,1.8,83.6,14.3,0,0.3,3.4,0,1,14,18,1.2,0.3,0.56,28.71,0.4,54.7,20,25.3,SANDY_CLAY_LOAM
19,S,9/19/2001,5.5,139,8.6,1,7.2,288.3,2131,702.2,0.329516659,13.8,0,21.8,3.4,80.3,16.1,0,0.3,3,0,2.7,31,30,2.3,0.7,1.03,37.09,0.4,25.6,28,46.4,CLAY
20,S,9/19/2001,3.7,103,8.8,1,7.9,209.4,3411,787.9,0.23098798,15,0,32.6,1.6,86.1,12.1,0,0.2,3.2,0,0.9,13,8,2.3,0.7,0.33,11.18,0.3,28,13.3,58.7,CLAY
21,S,9/19/2001,3.7,104,10.4,1,6.9,242.4,1717,738.2,0.429935935,11.1,0.3,18.8,3.3,75.3,19.6,1.5,0.3,2.9,0,1.3,27,19,1.7,0.4,0.86,31.39,0.3,44.7,26.7,28.7,CLAY_LOAM
22,S,9/19/2001,4.2,113,8.3,1,7.2,163.1,1588,775.5,0.488350126,59.3,0,17.6,2.4,74.2,22,0,1.5,3,0,1.2,28,19,2.1,1,0.77,22.52,0.3,54.8,22,23.2,SANDY_CLAY_LOAM
23,S,9/19/2001,3.6,103,6.2,1,6.9,149.2,1777,818.4,0.460551491,135.1,0.3,20,1.9,73.2,20.5,1.5,2.9,3.4,0,1.9,18.5,20.6,1.8,1.2,0.63,23.62,0.3,48.8,24,27.2,SANDY_CLAY_LOAM
24,S,9/19/2001,2.9,87,6.5,1,6.9,179.4,2403,761.2,0.316770703,44.9,0.4,24.6,1.9,80.4,15.5,1.5,0.8,2.7,0,1.4,15.5,15.2,2.1,0.9,0.57,16.99,0.2,40.8,18,41.2,CLAY
25,NS,9/19/2001,3.2,94,4.3,1,6.5,148.4,1910,960.1,0.502670157,19.2,1.7,22.7,1.7,69.3,21.1,7.5,0.4,2.6,0,1,23.9,16.3,3.1,0.4,0.5,9.01,0.2,42.8,20,37.2,CLAY_LOAM
26,S,9/19/2001,3.2,94,4.8,2.3,6.7,134.6,1590,665.4,0.418490566,12.1,0.8,17.6,2,74.4,18.9,4.5,0.3,3.4,0,1.4,18.5,16.2,2.9,0.2,0.98,30.36,0.2,46.8,24,29.2,SANDY_CLAY_LOAM
27,S,9/19/2001,2.2,74,1,1,7,129.7,2287,815.4,0.356536948,14.1,0,23.3,1.4,80.8,17.5,0,0.3,2.6,0,0.6,21,12.7,2.2,0.1,0.66,12.27,0.2,34.8,16,49.2,CLAY
28,S,9/19/2001,2.7,83,2.4,1,6.5,96.2,2748,911.1,0.331550218,14.6,2.2,29.7,0.8,76.1,15.3,7.5,0.2,2.4,0,0.6,16,8,2.4,0.1,0.87,17.83,0.1,36.8,20,43.2,CLAY
29,S,9/19/2001,2.7,83,1,1,7.3,148.1,2723,512.6,0.188248256,15.1,0,25.4,1.5,88.2,10.1,0,0.3,2.3,52,0.4,24.4,6.5,1.3,0.4,0.06,6.62,0.8,56,15,29,SANDY_CLAY_LOAM
30,S,9/19/2001,2.7,83,2.4,1,6.8,217.6,2148,681.7,0.317364991,11.2,0.7,22.3,2.5,79.1,15.2,3,0.2,2.4,0,0.9,14.8,11.2,1.9,0.3,1.12,22.59,0.2,42.8,24,33.2,CLAY_LOAM
31,S,9/19/2001,2.1,71,2.9,1,6.8,182.5,2093,481.9,0.230243669,12.7,0.6,20.8,2.2,82.9,11.6,3,0.3,3.2,0.2,1.2,16.9,10.9,1.8,0.3,0.97,16.43,0.2,46.8,20,33.2,SANDY_CLAY_LOAM
32,S,9/19/2001,2.6,82,2.7,1,7.5,64.8,2135,1635,0.765807963,18.3,0,26,0.6,67.6,31.4,0,0.3,3.4,0,0.6,7.6,4.5,1,0.1,0.49,9.08,0.4,46,25,29,SANDY_CLAY_LOAM
33,S,9/19/2001,2.9,87,1,1,7.5,39.9,3060,431.3,0.140947712,15,0,27.5,0.4,91.6,7.8,0,0.2,2.6,0,0.8,8.1,5.1,0.8,1,0.45,9.63,0.3,42.8,24,33.2,CLAY_LOAM
34,NS,9/19/2001,4.6,121,4.9,20.5,6.1,236.1,1243,2280,1.834271923,21,3.6,25.9,2.3,39.4,43.9,14,0.4,2.4,0,2.4,19.8,31.5,2.7,0.7,0.4,1.52,0.2,28,26.7,45.3,CLAY
35,NS,9/19/2001,5.5,139,10.9,66.1,6.4,289.2,1000,2329,2.329,20,2,22.7,3.3,36.2,51.2,9,0.4,3,0,2.8,23.5,48.1,2.9,0.9,0.35,2.51,0.2,46,25,29,SANDY_CLAY_LOAM
36,NS,9/19/2001,5.8,145,46,18.4,6,412.1,815.1,1868,2.291743344,18.1,3,20.2,5.2,33.2,46.2,15,0.4,3.6,2,2.4,22.1,55.2,1.5,0.5,0.35,1.84,0.3,61,22.5,16.5,SANDY_LOAM
37,NS,9/19/2001,4.9,128,35,25,6.2,297.3,781.5,1919,2.455534229,12.7,2.3,19.1,4,33.6,50.1,12,0.3,3.3,0,3.2,32.1,50.4,1.4,0.5,0.45,4.1,0.3,61,20,19,SANDY_LOAM
38,NS,9/19/2001,2.7,84,31,18,6.3,318.4,222.3,1433,6.446243815,11.4,1.2,11,7.4,16.6,65,10.5,0.5,2.6,0,1.1,30.7,18,0.7,0.3,0.13,0.34,0.1,71,15,14,LOAMY_SAND
39,NS,9/19/2001,3,89,6.1,6.3,6.2,318.5,274.1,1385,5.052900401,12.5,1.4,11.4,7.1,19.8,60.6,12,0.5,2.4,0,1.6,33.3,48.9,1.7,0.2,0.21,0.4,0.1,56.5,27,16.5,SANDY_LOAM
40,NS,9/19/2001,4.3,116,4.9,10.5,5.8,144.5,600.4,2330,3.880746169,16.4,4,21,1.8,23.5,55.4,19,0.3,2.3,0,1.4,35.1,61.3,3.5,0.3,0.26,0.48,0.2,46.5,29.5,24,LOAM
41,NS,9/19/2001,2.2,75,20,10.3,6.3,342.1,130.2,1111,8.533026114,11.2,0.9,8.4,10.4,12.7,65.8,10.5,0.6,3.2,0,0.7,16.3,16.2,0.6,0.2,0.07,0.15,0.1,80.8,6,13.2,LOAMY_SAND
42,NS,9/19/2001,3.3,96,2.9,10.4,7.3,151.6,2851,2741,0.961417047,33.1,0,37.7,1,62.3,36.3,0,0.4,3.3,0,0.7,7.3,6.7,2.6,0.3,0.16,5.54,0.3,31,25,44,CLAY
43,NS,9/19/2001,2.8,87,2.1,10,7.4,124.7,3260,1421,0.435889571,34.9,0,34.4,0.9,78,20.6,0,0.4,3.3,0,0.6,7,5.6,1.9,0.1,0.2,8.89,0.3,31.3,20,48.7,CLAY
44,S,9/19/2001,2.4,79,2,6.9,7.5,46.2,1829,834.3,0.456150902,14.4,0,19.4,0.6,77.6,21.5,0,0.3,2.6,0,0.3,6,6,0.8,1.1,0.28,12.35,0.2,50.8,16,33.2,SANDY_CLAY_LOAM
45,S,9/19/2001,2.6,82,4.9,2.9,7.2,60.2,1124,760.3,0.676423488,9.9,0,13.2,1.2,69.8,28.7,0,0.3,5.8,0,0.7,9.9,10,1.5,0.2,0.66,13.49,0.3,60.8,26,13.2,SANDY_LOAM
46,S,9/19/2001,2,69,4.9,1,7.2,91.9,1728,503.8,0.291550926,11.3,0,17,1.4,83.5,14.8,0,0.3,7.8,0,0.6,10.5,11.9,0.7,0.6,0.51,13.11,0.2,60.8,14,25.2,SANDY_CLAY_LOAM
47,S,9/19/2001,1.3,57,2.7,1,7.4,35.9,1212,982.8,0.810891089,24.3,0,15.1,0.6,66.1,32.5,0,0.7,5.7,0,0.3,5.6,6.2,0.4,1.4,0.12,0.55,0.3,58.5,20,21.5,SANDY_CLAY_LOAM
48,S,9/19/2001,0.8,46,1,1,7.4,27.1,1483,775.6,0.522993931,18.1,0,16.2,0.4,75.2,23.9,0,0.5,2.7,0,0.2,6.4,5,0.5,0.9,0.51,5.8,0.2,58.5,17.5,24,SANDY_CLAY_LOAM
49,S,9/19/2001,1.2,54,1,1,7.5,30.2,1272,1675,1.316823899,11.2,0,18.9,0.4,55.2,44.1,0,0.3,3.6,0,0.3,7.4,3.8,0.5,0.5,0.33,4.9,0.2,61,20,19,SANDY_LOAM
50,NS,9/19/2001,3,90,24.5,16.5,6.5,266.6,421.7,2187,5.186151292,13.5,1.2,16.3,4.2,21.2,66.8,7.5,0.4,2.2,0,1.5,22.4,12.8,1,0.4,0.16,1.58,0.1,46,37.5,16.5,LOAM
51,NS,9/19/2001,2.8,87,26.6,16.9,6.5,185.3,859.5,2267,2.637579988,13.7,1.5,20.4,2.3,34.6,55.3,7.5,0.3,3.4,0,1.2,18.2,16.4,1.4,0.4,0.23,5.27,0.2,56.8,20,23.2,SANDY_CLAY_LOAM
52,NS,9/19/2001,3.4,98,2.9,2.3,6.5,319.3,1778,1413,0.794713161,13.4,1.8,24.4,3.4,60,28.9,7.5,0.2,2.6,0,1.1,8.9,11.7,1.4,0.6,0.28,14.32,0.3,44.7,23.3,32,CLAY_LOAM
53,NS,9/19/2001,5.3,135,24.5,20.6,7.2,249.4,389.5,3242,8.323491656,12.6,0,20.1,3.2,16,80.6,0,0.3,2.2,0,3,12.1,5.6,1.3,0.9,0.17,0.99,0.3,40.8,34,25.2,LOAM
54,NS,9/19/2001,1.9,67,42.4,22.4,6.5,290.5,354.1,2014,5.687658853,17,1.1,14.9,5,19.5,67.5,7.5,0.5,2.4,0,2.4,28.4,11.3,1.7,0.6,0.45,0.8,0.2,34.8,34,31.2,CLAY_LOAM
55,S,9/19/2001,2.4,78,4.1,8.9,6.8,121.1,2778,770.5,0.277357811,19.2,0.8,27.9,1.1,81.8,13.8,3,0.3,2.4,0,0.8,20.6,12.7,1.7,0.2,1.29,19.26,0.2,32.8,24,43.2,CLAY
56,NS,9/19/2001,5.1,133,6.8,4.2,6.4,172.7,533.3,1306,2.448903056,14.2,1.1,12.5,3.5,35,52,9,0.5,2.3,0,3.2,52,17.1,0.8,0.4,0.43,4.49,0.1,42.8,34,23.2,LOAM
57,NS,9/19/2001,3.2,94,4,2.2,6.5,172.3,688.4,1318,1.914584544,20.8,1,13.8,3.2,41,47.6,7.5,0.7,2.3,0,3.3,28.2,13.4,1.2,0.2,0.34,2.24,0.1,36.8,40,23.2,LOAM
58,NS,9/19/2001,4.3,117,10.7,8.1,6.4,251,1276,1898,1.487460815,14.9,2,22.7,2.8,46.2,41.7,9,0.3,2.3,0,2.6,14.1,15.9,1.8,0.3,0.31,2.49,0.2,28,33.3,38.7,CLAY_LOAM
59,NS,9/19/2001,4.5,119,8.6,4,6.4,227.1,759,1320,1.739130435,16.6,1.3,14.8,3.9,42.1,44.5,9,0.5,2.3,0,3.5,28.9,19.3,1.2,0.3,0.56,3.68,0.3,40.8,40,19.2,LOAM
60,NS,9/19/2001,3.9,107,4.8,10.5,6.1,135.4,731.1,1393,1.905348106,14.2,2.2,15.5,2.2,38.7,44.7,14,0.4,2.3,0,1.7,31.2,24,1.1,0.1,0.29,2.81,0.1,50.8,30,19.2,LOAM
61,NS,9/19/2001,3.5,101,10.5,6.5,5.8,253.2,1102,1828,1.658802178,22.7,4.4,23.4,2.8,38.8,39,19,0.4,3.4,0,2.1,20.9,32.2,3.7,0.4,0.46,1.7,0.2,26.8,30,43.2,CLAY
62,NS,9/19/2001,3.1,91,8.2,4.2,5.9,241.1,671.4,2289,3.409294013,18.7,3.6,21.3,2.9,26,53.7,17,0.4,2.3,0,1.7,22.2,38.6,2.3,0.4,0.27,1.51,0.1,40.8,26,33.2,CLAY_LOAM
63,NS,9/19/2001,4.2,115,4.2,12.5,6.1,138.8,1168,1478,1.265410959,23.3,2.8,20.3,1.8,47.4,36.4,14,0.5,2.3,0,1.7,18.3,32.3,2.4,0.4,0.28,2.44,0.2,46.8,30,23.2,LOAM
64,NS,9/19/2001,3.5,101,6.9,10.9,6.1,298,970,2918,3.008247423,15.3,3.8,27.2,2.8,29.4,53.6,14,0.2,2.7,0,1.9,16.4,30.3,3.7,0.5,0.22,1.69,0.4,26.8,28,45.2,CLAY
65,NS,9/19/2001,6.3,156,18.2,18.3,5.8,448.5,1029,1555,1.511175899,17.7,4.1,21.5,5.3,39.3,36,19,0.4,3,0,3.4,17.4,100,2.6,1.1,0.36,3.21,0.2,36.8,26,37.2,CLAY_LOAM
66,NS,9/19/2001,4.8,125,12.1,12.2,5.9,355.3,764,1985,2.598167539,16,3.5,20.7,4.4,30.4,47.9,17,0.3,2.4,0,3.3,20.1,83.9,2.5,0.6,0.34,3.11,0.2,36.8,30,33.2,CLAY_LOAM
67,NS,9/19/2001,6.3,155,14.2,18.6,6.5,268.9,519.5,2111,4.063522618,14.7,1.3,16.8,4.1,25.4,62.6,7.5,0.4,2.6,0,3.3,30.5,32.8,2,0.8,0.37,5.91,0.2,26.8,40,33.2,CLAY_LOAM
68,NS,9/19/2001,4.6,121,4.3,4.8,7.1,134.2,2017,2201,1.091224591,18.4,0,28,1.2,59.3,39.2,0,0.3,2.7,0,1.7,15.8,16.3,1.5,0.5,0.28,14.73,0.2,50.8,20,29.2,SANDY_CLAY_LOAM
69,NS,9/19/2001,3.2,93,2.6,2.2,7.4,61.9,2142,2260,1.055088702,23.4,0,29.2,0.5,60.4,38.7,0,0.3,2.4,0,0.8,6.1,4.2,0.9,0.6,0.18,7.44,0.3,44.8,18,37.2,CLAY_LOAM
70,NS,9/19/2001,3,89,6.9,2.5,6.6,258.8,999.2,3241,3.243594876,16.1,1.6,26.7,2.5,30.7,60.5,6,0.3,2,0,1,14.5,12.4,2.2,0.6,0.25,1.64,0.2,46.8,16,37.2,SANDY_CLAY
71,NS,9/19/2001,2.7,84,24.5,24.8,6.1,193,849.9,2643,3.109777621,17.6,3.4,24.1,2,29,54.7,14,0.3,2,0,1.2,27,31,2.3,0.6,0.18,1.33,0.2,38.5,37.5,24,LOAM
72,NS,9/19/2001,4.5,119,16.9,14.4,5.9,191,482.8,1470,3.044739022,13.4,2.4,14.3,3.4,27.8,51.4,17,0.4,2,3.6,2.6,40,71,1.5,0.2,0.3,3.34,0.2,56.8,26,17.2,SANDY_LOAM
73,NS,9/19/2001,4.5,119,28.1,18.6,6.8,274.9,563.1,2454,4.358018114,9.9,0.5,18.2,3.9,25.5,67.4,3,0.2,2,0,1.8,20,36,1.5,0.4,0.14,2.54,0.4,54.8,26,19.2,SANDY_LOAM
74,NS,9/19/2001,3.2,93,6.7,4.7,6.4,241.2,897.7,1686,1.878133007,13.9,1.6,18.1,3.4,40.8,46.5,9,0.3,5,0,1.6,15.2,23.8,1.6,0.3,0.21,2.27,0.2,56.8,22,21.2,SANDY_CLAY_LOAM
75,NS,9/19/2001,3.3,97,26.1,22.3,6.5,293.8,496,4258,8.584677419,14.1,2.1,28.3,2.7,14.4,75.2,7.5,0.2,4.7,0,2.6,17.6,18.2,1.8,0.4,0.16,0.67,0.1,60.8,16,23.2,SANDY_CLAY_LOAM
76,NS,9/19/2001,4.9,128,26.4,14.2,6.3,200.1,1245,2860,2.297188755,18.2,2.9,28,1.8,36.5,50.9,10.5,0.3,4.3,0,1.9,22,26.7,1.6,0.6,0.17,1.6,0.2,38.8,30,31.2,CLAY_LOAM
77,NS,9/19/2001,4.1,113,12.7,10.9,6.2,254.8,791.3,2150,2.717047896,13.2,2.4,20.4,3.2,31.9,52.6,12,0.3,3.9,0.4,3,23.5,41.5,2.9,0.5,0.23,4.53,0.2,20.8,36,43.2,CLAY
78,NS,9/19/2001,3.7,103,7,10,6,150.8,603.7,1791,2.966705317,15.4,2.5,16.9,2.3,29.4,52.9,15,0.4,3.3,0,2.2,48.7,34.8,2.2,0.4,0.39,25.82,0.1,46.8,30,23.2,LOAM
79,NS,9/19/2001,4.1,112,6.4,2.6,5.7,108,397.4,1388,3.492702567,14.1,2.8,13.3,2.1,24.5,52,21,0.5,2.6,0,2.7,39.1,72.5,2,0.3,0.38,3.38,0.1,52.8,30,17.2,SANDY_LOAM
80,NS,9/19/2001,4,111,8.8,4.2,5.8,154.4,549.6,2164,3.937409025,13.2,3.7,19.5,2,23.2,55.5,19,0.3,3.3,0,2.3,32.7,40.6,1.9,0.2,0.26,1.33,0.2,54.8,22,23.2,SANDY_CLAY_LOAM
