Site,Species_Name,1,2,3,4,5,Notes,,,,,
1,Vicia villosa,21,0.1,,8,,,,,,,
1,Vulpia microstachys,,0.1,,0.1,0.1,,,,,,
1,Vulpia myuros,,,,,,,,,,,
1,Zigadenus fremontii,,,,,,,,,,,
2,Achyrachaena mollis, ,,,,,,,,,,
2,Agoseris heterophylla,,,0.3,0.2,0.2,,,,,,
2,Allium falcifolium,,,1,,,,,,,,
2,Amsinckia menziesii,,,,,,,,,,,
2,Ancistrocarphus filagineus,0.2,,0.1,12,0.1,,,,,,
2,Astragalus gambelianus,,,,,,,,,,,
2,Athysanus pusillus,,,,,,,,,,,
2,Avena fatua,7,,0.1,12,0.1,,,,,,
2,Brodiaea elegans,,,,,,,,,,,
2,Bromus hordeaceus,2,1,,1,5,,,,,,
2,Bromus madritensis,,,,0.3,,,,,,,
2,Calandrinia ciliata,,,,,,,,,,,
2,Calochortus luteus,,,,,,,,,,,
2,Calochortus superbus,,,,,,,,,,,
2,Calochortus vestae,,,,,,,,,,,
2,Calycadenia pauciflora,1,,30,17,,,,,,,
2,Camissonia ovata,,,,,,,,,,,
2,Castilleja rubicundula,0.1,,,,,Not flowering,,,,,
2,Castilleja rubicundula,,,,,,,,,,,
2,Centaurea solstitialis,,,,,,,,,,,
2,Cerastium glomeratum,,,,,,,,,,,
2,Chaenactis glabriuscula,,,0.1,,,,,,,,
2,Chlorogalum pomeridianum,,,,,,,,,,,
2,Clarkia gracilis,0.1,0.1,1,0.3,,Not flowering but developing head - gracilis,,,,,
2,Clarkia purpurea,,,,,,,,,,,
2,Claytonia exigua,,,,,,,,,,,
2,Claytonia parviflora,,,,,,,,,,,
2,Collinsia sparsiflora,0.4,0.8,,,,,,,,,
2,Dichelostemma capitatum,1,2,,,1,,,,,,
2,Elymus elymoides,,,,,,,,,,,
2,Epilobium brachycarpum,,,,,,,,,,,
2,Eremocarpus setigerus,,,,,,,,,,,
2,Eriogonum nudum,,,,,,,,,,,
2,Eriogonum vimineum,,0.3,,0.6,0.2,,,,,,
2,Euphorbia crenulata,,,,,0.2,,,,,,
2,Gilia capitata,,,,,,,,,,,
2,Gilia tricolor,,,,,,,,,,,
2,Hemizonia congesta,13,40,,,3,,,,,,
2,Holocarpha virgata,,,,,0.3,,,,,,
2,Hordeum brachyantherum,6,,,,3,Flowering,,,,,
2,Hordeum marinum,,,,,,,,,,,
2,Hordeum murinum,,,,,,,,,,,
2,Lactuca serriola,0.6,3,,,0.3,,,,,,
2,Lasthenia californica,0.3,,0.3,,,,,,,,
2,Lepidium nitidum,,,,,,,,,,,
2,Lolium multiflorum,4,20,,,55,,,,,,
2,Lotus humistratus,0.2,,0.3,,,,,,,,
2,Lotus wrangelianus,0.2,,,,2,,,,,,
2,Lupinus succulentus,,25,,,,,,,,,
2,Medicago polymorpha,,,,,,,,,,,
2,Microseris douglasii,0.2,,,,,,,,,,
2,Minuartia californica,,,,,,,,,,,
2,Minuartia douglasii,,,0.2,0.2,,,,,,,
2,Nassella pulchra,4,,,2,10,,,,,,
2,Navarretia jepsonii,11,,,,,,,,,,
2,Navarretia pubescens,,,,,,,,,,,
2,Phlox gracilis,,,,,,,,,,,
2,Plantago erecta,1,1,10,5,3,,,,,,
2,Poa secunda,,,,,,,,,,,
2,Ranunculus occidentalis,,,,,,,,,,,
2,Rigiopappus leptocladus,0.2,,0.3,1,,,,,,,
2,Sidalcea diploscypha,,,,,0.4,,,,,,
2,Taeniatherum caput-medusae,,,,,,,,,,,
2,Thysanocarpus curvipes,,,,,,,,,,,
2,Trifolium albopurpureum,,,,,,,,,,,
2,Trifolium fucatum,0.5,0.2,,,0.8,,,,,,
2,Triteleia laxa,,2,,,,,,,,,
2,Uropappus lindleyi,,,,,,,,,,,
2,Vulpia microstachys,7,0.3,5,1,0.3,,,,,,
2,Vulpia myuros,,,,,,,,,,,
2,Zigadenus fremontii,,,,,,,,,,,
3,Agoseris heterophylla,0.1,0.1,,0.1,,in fruit,,,,,
3,Amsinckia menziesii,,0.5,1,0.5,,,,,,,
3,Anagallis arvensis,,,,,0.1,,,,,,
3,Ancistrocarphus filagineus,,,,,,,,,,,
3,Astragalus gambelianus,,,,,,,,,,,
3,Athysanus pusillus,,,0.1,,,,,,,,
3,Avena fatua,0.1,15,5,2,22,,,,,,
3,Brodiaea elegans,,,,0.2,,,,,,,
3,Bromus hordeaceus,,0.3,,0.1,2,,,,,,
3,Bromus madritensis,0.4,6,2,4,,,,,,,
3,Calandrinia ciliata,,,,,,,,,,,
3,Calochortus luteus,,,,,,,,,,,
3,Calochortus vestae,,,,,,,,,,,
3,Calycadenia pauciflora,4,0.1,,1,2,,,,,,
3,Camissonia graciliflora,,,,2,,,,,,,
3,Camissonia ovata,,,,,,,,,,,
3,Castilleja rubicundula,,,,,,,,,,,
3,Centaurea solstitialis,,,,,0.7,,,,,,
3,Chlorogalum pomeridianum,,,,,,,,,,,
3,Chorizanthe membranacea,2,0.1,,,,,,,,,
3,Chorizanthe polygonoides,,,,,,,,,,,
3,Clarkia gracilis,,0.4,6,0.1,,,,,,,
3,Clarkia purpurea,,,,,,,,,,,
3,Collinsia sparsiflora,,,,,,,,,,,
3,Cuscuta californica,,,,,,,,,,,
3,Delphinium variegatum,,,0.1,,,,,,,,
3,Dichelostemma capitatum,,,,,0.4,,,,,,
3,Epilobium brachycarpum,,,,,,,,,,,
3,Eremocarpus setigerus,,,,,,,,,,,
3,Eriogonum nudum,,,,,,,,,,,
3,Eriogonum vimineum,0.1,1,7,0.1,0.3,,,,,,
3,Erodium cicutarium,,,,0.2,,,,,,,
3,Euphorbia crenulata,,,,,,,,,,,
3,Filago gallica,,,,,,,,,,,
3,Gilia tricolor,1,,,0.3,,,,,,,
3,Grindelia camporum,,,,,0.8,,,,,,
3,Hemizonia congesta,,,9,,6,,,,,,
3,Holocarpha virgata,9,17,,,,,,,,,
3,Hypochaeris glabra,,,,,,,,,,,
3,Hypochaeris radicata,,,,,,,,,,,
3,Lactuca serriola,,,0.7,0.1,0.1,,,,,,
3,Lagophylla minor,,,,,,,,,,,
3,Lasthenia californica,,1,5,,,,,,,,
3,Lepidium nitidum,,,,,,,,,,,
3,Lolium multiflorum,,,1,,9,,,,,,
3,Lotus humistratus,0.3,,,,,,,,,,
3,Lotus micranthus,,,,,,,,,,,
3,Lotus purshianus,,,,,5,,,,,,
3,Lotus wrangelianus,0.1,0.3,8,,2,,,,,,
3,Lupinus bicolor,,0.2,,,,,,,,,
3,Lupinus succulentus,,,,,4,,,,,,
3,Medicago polymorpha,,,,,,,,,,,
3,Melilotus indica,,,,,,,,,,,
3,Micropus californicus,0.4,1,0.1,1,,,,,,,
3,Microseris douglasii,,,0.2,,,,,,,,
3,Mimulus douglasii,,,,,,,,,,,
3,Minuartia douglasii,,,,,,,,,,,
3,Nassella pulchra,,,25,,,,,,,,
3,Plantago erecta,14,12,6,8,1,,,,,,
3,Ranunculus occidentalis,,,,,,,,,,,
3,Rigiopappus leptocladus,2,0.7,,0.8,,,,,,,
3,Sidalcea diploscypha,,,2,,0.1,,,,,,
3,Sisyrinchium bellum,,,,,0.5,,,,,,
3,Streptanthus breweri,,,,,,,,,,,
3,Taeniatherum caput-medusae,,,0.5,,1,,,,,,
3,Thysanocarpus curvipes,,,,,,,,,,,
3,Torilis arvensis,,,,,,,,,,,
3,Torilis nodosa,,,,,,,,,,,
3,Trifolium albopurpureum,,,,,,,,,,,
3,Trifolium fucatum,,,,,,,,,,,
3,Trifolium gracilentum,,,,,,,,,,,
3,Trifolium hirtum,,,,0.1,,,,,,,
3,Uropappus lindleyi,,,,,,,,,,,
3,Vulpia microstachys,1,0.3,9,0.1,,,,,,,
3,Vulpia myuros,,,,,,,,,,,
3,Aegilops triuncialis,,,,,0.1,,,,,,
4,Achyrachaena mollis,,,,,,,,,,,
4,Aegilops triuncialis,7,,,65,,,,,,,
4,Agoseris heterophylla,,,,,,,,,,,
4,Anagallis arvensis,,,,0.1,,,,,,,
4,Ancistrocarphus filagineus,,3,,,,,,,,,
4,Astragalus gambelianus,,,,,,,,,,,
4,Athysanus pusillus,,,0.1,,,,,,,,
4,Avena fatua,10,3,3,8,30,,,,,,
4,Bromus hordeaceus,0.4,0.2,0.1,2,2,,,,,,
4,Bromus madritensis,,,,,,,,,,,
4,Calochortus luteus,,,,,,,,,,,
4,Calochortus superbus,,,,,,,,,,,
4,Calycadenia pauciflora,10,6,17,,,,,,,,
4,Camissonia graciliflora,,,,,,,,,,,
4,Castilleja rubicundula,,,,,,,,,,,
4,Centaurea solstitialis,1,,,,,,,,,,
4,Chlorogalum pomeridianum,2,2,0.2,,18,,,,,,
4,Chorizanthe membranacea,0.1,,,,,"small, super long hairs",,,,,
4,Clarkia gracilis,,,,,,,,,,,
4,Clarkia purpurea,,,,,,,,,,,
4,Collinsia sparsiflora,,,,,,,,,,,
4,Delphinium variegatum,,,,,,,,,,,
4,Dichelostemma capitatum,0.3,0.1,0.2,,,,,,,,
4,Epilobium brachycarpum,0.4,0.2,,0.3,,,,,,,
4,Eremocarpus setigerus,,,,,,,,,,,
4,Eriogonum vimineum,1,0.2,,,,,,,,,
4,Euphorbia crenulata,,,,0.1,,,,,,,
4,Filago gallica,,,,,,,,,,,
4,Grindelia camporum,,6,,,,,,,,,
4,Hemizonia congesta,1,0.3,0.4,2,7,,,,,,
4,Hesperolinon californicum,0.1,2,1,6,,,,,,,
4,Holocarpha virgata,,,,,,,,,,,
4,Hypochaeris glabra,,,,,,,,,,,
4,Lactuca serriola,0.3,,,2,1,,,,,,
4,Lagophylla minor,,0.1,0.3,,,,,,,,
4,Lasthenia californica,1,2,0.6,0.2,,,,,,,
4,Lotus humistratus,0.1,,,,,,,,,,
4,Lotus micranthus,,,,,,,,,,,
4,Lotus purshianus,,,,,,,,,,,
4,Lotus wrangelianus,0.5,0.2,1,,0.1,,,,,,
4,Lupinus bicolor,,,,,,,,,,,
4,Melica californica,,,,,,,,,,,
4,Micropus californicus,0.7,,,,,,,,,,
4,Microseris douglasii,,,,,,,,,,,
4,Minuartia douglasii,,,,,,,,,,,
4,Nassella pulchra,10,7,3,5,2,,,,,,
4,Navarretia jepsonii,,,,,,,,,,,
4,Navarretia pubescens,,,,,,,,,,,
4,Phlox gracilis,,,,,,,,,,,
4,Plantago erecta,4,10,6,0.3,,,,,,,
4,Poa secunda,,,,,,,,,,,
4,Rigiopappus leptocladus,,0.1,5,,,,,,,,
4,Sidalcea diploscypha,,,,0.2,,,,,,,
4,Stellaria nitens,,,,,,,,,,,
4,Taeniatherum caput-medusae,2,,,0.1,11,,,,,,
4,Trifolium bifidum,,,0.1,0.7,0.2,,,,,,
4,Trifolium fucatum,,,,,,,,,,,
4,Trifolium gracilentum,,,,,,,,,,,
4,Uropappus lindleyi,,,,,,,,,,,
4,Vulpia microstachys,1,5,8,0.2,0.3,,,,,,
4,Vulpia myuros,,,,,,,,,,,
4,Zigadenus fremontii,,,,0.3,,,,,,,
5,Achyrachaena mollis,,0.4,0.1,,,,,,,,
5,Aegilops triuncialis,6,50,9,5,,,,,,,
5,Agoseris heterophylla,,0.1,,0.1,,,,,,,
5,Anagallis arvensis,,0.3,0.1,2,0.5,,,,,,
5,Ancistrocarphus filagineus,,,,,,,,,,,
5,Avena fatua,23,0.7,40,18,35,,,,,,
5,Brodiaea elegans,,,,,,,,,,,
5,Bromus diandrus,,,,,,,,,,,
5,Bromus hordeaceus,,,0.2,,,,,,,,
5,Bromus japonicus,,,,,,,,,,,
5,Bromus madritensis,,,,,,,,,,,
5,Calochortus luteus,,,,,,,,,,,
5,Calochortus superbus,,,,,,,,,,,
5,Calochortus vestae,,,,,,,,,,,
5,Castilleja rubicundula,,,,,,,,,,,
5,Centaurea solstitialis,,,0.3,20,1,,,,,,
5,Cerastium glomeratum,,,,,,,,,,,
5,Chlorogalum pomeridianum,,0.1,,,3,,,,,,
5,Clarkia gracilis,,,0.3,0.2,,,,,,,
5,Clarkia purpurea,,,,,,,,,,,
5,Collinsia sparsiflora,,,,,,,,,,,
5,Delphinium variegatum,,,,,,,,,,,
5,Dichelostemma capitatum,0.6,0.2,0.2,0.6,1,,,,,,
5,Epilobium brachycarpum,,0.2,,2,,,,,,,
5,Eremocarpus setigerus,,,,,,,,,,,
5,Euphorbia crenulata,,0.5,,,,,,,,,
5,Grindelia camporum,,,0.1,6,9,,,,,,
5,Helianthus exilis,,,,,,,,,,,
5,Hemizonia congesta,11,16,10,8,,,,,,,
5,Holocarpha virgata,,,,,,,,,,,
5,Lactuca serriola,0.1,1,0.2,0.1,2,,,,,,
5,Lasthenia californica,,,,,,,,,,,
5,Lolium multiflorum,,,,,0.2,,,,,,
5,Lomatium marginatum,,,,,,,,,,,
5,Lomatium utriculatum,2,,,,2.5,,,,,,
5,Lotus micranthus,,,,,,,,,,,
5,Lotus purshianus,,,1,6,24,,,,,,
5,Lotus wrangelianus,,0.4,,,,,,,,,
5,Lupinus succulentus,,,,,,,,,,,
5,Medicago polymorpha,,,,,,,,,,,
5,Melilotus indica,,,,,,,,,,,
5,Micropus californicus,,,,,,,,,,,
5,Microseris douglasii,,0.1,,,,,,,,,
5,Nassella pulchra,,8,,,6,,,,,,
5,Perideridia kelloggii,,,,10,,,,,,,
5,Phlox gracilis,,,,,,,,,,,
5,Plantago erecta,,18,,,,,,,,,
5,Poa secunda,,,,,,,,,,,
5,Quercus sp.,,,,,,,,,,,
5,Ranunculus occidentalis,,8,,11,,,,,,,
5,Rigiopappus leptocladus,,,,,,,,,,,
5,Senecio vulgaris,,,,,,,,,,,
5,Sidalcea diploscypha,1,,,,,,,,,,
5,Sisyrinchium bellum,30,15,,,,,,,,,
5,Stellaria nitens,,,,,,,,,,,
5,Taeniatherum caput-medusae,7,0.1,1,,,,,,,,
5,Torilis arvensis,,,,,,,,,,,
5,Trifolium albopurpureum,,,,,,,,,,,
5,Trifolium bifidum,,,,,,,,,,,
5,Trifolium fucatum,,,,,,,,,,,
5,Trifolium gracilentum,0.2,,,0.1,,,,,,,
5,Triteleia laxa,,,,,,,,,,,
5,Vulpia microstachys,1,,2,,,,,,,,
5,Vulpia myuros,,,,,,,,,,,
5,Zigadenus fremontii,,,,,,,,,,,
5,Athysanus pusillus,,0.1,,,,,,,,,
6,Agoseris heterophylla,0.2,,,,0.1,,,,,,
6,Ancistrocarphus filagineus,3.5,,,0.5,,,,,,,
6,Astragalus gambelianus,,,0.2,0.1,,,,,,,
6,Athysanus pusillus,0.1,0.1,0.1,0.1,,,,,,,
6,Avena fatua,,,,,,,,,,,
6,Bromus hordeaceus,,5,0.1,,,,,,,,
6,Calandrinia ciliata,,,,,,,,,,,
6,Calycadenia pauciflora,,,,,,,,,,,
6,Camissonia graciliflora,,,,,,,,,,,
6,Castilleja attenuata,,,,,,,,,,,
6,Chlorogalum pomeridianum,,,,,6,,,,,,
6,Clarkia gracilis,1,,0.8,,1,,,,,,
6,Collinsia sparsiflora,0.3,2,1,0.1,5,,,,,,
6,Dichelostemma capitatum,0.4,0.2,,0.1,0.3,,,,,,
6,Elymus elymoides,,3,,3,,,,,,,
6,Epilobium brachycarpum,,,,,,,,,,,
6,Eremocarpus setigerus,,,,,,,,,,,
6,Eriogonum nudum,2,,,,,,,,,,
6,Eriogonum vimineum,0,7,3,0.2,1,is this baby nudum?,,,,,
6,Erodium cicutarium,,,,,,,,,,,
6,Euphorbia crenulata,,0.3,,,,,,,,,
6,Filago californica,,,,,,,,,,,
6,Grindelia camporum,,,,3,,,,,,,
6,Hemizonia congesta,15,20,1,1,7,,,,,,
6,Hesperolinon californicum,,,,,,,,,,,
6,Holocarpha virgata,,,,,,,,,,,
6,Hordeum brachyantherum,2,,,,0.5,,,,,,
6,Hordeum marinum,,,,,,,,,,,
6,Lactuca serriola,0.3,0.1,0.1,,,,,,,,
6,Lasthenia californica,2.5,0.7,2,10,20,,,,,,
6,Lepidium nitidum,,,,,,,,,,,
6,Linanthus bicolor,,,,,,,,,,,
6,Lolium multiflorum,,,,,,,,,,,
6,Lotus humistratus,,,0.1,,,,,,,,
6,Lotus micranthus,,,,,,,,,,,
6,Melica californica,,,,,,,,,,,
6,Micropus californicus,,,1.5,,,,,,,,
6,Microseris douglasii,0.9,,1,1,1,,,,,,
6,Minuartia californica,,,,,,,,,,,
6,Minuartia douglasii,,,,,,,,,,,
6,Nassella pulchra,10,25,46,30,30,,,,,,
6,Navarretia jepsonii,0.1,,1,,,,,,,,
6,Phlox gracilis,,0.8,0.5,,,,,,,,
6,Plantago erecta,0.2,0.9,0.6,2,4,,,,,,
6,Poa secunda,2,2,,,,,,,,,
6,Rigiopappus leptocladus,,,,,,,,,,,
6,Sagina apetala,,,,,,,,,,,
6,Sidalcea diploscypha,1,0.2,0.1,,3.5,,,,,,
6,Sisyrinchium bellum,,,,,,,,,,,
6,Stellaria nitens,0.1,0.2,0.1,,,,,,,,
6,Trifolium albopurpureum,,,,,,,,,,,
6,Trifolium bifidum,,,,,,,,,,,
6,Trifolium gracilentum,,,,,,,,,,,
6,Vulpia microstachys,25,20,31,22,15,,,,,,
6,Vulpia myuros,,,,,,,,,,,
6,Zigadenus fremontii,0.3,0.9,1,4,2,,,,,,
6,Lotus purshianus,0.2,,0.2,,,,,,,,
7,Achyrachaena mollis,,,,1.8,,,,,,,
7,Aegilops triuncialis,1,,1,,,,,,,,
7,Agoseris heterophylla,1,2,,0.1,1,,,,,,
7,Anagallis arvensis,,,,,,,,,,,
7,Ancistrocarphus filagineus,0.1,,1,,,,,,,,
7,Astragalus breweri,,,,,,,,,,,
7,Astragalus gambelianus,,0.1,,,,,,,,,
7,Athysanus pusillus,,,,,,,,,,,
7,Avena fatua,,,,,,,,,,,
7,Brodiaea elegans,,,,,,,,,,,
7,Bromus hordeaceus,,,,,,,,,,,
7,Bromus madritensis,,,,,,,,,,,
7,Calandrinia ciliata,,,,,,,,,,,
7,Calochortus luteus,,,,,,,,,,,
7,Calochortus superbus,,,,,,,,,,,
7,Calycadenia pauciflora,,,,,5,,,,,,
7,Camissonia graciliflora,2,8,,,,,,,,,
7,Castilleja attenuata,,,,,,,,,,,
7,Castilleja rubicundula,,,,,,,,,,,
7,Centaurium trichanthum,,,,,,,,,,,
7,Clarkia purpurea,2,0.1,,,,,,,,,
7,Collinsia sparsiflora,,,,,,,,,,,
7,Delphinium variegatum,,,,,,,,,,,
7,Dichelostemma capitatum,0.6,0.1,0.2,1,,,,,,,
7,Epilobium brachycarpum,,,,,0.8,,,,,,
7,Eremocarpus setigerus,,,,,0.6,,,,,,
7,Euphorbia crenulata,,0.1,1.2,0.2,,,,,,,
7,Filago gallica,,,,,,,,,,,
7,Fritillaria pluriflora,,,,,,,,,,,
7,Gilia tricolor,,,,,,,,,,,
7,Grindelia camporum,,,,,,,,,,,
7,Hemizonia congesta,,28,70,25,1,,,,,,
7,Holocarpha virgata,13,2,,,15,,,,,,
7,Hordeum marinum,,,,,,,,,,,
7,Hypochaeris glabra,,,,,,,,,,,
7,Lactuca serriola,,,,,,,,,,,
7,Lasthenia californica,0.2,1.5,1.3,9,,,,,,,
7,Linanthus bicolor,,0.1,,0.9,,,,,,,
7,Lolium multiflorum,,,,,,,,,,,
7,Lomatium dasycarpum,,,,,,,,,,,
7,Lotus humistratus,,,,,,,,,,,
7,Lotus wrangelianus,15,0.3,0.1,0.2,0.1,,,,,,
7,Lupinus bicolor,,0.7,,,,,,,,,
7,Medicago polymorpha,,,,,,,,,,,
7,Micropus californicus,27,13,,3,,,,,,,
7,Microseris douglasii,0.1,,,,,,,,,,
7,Mimulus douglasii,,,,,,,,,,,
7,Mimulus guttatus,,,,,,,,,,,
7,Minuartia californica,,,,,,,,,,,
7,Minuartia douglasii,,,,,,,,,,,
7,Nassella pulchra,,,,,,,,,,,
7,Navarretia jepsonii,35,,,,,,,,,,
7,Phlox gracilis,,,,0.2,,,,,,,
7,Plantago erecta,0.1,30,4,80,65,,,,,,
7,Poa secunda,,,,5,5,,,,,,
7,Rigiopappus leptocladus,0.8,,0.2,,0.4,,,,,,
7,Sagina apetala,,,,,,,,,,,
7,Sidalcea diploscypha,,0.4,9,0.3,,,,,,,
7,Silene gallica,,,,,,,,,,,
7,Stellaria nitens,,,,,,,,,,,
7,Taeniatherum caput-medusae,,,,,,,,,,,
7,Trifolium albopurpureum,,,,,,,,,,,
7,Trifolium bifidum,,,,,,,,,,,
7,Trifolium ciliolatum,,,,,,,,,,,
7,Trifolium fucatum,,,,,,,,,,,
7,Trifolium gracilentum,,,,,,,,,,,
7,Trifolium hirtum,,,,,,,,,,,
7,Trifolium microcephalum,,,,,,,,,,,
7,Trifolium microdon,,,,,,,,,,,
7,Trifolium variegatum,,,,,,,,,,,
7,Trifolium willdenovii,,,,,,,,,,,
7,Vulpia microstachys,,2,2,1,,,,,,,
7,Zigadenus fremontii,,0.7,4,7,,,,,,,
7,Clarkia gracilis,,,0.3,0.5,,,,,,,
7,Lomatium utriculatum,,,,,0.1,,,,,,
8,Achyrachaena mollis,,0.1,0.1,,,,,,,,
8,Aegilops triuncialis,,,,,,,,,,,
8,Agoseris heterophylla,0.6,0.2,1,4,18,,,,,,
8,Allium serra,,,,,,,,,,,
8,Anagallis arvensis,,,,,,,,,,,
8,Apocynum cannabinum,,,,,,,,,,,
8,Asclepias eriocarpa,,,3,,,,,,,,
8,Asclepias fascicularis,,,,,,,,,,,
8,Astragalus breweri,,,,,,,,,,,
8,Athysanus pusillus,0.9,,,0.1,0.3,,,,,,
8,Avena fatua,,,,,0.3,,,,,,
8,Brodiaea elegans,,,,,,,,,,,
8,Bromus hordeaceus,,,0.1,2,5,,,,,,
8,Calochortus luteus,,,,,,,,,,,
8,Calochortus superbus,,,,,,,,,,,
8,Camissonia ovata,,,,,,,,,,,
8,Cardamine oligosperma,,,,,,,,,,,
8,Castilleja attenuata,,,,,,,,,,,
8,Castilleja rubicundula,1.7,,,,,,,,,,
8,Cerastium glomeratum,,,,,,,,,,,
8,Clarkia purpurea,0.3,0.2,0.1,0.4,,,,,,,
8,Delphinium variegatum,,,,,,,,,,,
8,Dichelostemma capitatum,,0.5,0.3,0.2,1,,,,,,
8,Elymus elymoides,,,,,,,,,,,
8,Elytrigia repens,,,,,,,,,,,
8,Epilobium brachycarpum,,1,,2,,,,,,,
8,Eremocarpus setigerus,,,,,,,,,,,
8,Erodium brachycarpum,,,,,,,,,,,
8,Erodium cicutarium,,,,,,,,,,,
8,Euphorbia crenulata,13,0.2,,,,,,,,,
8,Filago gallica,,,,,,,,,,,
8,Gastridium ventricosum,,,,,,,,,,,
8,Geranium dissectum,,,0.6,50,,,,,,,
8,Grindelia camporum,13,9,,,,,,,,,
8,Hemizonia congesta,20,25,,30,45,,,,,,
8,Holocarpha virgata,,,13,3,,,,,,,
8,Hordeum marinum,,,,,,,,,,,
8,Hypochaeris glabra,,,0.4,0.7,,,,,,,
8,Lactuca serriola,1,,,,,,,,,,
8,Lasthenia californica,6,13,3,,,,,,,,
8,Lepidium nitidum,,,,,,,,,,,
8,Linanthus bicolor,,,,,,,,,,,
8,Lolium multiflorum,8,6,1,,,,,,,,
8,Lotus wrangelianus,,,,,,,,,,,
8,Lupinus bicolor,0.8,5,1.5,10,22,,,,,,
8,Medicago polymorpha,,,,,,,,,,,
8,Micropus californicus,,,,,,,,,,,
8,Navarretia pubescens,,,,,0.2,,,,,,
8,Nemophila menziesii,,0.2,,,,,,,,,
8,Nemophila pedunculata,,,,,,,,,,,
8,Perideridia kelloggii,4,7,,,,,,,,,
8,Phlox gracilis,,,,,,,,,,,
8,Plantago erecta,,,65,8,,,,,,,
8,Plectritis ciliosa,,4,2,,,,,,,,
8,Poa secunda,8,,,,,,,,,,
8,Ranunculus occidentalis,0.3,0.5,,,1,,,,,,
8,Senecio vulgaris,,,,,2,,,,,,
8,Sidalcea diploscypha,4,,1,,,,,,,,
8,Stellaria nitens,,,,,,,,,,,
8,Taeniatherum caput-medusae,1,,,0.4,3,,,,,,
8,Thysanocarpus curvipes,,,,,,,,,,,
8,Trifolium bifidum,,,,,,,,,,,
8,Trifolium dubium,,,,,,,,,,,
8,Trifolium fucatum,,,,,,,,,,,
8,Trifolium gracilentum,,,,,,,,,,,
8,Trifolium hirtum,,,,14,7,,,,,,
8,Trifolium willdenovii,,,,,,,,,,,
8,Triphysaria eriantha,,,,,,,,,,,
8,Viola douglasii,0.8,,,,,,,,,,
8,Vulpia bromoides,,,,,,,,,,,
8,Vulpia microstachys,,4,3,1,1.5,,,,,,
8,Vulpia myuros,,,,,,,,,,,
8,Wyethia glabra,,10,,,,,,,,,
8,Zigadenus fremontii,,1,,,,,,,,,
9,Achyrachaena mollis,,,,,,,,,,,
9,Aegilops triuncialis,,,,,0.1,pulled,,,,,
9,Agoseris grandiflora,,,,,,,,,,,
9,Agoseris heterophylla,50,25,0.8,,10,,,,,,
9,Anagallis arvensis,,4,,,8,,,,,,
9,Ancistrocarphus filagineus,,10,40,40,5,,,,,,
9,Antirrhinum vexillo-calyculatum,,,,,0.3,,,,,,
9,Asclepias fascicularis,,,,,3,,,,,,
