Site,Soil,Species,Species_new,Species_notes,years,Max(Year),11/1/2012,11/5/2012,11/15/2012,11/27/2012,12/11/2012,12/12/2012,1/14/2013,1/17/2013,1/22/2013,2/5/2013,2/7/2013,1/31/2013,2/11/2013,2/21/2013,2/22/2013,3/4/2013,3/16/2013,3/26/2013,4/12/2013,6/9/2013,9/9/2013,10/4/2013,10/16/2013,11/1/2013,11/13/2013,11/25/2013,12/16/2013,1/3/2014,1/22/2014,5/20/2014,7/22/2014,SUM
2,Serp,Bromus hordeaceus,Bromus hordeaceus,,0,2012,,,,,,,,,,7,,,7,2,6,,,,,,,,,,,,,,,,,22
2,Serp,Bromus madritensis,Bromus madritensis,,0,2012,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,2
2,Serp,Calandrinia ciliata,Calandrinia ciliata,,8,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,Serp,Calochortus luteus,Calochortus luteus,,5,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,Serp,Calochortus superbus,Calochortus superbus,,0,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,Serp,Calochortus vestae,Calochortus vestae,,12,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,Serp,Calycadenia pauciflora,Calycadenia pauciflora,,0,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,Serp,Camissonia ovata,Camissonia ovata,,8,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,Serp,Castilleja attenuata,Castilleja attenuata,,11,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,Serp,Castilleja rubicundula,Castilleja rubicundula,,2,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,Serp,Centaurea solstitialis,Centaurea solstitialis,,9,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,Serp,Cerastium glomeratum,Cerastium glomeratum,,12,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,Serp,Chaenactis glabriuscula,Chaenactis glabriuscula,,1,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,Serp,Chlorogalum pomeridianum,Chlorogalum pomeridianum,,2,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,Serp,Clarkia gracilis,Clarkia gracilis,,0,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,Serp,Clarkia purpurea,Clarkia purpurea,,1,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,Serp,Claytonia exigua,Claytonia exigua,,8,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,Serp,Claytonia parviflora,Claytonia parviflora,,12,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,Serp,Collinsia sparsiflora,Collinsia sparsiflora,,0,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,Serp,Dichelostemma capitatum,Dichelostemma capitatum,,0,2012,,,,,,,,,,6,,,3,1,,,,,,,,,,,,,,,,,,10
2,Serp,Elymus elymoides,Elymus elymoides,,2,2010,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,2
2,Serp,Epilobium brachycarpum,Epilobium brachycarpum,,3,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,Serp,Eriogonum nudum,Eriogonum nudum,,0,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,Serp,Eriogonum vimineum,Eriogonum vimineum,,0,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,Serp,Euphorbia crenulata,Euphorbia crenulata,,0,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,Serp,Gilia capitata,Gilia capitata,,12,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,Serp,Gilia tricolor,Gilia tricolor,,0,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,Serp,Hemizonia congesta,Hemizonia congesta,,0,2012,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,3
2,Serp,Holocarpha virgata,Holocarpha virgata,,0,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,Serp,Hordeum brachyantherum,Hordeum brachyantherum,,0,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,Serp,Hordeum marinum,Hordeum marinum,,12,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,Serp,Hordeum murinum,Hordeum murinum,,7,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,Serp,Lactuca saligna,Lactuca serriola,Merged with serriola and S. olerecea,0,2012,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,4
2,Serp,Lactuca serriola,Lactuca serriola,,0,2012,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,3
2,Serp,Lasthenia californica,Lasthenia californica,,0,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,Serp,Lepidium nitidum,Lepidium nitidum,,4,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,Serp,Lolium multiflorum,Lolium multiflorum,,0,2012,,,,6,,9,25,,,24,,,4,4,6,1,,,,,,1,,,,,,,,,,80
2,Serp,Lotus humistratus,Lotus humistratus,,0,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,Serp,Lotus wrangelianus,Lotus wrangelianus,,0,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,Serp,Lupinus succulentus,Lupinus succulentus,,0,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,Serp,Medicago polymorpha,Medicago polymorpha,,11,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,Serp,Microseris douglasii,Microseris douglasii,,0,2012,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1
2,Serp,Minuartia californica,Minuartia californica,,11,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,Serp,Minuartia douglasii,Minuartia douglasii,,1,2011,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,2
2,Serp,Nassella pulchra,Nassella pulchra,,0,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,Serp,Navarretia jepsonii,Navarretia jepsonii,,0,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,Serp,Navarretia pubescens,Navarretia pubescens,,12,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,Serp,Phlox gracilis,Phlox gracilis,,2,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,Serp,Plantago erecta,Plantago erecta,,0,2012,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
2,Serp,Poa secunda,Poa secunda,,12,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,Serp,Ranunculus occidentalis,Ranunculus occidentalis,,12,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,Serp,Rigiopappus leptocladus,Rigiopappus leptocladus,,1,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,Serp,Sidalcea diploscypha,Sidalcea diploscypha,,0,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,Serp,Sonchus asper,Lactuca serriola,Merged with Lactuca serriola,11,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,Serp,Sonchus oleraceus,Lactuca serriola,Merged with Lactuca serriola,3,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,Serp,Stellaria nitens,Stellaria nitens,,NA,NEW,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,2
2,Serp,Taeniatherum caput-medusae,Taeniatherum caput-medusae,,7,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,Serp,Thysanocarpus curvipes,Thysanocarpus curvipes,,6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,Serp,Trifolium albopurpureum,Trifolium albopurpureum,,0,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,Serp,Trifolium fucatum,Trifolium fucatum,,0,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,Serp,Triteleia laxa,Triteleia laxa,,3,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,Serp,Uropappus lindleyi,Uropappus lindleyi,,5,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,Serp,Vulpia microstachys,Vulpia microstachys,,0,2012,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,13
2,Serp,Vulpia myuros,Vulpia myuros,,2,2010,,,,,,,,,,2,,,,1,1,,,,,,,,,,,,,,,,,4
2,Serp,Zigadenus fremontii,Zigadenus fremontii,,11,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3,Serp,Agoseris heterophylla,Agoseris heterophylla,,0,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3,Serp,Amsinckia menziesii,Amsinckia menziesii,,1,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3,Serp,Anagallis arvensis,Anagallis arvensis,,2,2010,,,,,,,,2,,,1,,,,1,,,,,1,,,,,,,,,,,,5
3,Serp,Ancistrocarphus filagineus,Ancistrocarphus filagineus,,2,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3,Serp,Astragalus gambelianus,Astragalus gambelianus,,3,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3,Serp,Athysanus pusillus,Athysanus pusillus,,0,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3,Serp,Avena barbata,Avena fatua,Merged with Avena fatua,0,2012,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
3,Serp,Avena fatua,Avena fatua,,2,2010,3,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
3,Serp,Brodiaea elegans,Brodiaea elegans,,3,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3,Serp,Bromus hordeaceus,Bromus hordeaceus,,0,2012,,,,,,,,,,,5,,,,1,,,,,,,,,,,,,,,,,6
3,Serp,Bromus madritensis,Bromus madritensis,,0,2012,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,5
3,Serp,Calandrinia ciliata,Calandrinia ciliata,,10,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3,Serp,Calochortus luteus,Calochortus luteus,,6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3,Serp,Calochortus sp.,Calochortus sp.,,0,2012,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1
3,Serp,Calochortus vestae,Calochortus vestae,,12,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3,Serp,Calycadenia pauciflora,Calycadenia pauciflora,,0,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3,Serp,Camissonia graciliflora,Camissonia graciliflora,,1,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3,Serp,Camissonia ovata,Camissonia ovata,,7,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3,Serp,Castilleja rubicundula,Castilleja rubicundula,,2,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3,Serp,Centaurea solstitialis,Centaurea solstitialis,,0,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3,Serp,Chlorogalum pomeridianum,Chlorogalum pomeridianum,,0,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3,Serp,Chorizanthe membranacea,Chorizanthe membranacea,,2,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3,Serp,Chorizanthe polygonoides,Chorizanthe polygonoides,,11,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3,Serp,Clarkia gracilis,Clarkia gracilis,,0,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3,Serp,Clarkia purpurea,Clarkia purpurea,,11,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3,Serp,Collinsia sparsiflora,Collinsia sparsiflora,,1,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3,Serp,Cuscuta californica,Cuscuta californica,,4,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3,Serp,Delphinium variegatum,Delphinium variegatum,,2,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3,Serp,Dichelostemma capitatum,Dichelostemma capitatum,,0,2012,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,6
3,Serp,Epilobium brachycarpum,Epilobium brachycarpum,,5,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3,Serp,Eremocarpus,Eremocarpus setigerus,Changed to E. setigerus,2,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3,Serp,Eremocarpus setigerus,Eremocarpus setigerus,,0,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3,Serp,Eriogonum nudum,Eriogonum nudum,,2,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3,Serp,Eriogonum vimineum,Eriogonum vimineum,,0,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3,Serp,Erodium cicutarium,Erodium cicutarium,,1,2011,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
3,Serp,Euphorbia crenulata,Euphorbia crenulata,,0,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3,Serp,Filago gallica,Filago gallica,,2,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3,Serp,Gilia tricolor,Gilia tricolor,,0,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3,Serp,Grindelia camporum,Grindelia camporum,,0,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3,Serp,Hemizonia congesta,Hemizonia congesta,,0,2012,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3
3,Serp,Holocarpha virgata,Holocarpha virgata,,0,2012,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
3,Serp,Hypochaeris glabra,Hypochaeris glabra,,0,2012,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,3
3,Serp,Hypochaeris radicata,Hypochaeris radicata,,2,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3,Serp,Lactuca saligna,Lactuca serriola,Merge with serriola and S. olerecea,0,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3,Serp,Lactuca serriola,Lactuca serriola,,0,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3,Serp,Lagophylla minor,Lagophylla minor,,1,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3,Serp,Lasthenia californica,Lasthenia californica,,0,2012,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,2
3,Serp,Lepidium nitidum,Lepidium nitidum,,8,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3,Serp,Lolium multiflorum,Lolium multiflorum,,0,2012,,,,5,,,,5,,,4,,,,1,,,,,,,,,,,,,,,,,15
3,Serp,Lotus humistratus,Lotus humistratus,,0,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3,Serp,Lotus micranthus,Lotus micranthus,,3,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3,Serp,Lotus purshianus,Lotus purshianus,,11,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3,Serp,Lotus Purshianus,Lotus purshianus,,1,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3,Serp,Lotus wrangelianus,Lotus wrangelianus,,0,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3,Serp,Lupinus bicolor,Lupinus bicolor,,2,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3,Serp,Lupinus nanus,Lupinus bicolor,Merge with bicolor,12,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3,Serp,Lupinus succulentus,Lupinus succulentus,,3,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3,Serp,Medicago polymorpha,Medicago polymorpha,,11,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3,Serp,Melilotus indica,Melilotus indica,,1,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3,Serp,Micropus californicus,Micropus californicus,,0,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3,Serp,Microseris douglasii,Microseris douglasii,,0,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3,Serp,Mimulus douglasii,Mimulus douglasii,,0,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3,Serp,Minuartia douglasii,Minuartia douglasii,,12,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3,Serp,Nassella pulchra,Nassella pulchra,,0,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3,Serp,Plantago erecta,Plantago erecta,,0,2012,7,,1,,,,,,,,1,,,,,,,,,,,,2,,,,,,,,,11
3,Serp,Ranunculus occidentalis,Ranunculus occidentalis,,0,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3,Serp,Rigiopappus leptocladus,Rigiopappus leptocladus,,0,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3,Serp,Sidalcea diploscypha,Sidalcea diploscypha,,0,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3,Serp,Sisyrinchium bellum,Sisyrinchium bellum,,0,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3,Serp,Sonchus oleraceus,Lactuca serriola,Merge with Lactuca serriola,1,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3,Serp,Streptanthus breweri,Streptanthus breweri,,10,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
