"site","Serpentine","Grass.Forb","Species_Name","Year","Count"
47,"S","Forb","Athysanus pusillus",2014,1
76,"N","Forb","Athysanus pusillus",2014,1
11,"S","Forb","Athysanus pusillus",2014,1
44,"S","Grass","Avena fatua",2014,11
20,"S","Grass","Avena fatua",2014,2
67,"N","Grass","Avena fatua",2014,4
51,"N","Grass","Avena fatua",2014,7
61,"N","Grass","Avena fatua",2012,69
10,"S","Grass","Avena fatua",2012,18
71,"N","Grass","Avena fatua",2014,9
1,"S","Grass","Avena fatua",2012,25
25,"N","Grass","Avena fatua",2012,15
36,"N","Grass","Avena fatua",2012,37
1,"S","Grass","Avena fatua",2014,34
60,"N","Grass","Avena fatua",2014,44
59,"N","Grass","Avena fatua",2014,22
76,"N","Grass","Avena fatua",2014,8
61,"N","Grass","Avena fatua",2014,7
42,"N","Grass","Avena fatua",2014,45
2,"S","Grass","Avena fatua",2012,4
73,"N","Grass","Avena fatua",2014,7
54,"N","Grass","Avena fatua",2012,57
62,"N","Grass","Avena fatua",2012,78
49,"S","Grass","Avena fatua",2012,8
32,"S","Grass","Avena fatua",2012,32
32,"S","Grass","Avena fatua",2014,8
71,"N","Grass","Avena fatua",2012,29
37,"N","Grass","Avena fatua",2012,109
66,"N","Grass","Avena fatua",2012,79
80,"N","Grass","Avena fatua",2012,88
78,"N","Grass","Avena fatua",2014,9
55,"S","Grass","Avena fatua",2012,1
42,"N","Grass","Avena fatua",2012,57
40,"N","Grass","Avena fatua",2012,3
74,"N","Grass","Avena fatua",2012,38
64,"N","Grass","Avena fatua",2014,35
24,"S","Grass","Avena fatua",2012,5
36,"N","Grass","Avena fatua",2014,25
48,"S","Grass","Avena fatua",2014,10
50,"N","Grass","Avena fatua",2014,8
56,"N","Grass","Avena fatua",2014,1
74,"N","Grass","Avena fatua",2014,20
33,"S","Grass","Avena fatua",2012,1
69,"N","Grass","Avena fatua",2012,58
46,"S","Grass","Avena fatua",2014,2
39,"N","Grass","Avena fatua",2014,3
48,"S","Grass","Avena fatua",2012,12
47,"S","Grass","Avena fatua",2014,3
6,"S","Grass","Avena fatua",2014,1
70,"N","Grass","Avena fatua",2012,59
64,"N","Grass","Avena fatua",2012,34
49,"S","Grass","Avena fatua",2014,1
12,"S","Grass","Avena fatua",2012,1
5,"S","Grass","Avena fatua",2012,24
35,"N","Grass","Avena fatua",2014,37
75,"N","Grass","Avena fatua",2012,13
80,"N","Grass","Avena fatua",2014,35
68,"N","Grass","Avena fatua",2012,55
25,"N","Grass","Avena fatua",2014,9
77,"N","Grass","Avena fatua",2014,5
31,"S","Grass","Avena fatua",2012,7
43,"N","Grass","Avena fatua",2014,26
52,"N","Grass","Avena fatua",2012,32
68,"N","Grass","Avena fatua",2014,9
15,"S","Grass","Avena fatua",2012,9
57,"N","Grass","Avena fatua",2012,6
75,"N","Grass","Avena fatua",2014,3
21,"S","Grass","Avena fatua",2012,2
24,"S","Grass","Avena fatua",2014,2
46,"S","Grass","Avena fatua",2012,22
18,"S","Grass","Avena fatua",2012,65
69,"N","Grass","Avena fatua",2014,18
22,"S","Grass","Avena fatua",2012,3
59,"N","Grass","Avena fatua",2012,67
23,"S","Grass","Avena fatua",2014,26
50,"N","Grass","Avena fatua",2012,50
4,"S","Grass","Avena fatua",2014,15
79,"N","Grass","Avena fatua",2012,43
17,"N","Grass","Avena fatua",2012,4
47,"S","Grass","Avena fatua",2012,19
65,"N","Grass","Avena fatua",2014,25
60,"N","Grass","Avena fatua",2012,26
16,"S","Grass","Avena fatua",2014,1
66,"N","Grass","Avena fatua",2014,35
9,"S","Grass","Avena fatua",2012,1
2,"S","Grass","Avena fatua",2014,2
78,"N","Grass","Avena fatua",2012,30
57,"N","Grass","Avena fatua",2014,2
67,"N","Grass","Avena fatua",2012,92
53,"N","Grass","Avena fatua",2014,17
4,"S","Grass","Avena fatua",2012,35
3,"S","Grass","Avena fatua",2014,2
45,"S","Grass","Avena fatua",2012,24
58,"N","Grass","Avena fatua",2014,52
34,"N","Grass","Avena fatua",2014,61
20,"S","Grass","Avena fatua",2012,1
30,"S","Grass","Avena fatua",2012,1
7,"S","Grass","Avena fatua",2012,3
16,"S","Grass","Avena fatua",2012,4
3,"S","Grass","Avena fatua",2012,10
37,"N","Grass","Avena fatua",2014,28
72,"N","Grass","Avena fatua",2014,2
72,"N","Grass","Avena fatua",2012,30
62,"N","Grass","Avena fatua",2014,30
45,"S","Grass","Avena fatua",2014,8
43,"N","Grass","Avena fatua",2012,25
23,"S","Grass","Avena fatua",2012,3
35,"N","Grass","Avena fatua",2012,66
70,"N","Grass","Avena fatua",2014,3
17,"N","Grass","Avena fatua",2014,4
15,"S","Grass","Avena fatua",2014,24
22,"S","Grass","Avena fatua",2014,2
34,"N","Grass","Avena fatua",2012,18
5,"S","Grass","Avena fatua",2014,47
56,"N","Grass","Avena fatua",2012,27
19,"S","Grass","Avena fatua",2012,3
29,"S","Grass","Avena fatua",2012,1
63,"N","Grass","Avena fatua",2012,47
54,"N","Grass","Avena fatua",2014,5
44,"S","Grass","Avena fatua",2012,45
73,"N","Grass","Avena fatua",2012,15
39,"N","Grass","Avena fatua",2012,3
65,"N","Grass","Avena fatua",2012,93
58,"N","Grass","Avena fatua",2012,49
63,"N","Grass","Avena fatua",2014,3
21,"S","Grass","Avena fatua",2014,1
79,"N","Grass","Avena fatua",2014,41
51,"N","Grass","Avena fatua",2012,33
77,"N","Grass","Avena fatua",2012,48
52,"N","Grass","Avena fatua",2014,8
76,"N","Grass","Avena fatua",2012,66
38,"N","Grass","Avena fatua",2012,58
41,"N","Grass","Avena fatua",2012,30
53,"N","Grass","Avena fatua",2012,36
64,"N","Forb","Bellardia trixago",2012,1
34,"N","Forb","Brassica nigra",2014,5
41,"N","Forb","Brassica nigra",2014,4
40,"N","Grass","Briza minor",2014,1
78,"N","Grass","Briza minor",2012,5
59,"N","Grass","Briza minor",2014,3
54,"N","Grass","Briza minor",2014,3
78,"N","Grass","Briza minor",2014,4
63,"N","Forb","Brodiaea elegans",2014,1
54,"N","Grass","Bromus diandrus",2012,6
53,"N","Grass","Bromus diandrus",2012,2
70,"N","Grass","Bromus diandrus",2012,9
48,"S","Grass","Bromus diandrus",2014,1
66,"N","Grass","Bromus diandrus",2012,9
79,"N","Grass","Bromus diandrus",2012,8
48,"S","Grass","Bromus diandrus",2012,1
61,"N","Grass","Bromus diandrus",2012,3
43,"N","Grass","Bromus diandrus",2012,1
40,"N","Grass","Bromus diandrus",2012,1
38,"N","Grass","Bromus diandrus",2012,3
67,"N","Grass","Bromus diandrus",2014,1
69,"N","Grass","Bromus diandrus",2014,2
1,"S","Grass","Bromus diandrus",2012,2
2,"S","Grass","Bromus diandrus",2012,3
79,"N","Grass","Bromus diandrus",2014,23
51,"N","Grass","Bromus diandrus",2014,1
35,"N","Grass","Bromus diandrus",2014,24
60,"N","Grass","Bromus diandrus",2014,11
64,"N","Grass","Bromus diandrus",2012,1
59,"N","Grass","Bromus diandrus",2012,1
65,"N","Grass","Bromus diandrus",2012,9
74,"N","Grass","Bromus diandrus",2012,8
72,"N","Grass","Bromus diandrus",2014,2
76,"N","Grass","Bromus diandrus",2014,2
68,"N","Grass","Bromus diandrus",2014,4
73,"N","Grass","Bromus diandrus",2012,3
34,"N","Grass","Bromus diandrus",2014,11
45,"S","Grass","Bromus diandrus",2012,1
62,"N","Grass","Bromus diandrus",2012,10
71,"N","Grass","Bromus diandrus",2014,2
25,"N","Grass","Bromus diandrus",2014,1
78,"N","Grass","Bromus diandrus",2012,7
74,"N","Grass","Bromus diandrus",2014,5
67,"N","Grass","Bromus diandrus",2012,4
68,"N","Grass","Bromus diandrus",2012,6
50,"N","Grass","Bromus diandrus",2012,4
43,"N","Grass","Bromus diandrus",2014,3
62,"N","Grass","Bromus diandrus",2014,4
71,"N","Grass","Bromus diandrus",2012,5
78,"N","Grass","Bromus diandrus",2014,2
15,"S","Grass","Bromus diandrus",2012,6
65,"N","Grass","Bromus diandrus",2014,3
52,"N","Grass","Bromus diandrus",2014,3
23,"S","Grass","Bromus diandrus",2012,6
77,"N","Grass","Bromus diandrus",2014,9
32,"S","Grass","Bromus diandrus",2012,1
19,"S","Grass","Bromus diandrus",2012,5
56,"N","Grass","Bromus diandrus",2012,2
64,"N","Grass","Bromus diandrus",2014,2
53,"N","Grass","Bromus diandrus",2014,10
36,"N","Grass","Bromus diandrus",2014,4
76,"N","Grass","Bromus diandrus",2012,9
75,"N","Grass","Bromus diandrus",2012,2
54,"N","Grass","Bromus diandrus",2014,1
59,"N","Grass","Bromus diandrus",2014,3
66,"N","Grass","Bromus diandrus",2014,9
72,"N","Grass","Bromus diandrus",2012,3
69,"N","Grass","Bromus diandrus",2012,1
51,"N","Grass","Bromus diandrus",2012,4
41,"N","Grass","Bromus diandrus",2012,7
73,"N","Grass","Bromus diandrus",2014,5
57,"N","Grass","Bromus diandrus",2012,2
12,"S","Grass","Bromus hordeaceus",2012,1
66,"N","Grass","Bromus hordeaceus",2014,2
20,"S","Grass","Bromus hordeaceus",2014,18
17,"N","Grass","Bromus hordeaceus",2012,66
80,"N","Grass","Bromus hordeaceus",2012,37
23,"S","Grass","Bromus hordeaceus",2012,4
76,"N","Grass","Bromus hordeaceus",2014,6
22,"S","Grass","Bromus hordeaceus",2014,14
64,"N","Grass","Bromus hordeaceus",2014,7
46,"S","Grass","Bromus hordeaceus",2014,1
80,"N","Grass","Bromus hordeaceus",2014,3
55,"S","Grass","Bromus hordeaceus",2012,1
28,"S","Grass","Bromus hordeaceus",2014,3
59,"N","Grass","Bromus hordeaceus",2012,1
76,"N","Grass","Bromus hordeaceus",2012,4
25,"N","Grass","Bromus hordeaceus",2012,14
56,"N","Grass","Bromus hordeaceus",2014,6
36,"N","Grass","Bromus hordeaceus",2012,3
78,"N","Grass","Bromus hordeaceus",2014,5
38,"N","Grass","Bromus hordeaceus",2014,3
2,"S","Grass","Bromus hordeaceus",2012,22
40,"N","Grass","Bromus hordeaceus",2012,51
29,"S","Grass","Bromus hordeaceus",2012,10
68,"N","Grass","Bromus hordeaceus",2012,13
57,"N","Grass","Bromus hordeaceus",2012,14
43,"N","Grass","Bromus hordeaceus",2012,15
32,"S","Grass","Bromus hordeaceus",2012,4
24,"S","Grass","Bromus hordeaceus",2012,6
47,"S","Grass","Bromus hordeaceus",2014,11
27,"S","Grass","Bromus hordeaceus",2012,3
1,"S","Grass","Bromus hordeaceus",2012,9
52,"N","Grass","Bromus hordeaceus",2014,5
48,"S","Grass","Bromus hordeaceus",2012,6
70,"N","Grass","Bromus hordeaceus",2012,22
19,"S","Grass","Bromus hordeaceus",2014,7
6,"S","Grass","Bromus hordeaceus",2012,2
61,"N","Grass","Bromus hordeaceus",2012,166
17,"N","Grass","Bromus hordeaceus",2014,6
48,"S","Grass","Bromus hordeaceus",2014,3
61,"N","Grass","Bromus hordeaceus",2014,15
54,"N","Grass","Bromus hordeaceus",2012,10
66,"N","Grass","Bromus hordeaceus",2012,12
41,"N","Grass","Bromus hordeaceus",2014,1
23,"S","Grass","Bromus hordeaceus",2014,12
42,"N","Grass","Bromus hordeaceus",2014,4
69,"N","Grass","Bromus hordeaceus",2012,31
70,"N","Grass","Bromus hordeaceus",2014,5
47,"S","Grass","Bromus hordeaceus",2012,14
35,"N","Grass","Bromus hordeaceus",2014,8
74,"N","Grass","Bromus hordeaceus",2014,8
39,"N","Grass","Bromus hordeaceus",2014,8
50,"N","Grass","Bromus hordeaceus",2014,4
39,"N","Grass","Bromus hordeaceus",2012,23
20,"S","Grass","Bromus hordeaceus",2012,6
41,"N","Grass","Bromus hordeaceus",2012,28
6,"S","Grass","Bromus hordeaceus",2014,1
18,"S","Grass","Bromus hordeaceus",2012,16
63,"N","Grass","Bromus hordeaceus",2012,11
21,"S","Grass","Bromus hordeaceus",2014,1
34,"N","Grass","Bromus hordeaceus",2012,23
75,"N","Grass","Bromus hordeaceus",2014,4
46,"S","Grass","Bromus hordeaceus",2012,15
1,"S","Grass","Bromus hordeaceus",2014,2
44,"S","Grass","Bromus hordeaceus",2012,3
11,"S","Grass","Bromus hordeaceus",2014,11
51,"N","Grass","Bromus hordeaceus",2012,8
78,"N","Grass","Bromus hordeaceus",2012,11
77,"N","Grass","Bromus hordeaceus",2014,8
55,"S","Grass","Bromus hordeaceus",2014,1
57,"N","Grass","Bromus hordeaceus",2014,5
24,"S","Grass","Bromus hordeaceus",2014,29
38,"N","Grass","Bromus hordeaceus",2012,56
71,"N","Grass","Bromus hordeaceus",2012,7
11,"S","Grass","Bromus hordeaceus",2012,46
10,"S","Grass","Bromus hordeaceus",2014,1
64,"N","Grass","Bromus hordeaceus",2012,18
69,"N","Grass","Bromus hordeaceus",2014,2
68,"N","Grass","Bromus hordeaceus",2014,4
15,"S","Grass","Bromus hordeaceus",2014,27
75,"N","Grass","Bromus hordeaceus",2012,13
45,"S","Grass","Bromus hordeaceus",2014,15
25,"N","Grass","Bromus hordeaceus",2014,43
31,"S","Grass","Bromus hordeaceus",2012,4
63,"N","Grass","Bromus hordeaceus",2014,18
53,"N","Grass","Bromus hordeaceus",2014,3
79,"N","Grass","Bromus hordeaceus",2012,55
52,"N","Grass","Bromus hordeaceus",2012,12
71,"N","Grass","Bromus hordeaceus",2014,7
49,"S","Grass","Bromus hordeaceus",2014,8
73,"N","Grass","Bromus hordeaceus",2012,7
79,"N","Grass","Bromus hordeaceus",2014,11
26,"S","Grass","Bromus hordeaceus",2012,15
8,"S","Grass","Bromus hordeaceus",2012,5
56,"N","Grass","Bromus hordeaceus",2012,1
4,"S","Grass","Bromus hordeaceus",2014,3
14,"S","Grass","Bromus hordeaceus",2014,6
65,"N","Grass","Bromus hordeaceus",2012,8
72,"N","Grass","Bromus hordeaceus",2014,7
35,"N","Grass","Bromus hordeaceus",2012,41
40,"N","Grass","Bromus hordeaceus",2014,3
67,"N","Grass","Bromus hordeaceus",2014,3
50,"N","Grass","Bromus hordeaceus",2012,6
37,"N","Grass","Bromus hordeaceus",2012,1
16,"S","Grass","Bromus hordeaceus",2014,20
45,"S","Grass","Bromus hordeaceus",2012,5
72,"N","Grass","Bromus hordeaceus",2012,7
67,"N","Grass","Bromus hordeaceus",2012,1
19,"S","Grass","Bromus hordeaceus",2012,9
59,"N","Grass","Bromus hordeaceus",2014,6
4,"S","Grass","Bromus hordeaceus",2012,5
43,"N","Grass","Bromus hordeaceus",2014,6
58,"N","Grass","Bromus hordeaceus",2012,3
14,"S","Grass","Bromus hordeaceus",2012,3
34,"N","Grass","Bromus hordeaceus",2014,4
77,"N","Grass","Bromus hordeaceus",2012,34
3,"S","Grass","Bromus hordeaceus",2012,6
44,"S","Grass","Bromus hordeaceus",2014,8
10,"S","Grass","Bromus hordeaceus",2012,3
62,"N","Grass","Bromus hordeaceus",2012,21
54,"N","Grass","Bromus hordeaceus",2014,6
2,"S","Grass","Bromus hordeaceus",2014,5
3,"S","Grass","Bromus hordeaceus",2014,1
62,"N","Grass","Bromus hordeaceus",2014,4
22,"S","Grass","Bromus hordeaceus",2012,46
65,"N","Grass","Bromus hordeaceus",2014,3
15,"S","Grass","Bromus hordeaceus",2012,7
73,"N","Grass","Bromus hordeaceus",2014,3
16,"S","Grass","Bromus hordeaceus",2012,4
74,"N","Grass","Bromus hordeaceus",2012,29
21,"S","Grass","Bromus hordeaceus",2012,6
56,"N","Grass","Bromus madritensis",2012,2
49,"S","Grass","Bromus madritensis",2012,27
79,"N","Grass","Bromus madritensis",2012,4
72,"N","Grass","Bromus madritensis",2012,3
49,"S","Grass","Bromus madritensis",2014,2
23,"S","Grass","Bromus madritensis",2014,3
77,"N","Grass","Bromus madritensis",2012,2
58,"N","Grass","Bromus madritensis",2012,2
10,"S","Grass","Bromus madritensis",2012,1
42,"N","Grass","Bromus madritensis",2012,1
48,"S","Grass","Bromus madritensis",2014,1
42,"N","Grass","Bromus madritensis",2014,1
31,"S","Grass","Bromus madritensis",2012,30
76,"N","Grass","Bromus madritensis",2012,4
29,"S","Grass","Bromus madritensis",2012,17
62,"N","Grass","Bromus madritensis",2012,6
69,"N","Grass","Bromus madritensis",2014,1
17,"N","Grass","Bromus madritensis",2014,4
46,"S","Grass","Bromus madritensis",2014,1
46,"S","Grass","Bromus madritensis",2012,2
65,"N","Grass","Bromus madritensis",2012,4
2,"S","Grass","Bromus madritensis",2012,2
35,"N","Grass","Bromus madritensis",2012,6
56,"N","Grass","Bromus madritensis",2014,36
48,"S","Grass","Bromus madritensis",2012,7
18,"S","Grass","Bromus madritensis",2012,19
22,"S","Grass","Bromus madritensis",2014,2
55,"S","Grass","Bromus madritensis",2012,3
3,"S","Grass","Bromus madritensis",2012,5
80,"N","Grass","Bromus madritensis",2012,13
78,"N","Grass","Bromus madritensis",2012,5
28,"S","Grass","Bromus madritensis",2014,5
17,"N","Grass","Bromus madritensis",2012,25
23,"S","Grass","Bromus madritensis",2012,4
31,"S","Grass","Bromus madritensis",2014,10
44,"S","Grass","Bromus madritensis",2014,3
66,"N","Grass","Bromus madritensis",2012,3
54,"N","Grass","Bromus madritensis",2012,12
4,"S","Grass","Bromus madritensis",2012,2
1,"S","Grass","Bromus madritensis",2012,7
51,"N","Grass","Bromus madritensis",2012,1
45,"S","Grass","Bromus madritensis",2012,18
53,"N","Grass","Bromus madritensis",2012,1
2,"S","Grass","Bromus madritensis",2014,4
25,"N","Grass","Bromus madritensis",2012,6
74,"N","Grass","Bromus madritensis",2012,1
32,"S","Grass","Bromus madritensis",2012,1
55,"S","Grass","Bromus madritensis",2014,1
71,"N","Grass","Bromus madritensis",2014,2
16,"S","Grass","Bromus madritensis",2012,2
45,"S","Grass","Bromus madritensis",2014,6
47,"S","Grass","Bromus madritensis",2014,19
28,"S","Grass","Bromus madritensis",2012,2
69,"N","Grass","Bromus madritensis",2012,22
58,"N","Grass","Bromus madritensis",2014,2
70,"N","Grass","Bromus madritensis",2012,7
32,"S","Grass","Bromus madritensis",2014,4
25,"N","Grass","Bromus madritensis",2014,9
68,"N","Grass","Bromus madritensis",2012,3
54,"N","Grass","Bromus madritensis",2014,1
57,"N","Grass","Bromus madritensis",2012,5
44,"S","Grass","Bromus madritensis",2012,3
30,"S","Grass","Bromus madritensis",2014,2
22,"S","Grass","Bromus madritensis",2012,2
29,"S","Grass","Bromus madritensis",2014,9
50,"N","Grass","Bromus madritensis",2012,4
30,"S","Grass","Bromus madritensis",2012,7
65,"N","Grass","Bromus sp.",2012,8
21,"S","Forb","Calandrinia ciliata",2012,1
65,"N","Forb","Calandrinia ciliata",2014,1
13,"S","Forb","Calandrinia ciliata",2014,1
19,"S","Forb","Calandrinia ciliata",2012,6
66,"N","Forb","Calandrinia ciliata",2014,2
18,"S","Forb","Calandrinia ciliata",2014,1
11,"S","Forb","Calandrinia ciliata",2014,1
66,"N","Forb","Calandrinia ciliata",2012,2
18,"S","Forb","Calandrinia ciliata",2012,1
62,"N","Forb","Calandrinia ciliata",2014,1
80,"N","Forb","Calandrinia ciliata",2014,3
19,"S","Forb","Calandrinia ciliata",2014,3
3,"S","Forb","Calochortus luteus",2012,1
2,"S","Forb","Calycadenia pauciflora",2014,1
12,"S","Forb","Calycadenia pauciflora",2014,2
29,"S","Forb","Calycadenia pauciflora",2014,2
45,"S","Forb","Calycadenia pauciflora",2014,7
17,"N","Forb","Calycadenia pauciflora",2014,10
55,"S","Forb","Calycadenia pauciflora",2012,1
55,"S","Forb","Calycadenia pauciflora",2014,14
4,"S","Forb","Calycadenia pauciflora",2014,1
16,"S","Forb","Calycadenia pauciflora",2014,1
48,"S","Forb","Calycadenia pauciflora",2014,1
7,"S","Forb","Camissonia graciliflora",2014,5
65,"N","Forb","Capsella bursa-pastoris",2014,1
8,"S","Forb","Cardamine oligosperma",2014,2
26,"S","Forb","Cardamine oligosperma",2014,1
49,"S","Forb","Cardamine oligosperma",2014,2
73,"N","Forb","Cardamine oligosperma",2014,1
19,"S","Forb","Cardamine oligosperma",2014,2
41,"N","Forb","Cardamine oligosperma",2012,1
8,"S","Forb","Cardamine oligosperma",2012,1
39,"N","Forb","Cardamine oligosperma",2014,2
47,"S","Forb","Cardamine oligosperma",2014,4
51,"N","Forb","Cardamine oligosperma",2014,3
72,"N","Forb","Carduus pycnocephalus",2012,2
74,"N","Forb","Carduus pycnocephalus",2012,5
75,"N","Forb","Carduus pycnocephalus",2012,3
57,"N","Forb","Castilleja attenuata",2014,1
35,"N","Forb","Castilleja attenuata",2014,1
66,"N","Forb","Castilleja attenuata",2014,1
10,"S","Forb","Castilleja attenuata",2012,1
31,"S","Forb","Castilleja attenuata",2014,2
38,"N","Forb","Castilleja attenuata",2014,2
79,"N","Forb","Castilleja attenuata",2014,1
48,"S","Forb","Castilleja attenuata",2014,2
36,"N","Forb","Castilleja attenuata",2012,1
26,"S","Forb","Castilleja attenuata",2014,1
72,"N","Forb","Castilleja attenuata",2012,1
10,"S","Forb","Castilleja attenuata",2014,3
36,"N","Forb","Castilleja attenuata",2014,2
71,"N","Forb","Castilleja attenuata",2014,8
40,"N","Forb","Castilleja attenuata",2014,2
63,"N","Forb","Castilleja attenuata",2014,3
19,"S","Forb","Castilleja attenuata",2014,1
56,"N","Forb","Castilleja attenuata",2014,6
75,"N","Forb","Castilleja densiflora",2014,2
17,"N","Forb","Castilleja densiflora",2012,11
17,"N","Forb","Castilleja densiflora",2014,3
8,"S","Forb","Castilleja densiflora",2012,1
74,"N","Forb","Castilleja densiflora",2014,1
41,"N","Forb","Castilleja densiflora",2014,1
8,"S","Forb","Castilleja rubicundula",2014,3
32,"S","Forb","Castilleja rubicundula",2014,2
14,"S","Forb","Castilleja rubicundula",2014,3
