"Site","Species_Name","Count","Year"
4,"Euphorbia crenulata",4,2012
4,"Lactuca serriola",2,2012
4,"Lasthenia californica",2,2012
4,"Lolium multiflorum",3,2012
4,"Nassella pulchra",8,2012
4,"Plantago erecta",10,2012
4,"Stellaria nitens",4,2012
4,"Taeniatherum caput-medusae",3,2012
4,"Trifolium gracilentum",2,2012
4,"Vulpia microstachys",7,2012
5,"Anagallis arvensis",6,2012
5,"Avena fatua",24,2012
5,"Centaurea solstitialis",3,2012
5,"Cerastium glomeratum",2,2012
5,"Dichelostemma capitatum",7,2012
5,"Euphorbia crenulata",1,2012
5,"Galium murale",1,2012
5,"Juncus bufonius",1,2012
5,"Lactuca serriola",3,2012
5,"Lolium multiflorum",4,2012
5,"Melilotus indica",2,2012
5,"Nassella pulchra",1,2012
5,"Plantago erecta",2,2012
5,"Taeniatherum caput-medusae",5,2012
5,"Vulpia myuros",2,2012
6,"Astragalus gambelianus",1,2012
6,"Athysanus pusillus",1,2012
6,"Bromus hordeaceus",2,2012
6,"Dichelostemma capitatum",3,2012
6,"Elymus elymoides",1,2012
6,"Eriogonum vimineum",9,2012
6,"Hemizonia congesta",2,2012
6,"Lactuca serriola",4,2012
6,"Lasthenia californica",18,2012
6,"Nassella pulchra",4,2012
6,"Plantago erecta",1,2012
6,"Sidalcea diploscypha",1,2012
6,"Stellaria nitens",3,2012
6,"Vulpia microstachys",4,2012
7,"Achyrachaena mollis",1,2012
7,"Agoseris heterophylla",2,2012
7,"Astragalus breweri",1,2012
7,"Athysanus pusillus",2,2012
7,"Avena fatua",3,2012
7,"Dichelostemma capitatum",1,2012
7,"Epilobium brachycarpum",1,2012
7,"Hemizonia congesta",2,2012
7,"Holocarpha virgata",4,2012
7,"Hypochaeris glabra",1,2012
7,"Lactuca serriola",2,2012
7,"Lasthenia californica",1,2012
7,"Linanthus bicolor",5,2012
7,"Lotus humistratus",3,2012
7,"Lotus wrangelianus",7,2012
7,"Micropus californicus",1,2012
7,"Microseris douglasii",2,2012
7,"Mimulus guttatus",5,2012
7,"Plantago erecta",4,2012
7,"Sidalcea diploscypha",2,2012
7,"Stellaria nitens",2,2012
7,"Trifolium fucatum",7,2012
7,"Vulpia microstachys",12,2012
7,"Vulpia myuros",1,2012
8,"Agoseris heterophylla",1,2012
8,"Bromus hordeaceus",5,2012
8,"Cardamine oligosperma",1,2012
8,"Castilleja densiflora",1,2012
8,"Dichelostemma capitatum",2,2012
8,"Eremocarpus setigerus",2,2012
8,"Euphorbia crenulata",1,2012
8,"Filago gallica",1,2012
8,"Geranium dissectum",9,2012
8,"Hemizonia congesta",11,2012
8,"Holocarpha virgata",1,2012
8,"Hypochaeris glabra",2,2012
8,"Juncus bufonius",3,2012
8,"Lactuca serriola",5,2012
8,"Lasthenia californica",4,2012
8,"Linanthus bicolor",2,2012
8,"Lolium multiflorum",33,2012
8,"Lupinus bicolor",1,2012
8,"Medicago polymorpha",3,2012
8,"Nassella pulchra",4,2012
8,"Taeniatherum caput-medusae",1,2012
8,"Trifolium dubium",1,2012
8,"Trifolium fucatum",2,2012
8,"Trifolium gracilentum",1,2012
8,"Trifolium hirtum",1,2012
8,"Vulpia myuros",8,2012
9,"Agoseris heterophylla",2,2012
9,"Anagallis arvensis",41,2012
9,"Avena fatua",1,2012
9,"Centaurium trichanthum",1,2012
9,"Cerastium glomeratum",1,2012
9,"Juncus bufonius",3,2012
9,"Lactuca serriola",2,2012
9,"Lolium multiflorum",2,2012
9,"Lotus humistratus",1,2012
9,"Mimulus guttatus",5,2012
9,"Trifolium fucatum",1,2012
9,"Vulpia microstachys",1,2012
10,"Amsinckia menziesii",2,2012
10,"Avena fatua",18,2012
10,"Bromus hordeaceus",3,2012
10,"Bromus madritensis",1,2012
10,"Castilleja attenuata",1,2012
10,"Centaurium trichanthum",5,2012
10,"Holocarpha virgata",1,2012
10,"Hypochaeris glabra",3,2012
10,"Juncus bufonius",11,2012
10,"Lasthenia californica",1,2012
10,"Linanthus bicolor",2,2012
10,"Lotus wrangelianus",21,2012
10,"Microseris douglasii",1,2012
10,"Plantago erecta",39,2012
10,"Poa secunda",10,2012
10,"Taeniatherum caput-medusae",3,2012
10,"Trifolium hirtum",1,2012
10,"Vulpia microstachys",1,2012
11,"Agoseris heterophylla",3,2012
11,"Athysanus pusillus",3,2012
11,"Bromus hordeaceus",46,2012
11,"Clarkia purpurea",2,2012
11,"Gastridium ventricosum",4,2012
11,"Githopsis specularioides",1,2012
11,"Hemizonia congesta",6,2012
11,"Lactuca serriola",2,2012
11,"Lasthenia californica",1,2012
11,"Linanthus bicolor",5,2012
11,"Lolium multiflorum",18,2012
11,"Lotus humistratus",2,2012
11,"Lotus wrangelianus",2,2012
11,"Micropus californicus",1,2012
11,"Plantago erecta",6,2012
11,"Sagina apetala",13,2012
11,"Taeniatherum caput-medusae",27,2012
11,"Trifolium albopurpureum",1,2012
11,"Vulpia microstachys",13,2012
11,"Vulpia myuros",1,2012
12,"Avena fatua",1,2012
12,"Bromus hordeaceus",1,2012
12,"Delphinium variegatum",1,2012
12,"Dichelostemma capitatum",1,2012
12,"Hemizonia congesta",29,2012
12,"Holocarpha virgata",4,2012
12,"Lasthenia californica",2,2012
12,"Micropus californicus",12,2012
12,"Microseris douglasii",3,2012
12,"Minuartia californica",2,2012
12,"Navarretia jepsonii",2,2012
12,"Plantago erecta",14,2012
12,"Taeniatherum caput-medusae",33,2012
12,"Vulpia microstachys",16,2012
13,"Athysanus pusillus",1,2012
13,"Dichelostemma capitatum",1,2012
13,"Filago gallica",1,2012
13,"Lagophylla minor",2,2012
13,"Lasthenia californica",4,2012
13,"Lotus humistratus",3,2012
13,"Plantago erecta",8,2012
13,"Stellaria nitens",1,2012
13,"Trifolium albopurpureum",1,2012
14,"Achyrachaena mollis",1,2012
14,"Anagallis arvensis",1,2012
14,"Bromus hordeaceus",3,2012
14,"Collinsia sparsiflora",5,2012
14,"Dichelostemma capitatum",3,2012
14,"Galium murale",2,2012
14,"Hemizonia congesta",3,2012
14,"Lagophylla minor",1,2012
14,"Lasthenia californica",2,2012
14,"Lolium multiflorum",12,2012
14,"Lotus humistratus",2,2012
14,"Microseris douglasii",1,2012
14,"Navarretia jepsonii",1,2012
14,"Rigiopappus leptocladus",2,2012
14,"Senecio vulgaris",1,2012
14,"Stellaria nitens",2,2012
14,"Taeniatherum caput-medusae",5,2012
14,"Trifolium bifidum",6,2012
14,"Trifolium fucatum",4,2012
14,"Trifolium gracilentum",14,2012
14,"Vulpia microstachys",4,2012
14,"Vulpia myuros",1,2012
15,"Agoseris heterophylla",1,2012
15,"Avena fatua",9,2012
15,"Bromus diandrus",6,2012
15,"Bromus hordeaceus",7,2012
15,"Erodium brachycarpum",1,2012
15,"Erodium cicutarium",6,2012
15,"Euphorbia crenulata",2,2012
15,"Filago gallica",3,2012
15,"Hemizonia congesta",4,2012
15,"Hypochaeris glabra",35,2012
15,"Juncus bufonius",2,2012
15,"Lactuca serriola",2,2012
15,"Lasthenia californica",3,2012
15,"Lolium multiflorum",50,2012
15,"Medicago polymorpha",1,2012
15,"Micropus californicus",6,2012
15,"Plantago erecta",1,2012
15,"Sagina apetala",1,2012
15,"Silene gallica",3,2012
15,"Sisyrinchium bellum",1,2012
15,"Taeniatherum caput-medusae",38,2012
15,"Trifolium gracilentum",2,2012
15,"Vulpia microstachys",9,2012
15,"Vulpia myuros",3,2012
16,"Avena fatua",4,2012
16,"Bromus hordeaceus",4,2012
16,"Bromus madritensis",2,2012
16,"Clarkia gracilis",1,2012
16,"Hemizonia congesta",1,2012
16,"Lolium multiflorum",35,2012
16,"Lotus wrangelianus",1,2012
16,"Plantago erecta",7,2012
16,"Poa secunda",4,2012
16,"Quercus durata",1,2012
16,"Senecio vulgaris",1,2012
16,"Vulpia microstachys",4,2012
17,"Astragalus gambelianus",2,2012
17,"Avena fatua",4,2012
17,"Bromus hordeaceus",66,2012
17,"Bromus madritensis",25,2012
17,"Castilleja densiflora",11,2012
17,"Crassula connata",29,2012
17,"Erodium brachycarpum",1,2012
17,"Erodium cicutarium",122,2012
17,"Geranium dissectum",1,2012
17,"Gilia tricolor",3,2012
17,"Grindelia camporum",1,2012
17,"Lepidium nitidum",1,2012
17,"Lolium multiflorum",3,2012
17,"Lupinus bicolor",1,2012
17,"Medicago polymorpha",1,2012
17,"Melilotus indica",1,2012
17,"Nassella pulchra",4,2012
17,"Plantago erecta",2,2012
17,"Sagina apetala",14,2012
17,"Taeniatherum caput-medusae",2,2012
17,"Trifolium fucatum",3,2012
17,"Velezia rigida",75,2012
17,"Vulpia myuros",21,2012
18,"Avena fatua",65,2012
18,"Bromus hordeaceus",16,2012
18,"Bromus madritensis",19,2012
18,"Calandrinia ciliata",1,2012
18,"Lolium multiflorum",5,2012
18,"Lotus humistratus",1,2012
18,"Microseris douglasii",1,2012
18,"Navarretia jepsonii",2,2012
18,"Plantago erecta",4,2012
18,"Taeniatherum caput-medusae",1,2012
18,"Vulpia microstachys",8,2012
18,"Vulpia myuros",1,2012
19,"Agoseris heterophylla",1,2012
19,"Athysanus pusillus",2,2012
19,"Avena fatua",3,2012
19,"Bromus diandrus",5,2012
19,"Bromus hordeaceus",9,2012
19,"Calandrinia ciliata",6,2012
19,"Elymus elymoides",1,2012
19,"Eriogonum nudum",1,2012
19,"Eriogonum vimineum",4,2012
19,"Erodium cicutarium",1,2012
19,"Euphorbia crenulata",2,2012
19,"Hemizonia congesta",2,2012
19,"Lasthenia californica",1,2012
19,"Lolium multiflorum",32,2012
19,"Lotus wrangelianus",2,2012
19,"Micropus californicus",2,2012
19,"Microseris douglasii",17,2012
19,"Nassella pulchra",1,2012
19,"Plantago erecta",1,2012
19,"Taeniatherum caput-medusae",12,2012
19,"Trifolium albopurpureum",6,2012
19,"Trifolium bifidum",1,2012
19,"Trifolium microcephalum",1,2012
19,"Vulpia microstachys",18,2012
20,"Avena fatua",1,2012
20,"Bromus hordeaceus",6,2012
20,"Delphinium hesperium",1,2012
20,"Delphinium variegatum",1,2012
20,"Eremocarpus setigerus",1,2012
20,"Hemizonia congesta",2,2012
20,"Lactuca serriola",1,2012
20,"Lolium multiflorum",61,2012
20,"Taeniatherum caput-medusae",4,2012
20,"Trifolium gracilentum",2,2012
20,"Trifolium hirtum",1,2012
20,"Viola douglasii",1,2012
20,"Vulpia microstachys",1,2012
20,"Vulpia myuros",19,2012
21,"Achyrachaena mollis",1,2012
21,"Agoseris heterophylla",1,2012
21,"Athysanus pusillus",1,2012
21,"Avena fatua",2,2012
21,"Bromus hordeaceus",6,2012
21,"Calandrinia ciliata",1,2012
21,"Epilobium brachycarpum",3,2012
21,"Eremocarpus setigerus",1,2012
21,"Hemizonia congesta",2,2012
21,"Lasthenia californica",2,2012
21,"Lolium multiflorum",49,2012
21,"Lotus wrangelianus",1,2012
21,"Microseris douglasii",5,2012
21,"Taeniatherum caput-medusae",15,2012
21,"Trifolium gracilentum",1,2012
21,"Vulpia microstachys",42,2012
22,"Avena fatua",3,2012
22,"Bromus hordeaceus",46,2012
22,"Bromus madritensis",2,2012
22,"Collinsia sparsiflora",2,2012
22,"Dichelostemma capitatum",1,2012
22,"Elymus elymoides",2,2012
22,"Eremocarpus setigerus",1,2012
22,"Hemizonia congesta",3,2012
22,"Hypochaeris glabra",4,2012
22,"Lasthenia californica",1,2012
22,"Lolium multiflorum",67,2012
22,"Lotus wrangelianus",4,2012
22,"Lupinus bicolor",1,2012
22,"Micropus californicus",6,2012
22,"Plantago erecta",2,2012
22,"Taeniatherum caput-medusae",12,2012
22,"Trifolium bifidum",4,2012
22,"Vulpia microstachys",35,2012
22,"Vulpia myuros",11,2012
23,"Achyrachaena mollis",1,2012
23,"Athysanus pusillus",1,2012
23,"Avena fatua",3,2012
23,"Bromus diandrus",6,2012
23,"Bromus hordeaceus",4,2012
23,"Bromus madritensis",4,2012
23,"Collinsia sparsiflora",7,2012
23,"Delphinium hesperium",1,2012
23,"Euphorbia crenulata",2,2012
23,"Hemizonia congesta",7,2012
23,"Hypochaeris glabra",2,2012
23,"Lolium multiflorum",98,2012
23,"Micropus californicus",1,2012
23,"Microseris douglasii",3,2012
23,"Plantago erecta",1,2012
23,"Poa secunda",1,2012
23,"Taeniatherum caput-medusae",3,2012
23,"Trifolium albopurpureum",2,2012
23,"Trifolium bifidum",7,2012
23,"Trifolium gracilentum",1,2012
23,"Vulpia microstachys",21,2012
23,"Vulpia myuros",9,2012
24,"Athysanus pusillus",1,2012
24,"Avena fatua",5,2012
24,"Bromus hordeaceus",6,2012
24,"Collinsia sparsiflora",1,2012
24,"Delphinium hesperium",4,2012
24,"Eremocarpus setigerus",2,2012
24,"Euphorbia crenulata",1,2012
24,"Hemizonia congesta",2,2012
24,"Hordeum murinum",2,2012
24,"Hypochaeris glabra",1,2012
24,"Juncus bufonius",3,2012
24,"Lactuca serriola",1,2012
24,"Lasthenia californica",3,2012
24,"Lolium multiflorum",72,2012
24,"Melilotus indica",7,2012
24,"Microseris douglasii",1,2012
24,"Ranunculus occidentalis",1,2012
24,"Sisyrinchium bellum",2,2012
24,"Taeniatherum caput-medusae",3,2012
24,"Trifolium bifidum",2,2012
24,"Trifolium gracilentum",2,2012
24,"Trifolium microcephalum",1,2012
24,"Viola douglasii",1,2012
24,"Vulpia microstachys",17,2012
24,"Vulpia myuros",16,2012
25,"Avena fatua",15,2012
25,"Bromus hordeaceus",14,2012
25,"Bromus madritensis",6,2012
25,"Cerastium glomeratum",5,2012
25,"Gastridium ventricosum",1,2012
25,"Hemizonia congesta",1,2012
25,"Hypochaeris glabra",1,2012
25,"Lactuca serriola",1,2012
25,"Lolium multiflorum",4,2012
25,"Lupinus bicolor",1,2012
25,"Micropus californicus",1,2012
25,"Plantago erecta",11,2012
25,"Sidalcea diploscypha",1,2012
25,"Sisyrinchium bellum",1,2012
25,"Taeniatherum caput-medusae",1,2012
25,"Trifolium bifidum",4,2012
25,"Vicia villosa",2,2012
25,"Vulpia microstachys",3,2012
25,"Vulpia myuros",10,2012
26,"Bromus hordeaceus",15,2012
26,"Centaurium trichanthum",4,2012
26,"Crassula connata",26,2012
26,"Dichelostemma capitatum",2,2012
26,"Gastridium ventricosum",5,2012
26,"Juncus bufonius",6,2012
26,"Microseris douglasii",8,2012
26,"Plantago erecta",6,2012
26,"Trifolium albopurpureum",2,2012
26,"Trifolium microdon",4,2012
26,"Vulpia microstachys",19,2012
27,"Bromus hordeaceus",3,2012
27,"Dichelostemma capitatum",4,2012
27,"Eriogonum vimineum",1,2012
27,"Gastridium ventricosum",1,2012
27,"Githopsis specularioides",2,2012
27,"Hemizonia congesta",1,2012
27,"Holocarpha virgata",1,2012
27,"Lasthenia californica",14,2012
27,"Lotus humistratus",1,2012
27,"Lotus wrangelianus",3,2012
27,"Microseris douglasii",5,2012
27,"Plantago erecta",26,2012
27,"Stellaria nitens",1,2012
27,"Trifolium microdon",10,2012
27,"Vulpia microstachys",3,2012
28,"Athysanus pusillus",1,2012
28,"Bromus madritensis",2,2012
28,"Dichelostemma capitatum",4,2012
28,"Erodium cicutarium",1,2012
28,"Gastridium ventricosum",5,2012
28,"Hemizonia congesta",1,2012
28,"Hesperolinon micranthum",1,2012
28,"Holocarpha virgata",2,2012
28,"Lasthenia californica",5,2012
28,"Plantago erecta",7,2012
28,"Stellaria nitens",1,2012
28,"Taeniatherum caput-medusae",1,2012
28,"Vulpia microstachys",8,2012
28,"Vulpia myuros",1,2012
29,"Avena fatua",1,2012
29,"Bromus hordeaceus",10,2012
29,"Bromus madritensis",17,2012
29,"Dichelostemma capitatum",2,2012
29,"Eriogonum vimineum",1,2012
29,"Hemizonia congesta",2,2012
29,"Hesperolinon micranthum",1,2012
29,"Lactuca serriola",3,2012
29,"Lotus humistratus",5,2012
29,"Lotus micranthus",2,2012
29,"Melilotus indica",4,2012
29,"Micropus californicus",1,2012
29,"Microseris douglasii",2,2012
29,"Plantago erecta",3,2012
29,"Taeniatherum caput-medusae",1,2012
29,"Vulpia microstachys",9,2012
30,"Anagallis arvensis",5,2012
30,"Avena fatua",1,2012
30,"Bromus madritensis",7,2012
30,"Clarkia purpurea",1,2012
30,"Hemizonia congesta",2,2012
30,"Lasthenia californica",1,2012
30,"Lotus micranthus",1,2012
30,"Stellaria nitens",1,2012
30,"Vulpia microstachys",9,2012
31,"Astragalus gambelianus",2,2012
31,"Avena fatua",7,2012
31,"Bromus hordeaceus",4,2012
31,"Bromus madritensis",30,2012
31,"Dichelostemma capitatum",4,2012
31,"Eriogonum vimineum",1,2012
31,"Hemizonia congesta",4,2012
31,"Hesperolinon californicum",2,2012
31,"Lactuca serriola",1,2012
31,"Lasthenia californica",8,2012
31,"Lotus humistratus",1,2012
31,"Micropus californicus",1,2012
31,"Microseris douglasii",4,2012
31,"Nassella pulchra",3,2012
31,"Plantago erecta",6,2012
31,"Poa secunda",2,2012
31,"Stellaria nitens",1,2012
31,"Vicia villosa",1,2012
31,"Vulpia microstachys",3,2012
32,"Avena fatua",32,2012
32,"Bromus diandrus",1,2012
32,"Bromus hordeaceus",4,2012
32,"Bromus madritensis",1,2012
32,"Gastridium ventricosum",1,2012
32,"Hypochaeris glabra",1,2012
32,"Lupinus succulentus",1,2012
32,"Taeniatherum caput-medusae",11,2012
32,"Trifolium fucatum",1,2012
32,"Vulpia microstachys",3,2012
33,"Ancistrocarphus filagineus",5,2012
33,"Avena fatua",1,2012
33,"Castilleja rubicundula",1,2012
33,"Hemizonia congesta",1,2012
33,"Lotus humistratus",1,2012
33,"Microseris douglasii",2,2012
33,"Nassella pulchra",4,2012
33,"Plantago erecta",1,2012
33,"Poa secunda",3,2012
33,"Stellaria nitens",4,2012
33,"Taeniatherum caput-medusae",2,2012
33,"Vulpia microstachys",1,2012
34,"Avena fatua",18,2012
34,"Bromus hordeaceus",23,2012
34,"Erodium brachycarpum",1,2012
34,"Erodium cicutarium",8,2012
34,"Euphorbia crenulata",1,2012
34,"Geranium dissectum",4,2012
34,"Lolium multiflorum",7,2012
34,"Medicago polymorpha",1,2012
34,"Taeniatherum caput-medusae",19,2012
34,"Trifolium hirtum",18,2012
34,"Vulpia myuros",20,2012
35,"Avena fatua",66,2012
35,"Bromus hordeaceus",41,2012
35,"Bromus madritensis",6,2012
35,"Cerastium glomeratum",1,2012
35,"Clarkia purpurea",1,2012
35,"Dichelostemma capitatum",1,2012
35,"Erodium brachycarpum",1,2012
35,"Erodium cicutarium",16,2012
35,"Lolium multiflorum",38,2012
35,"Medicago polymorpha",4,2012
35,"Micropus californicus",2,2012
35,"Senecio vulgaris",1,2012
35,"Taeniatherum caput-medusae",5,2012
35,"Trifolium hirtum",18,2012
35,"Vulpia myuros",15,2012
36,"Achyrachaena mollis",1,2012
36,"Astragalus gambelianus",1,2012
36,"Avena fatua",37,2012
36,"Bromus hordeaceus",3,2012
36,"Castilleja attenuata",1,2012
36,"Crassula connata",14,2012
36,"Erodium brachycarpum",9,2012
36,"Erodium cicutarium",10,2012
36,"Hemizonia congesta",2,2012
36,"Holocarpha virgata",1,2012
36,"Micropus californicus",1,2012
36,"Trifolium hirtum",5,2012
37,"Achyrachaena mollis",1,2012
37,"Avena fatua",109,2012
37,"Bromus hordeaceus",1,2012
37,"Crassula connata",44,2012
37,"Erodium botrys",2,2012
37,"Erodium brachycarpum",1,2012
37,"Erodium cicutarium",3,2012
37,"Filago gallica",2,2012
37,"Juncus sp.",1,2012
37,"Silene gallica",1,2012
37,"Trifolium hirtum",3,2012
38,"Athysanus pusillus",3,2012
38,"Avena fatua",58,2012
38,"Bromus diandrus",3,2012
38,"Bromus hordeaceus",56,2012
38,"Centaurea solstitialis",1,2012
38,"Cerastium glomeratum",1,2012
38,"Clarkia purpurea",1,2012
38,"Crassula connata",32,2012
38,"Erodium brachycarpum",4,2012
38,"Erodium cicutarium",3,2012
38,"Galium murale",4,2012
38,"Geranium dissectum",1,2012
38,"Geranium molle",2,2012
38,"Hypochaeris glabra",1,2012
38,"Juncus bufonius",15,2012
38,"Lactuca serriola",1,2012
38,"Lotus wrangelianus",1,2012
38,"Micropus californicus",2,2012
38,"Microseris douglasii",3,2012
38,"Plantago erecta",5,2012
38,"Sagina apetala",2,2012
38,"Silene gallica",2,2012
38,"Taeniatherum caput-medusae",18,2012
38,"Torilis arvensis",1,2012
38,"Trifolium gracilentum",1,2012
38,"Trifolium hirtum",1,2012
38,"Vicia villosa",4,2012
38,"Vulpia myuros",4,2012
39,"Avena fatua",3,2012
39,"Bromus hordeaceus",23,2012
39,"Clarkia purpurea",1,2012
39,"Crassula connata",21,2012
39,"Epilobium brachycarpum",1,2012
39,"Erodium botrys",1,2012
39,"Erodium brachycarpum",5,2012
39,"Erodium cicutarium",27,2012
39,"Geranium dissectum",2,2012
39,"Holocarpha virgata",2,2012
39,"Hypochaeris glabra",15,2012
39,"Juncus bufonius",2,2012
39,"Lactuca serriola",3,2012
39,"Micropus californicus",2,2012
39,"Microseris douglasii",1,2012
39,"Navarretia pubescens",1,2012
39,"Plantago erecta",4,2012
39,"Sagina apetala",3,2012
39,"Taeniatherum caput-medusae",58,2012
39,"Trifolium gracilentum",1,2012
39,"Vicia villosa",7,2012
39,"Vulpia myuros",3,2012
40,"Anagallis arvensis",2,2012
40,"Avena fatua",3,2012
40,"Bromus diandrus",1,2012
40,"Bromus hordeaceus",51,2012
40,"Clarkia purpurea",3,2012
40,"Crassula connata",14,2012
40,"Cynosurus echinatus",3,2012
40,"Dichelostemma capitatum",3,2012
40,"Erodium brachycarpum",14,2012
40,"Erodium cicutarium",7,2012
40,"Galium aparine",6,2012
40,"Galium murale",1,2012
40,"Geranium dissectum",1,2012
40,"Hemizonia congesta",4,2012
40,"Holocarpha virgata",12,2012
40,"Hypochaeris glabra",43,2012
40,"Juncus bufonius",69,2012
40,"Lactuca serriola",2,2012
40,"Lolium multiflorum",38,2012
40,"Lupinus bicolor",2,2012
40,"Micropus californicus",12,2012
40,"Sagina apetala",2,2012
40,"Taeniatherum caput-medusae",77,2012
40,"Trifolium albopurpureum",4,2012
40,"Trifolium hirtum",7,2012
40,"Trifolium microdon",1,2012
40,"Vicia villosa",2,2012
40,"Vulpia myuros",20,2012
41,"Athysanus pusillus",1,2012
41,"Avena fatua",30,2012
41,"Bromus diandrus",7,2012
41,"Bromus hordeaceus",28,2012
41,"Cardamine oligosperma",1,2012
41,"Clarkia purpurea",1,2012
41,"Crassula connata",10,2012
41,"Eremocarpus setigerus",1,2012
41,"Erodium brachycarpum",26,2012
41,"Erodium cicutarium",13,2012
41,"Filago gallica",2,2012
41,"Galium aparine",5,2012
41,"Geranium molle",2,2012
41,"Hypochaeris glabra",3,2012
41,"Juncus bufonius",1,2012
41,"Lotus wrangelianus",2,2012
41,"Lupinus bicolor",4,2012
41,"Poa bulbosa",1,2012
41,"Taeniatherum caput-medusae",4,2012
41,"Torilis arvensis",1,2012
41,"Trifolium bifidum",1,2012
41,"Trifolium hirtum",9,2012
41,"Trifolium microdon",1,2012
41,"Vulpia myuros",10,2012
42,"Avena fatua",57,2012
42,"Bromus madritensis",1,2012
42,"Lactuca serriola",2,2012
42,"Lolium multiflorum",6,2012
42,"Medicago polymorpha",1,2012
42,"Taeniatherum caput-medusae",6,2012
42,"Trifolium gracilentum",1,2012
42,"Trifolium hirtum",17,2012
42,"Velezia rigida",1,2012
42,"Vulpia microstachys",2,2012
43,"Avena fatua",25,2012
43,"Bromus diandrus",1,2012
43,"Bromus hordeaceus",15,2012
43,"Hemizonia congesta",7,2012
43,"Hypochaeris glabra",2,2012
43,"Lactuca serriola",1,2012
43,"Lolium multiflorum",21,2012
43,"Medicago polymorpha",4,2012
43,"Melilotus indica",1,2012
43,"Taeniatherum caput-medusae",38,2012
43,"Trifolium gracilentum",4,2012
43,"Vulpia microstachys",2,2012
43,"Vulpia myuros",2,2012
44,"Avena fatua",45,2012
44,"Bromus hordeaceus",3,2012
44,"Bromus madritensis",3,2012
44,"Dichelostemma capitatum",1,2012
44,"Microseris douglasii",1,2012
44,"Taeniatherum caput-medusae",12,2012
44,"Trifolium bifidum",1,2012
44,"Trifolium fucatum",1,2012
44,"Vulpia microstachys",2,2012
44,"Vulpia myuros",1,2012
45,"Avena fatua",24,2012
45,"Bromus diandrus",1,2012
45,"Bromus hordeaceus",5,2012
45,"Bromus madritensis",18,2012
45,"Lotus humistratus",1,2012
45,"Taeniatherum caput-medusae",4,2012
45,"Trifolium hirtum",1,2012
45,"Vulpia microstachys",6,2012
46,"Avena fatua",22,2012
46,"Bromus hordeaceus",15,2012
46,"Bromus madritensis",2,2012
46,"Eremocarpus setigerus",1,2012
46,"Hemizonia congesta",2,2012
46,"Lactuca serriola",1,2012
46,"Lupinus microcarpus",1,2012
46,"Taeniatherum caput-medusae",1,2012
46,"Vulpia microstachys",6,2012
47,"Avena fatua",19,2012
47,"Bromus hordeaceus",14,2012
47,"Dichelostemma capitatum",3,2012
47,"Grindelia camporum",2,2012
47,"Taeniatherum caput-medusae",8,2012
47,"Vulpia microstachys",13,2012
48,"Avena fatua",12,2012
48,"Bromus diandrus",1,2012
48,"Bromus hordeaceus",6,2012
48,"Bromus madritensis",7,2012
48,"Centaurea melitensis",1,2012
48,"Crassula connata",1,2012
48,"Dichelostemma capitatum",1,2012
48,"Eremocarpus setigerus",1,2012
48,"Lactuca serriola",2,2012
48,"Lasthenia californica",1,2012
48,"Lolium multiflorum",3,2012
48,"Lotus wrangelianus",1,2012
48,"Plantago erecta",3,2012
48,"Taeniatherum caput-medusae",11,2012
48,"Vulpia microstachys",4,2012
48,"Vulpia myuros",1,2012
49,"Avena fatua",8,2012
