Date,Plot,Species name,# of seedlings,Notes,
2/1/15,5,Juncus bufonius,5,,
2/4/15,5,Lactuca serriola,2,,
2/4/15,5,Trifolium gracilentum,1,,
2/11/15,5,Melilotus indica,1,,
2/11/15,5,Vicia villosa,1,,
2/11/15,5,Vulpia microstachys,2,,
2/11/15,5,Vulpia myuros,2,,
2/16/15,5,Avena fatua,8,,
2/16/15,5,Avena fatua,1,,
2/16/15,5,Avena fatua,2,,
2/16/15,5,Lactuca serriola,1,,
2/16/15,5,Vulpia microstachys,8,,
2/16/15,5,Vulpia myuros,1,,
2/21/15,5,Plantago erecta,1,,
2/25/15,5,Avena fatua,5,,
2/25/15,5,Grindelia camporum,1,,
2/25/15,5,Microseris douglasii,1,,
3/11/15,5,Avena fatua,5,,
3/11/15,5,Centaurea solstitialis,1,,
12/13/14,6,Hemizonia congesta,10,,
12/13/14,6,Lotus micranthus,1,,
12/13/14,6,Trifolium gracilentum,1,,
2/1/15,6,Eriogonum vimineum,3,,
2/1/15,6,Phlox gracilis,1,,
2/4/15,6,Bromus hordeaceus,1,,
2/4/15,6,Juncus bufonius,1,,
2/4/15,6,Lactuca serriola,1,,
2/4/15,6,Lasthenia californica,8,,
2/4/15,6,Navarretia jepsonii,1,,
2/4/15,6,Phlox gracilis,1,,
2/4/15,6,Vulpia microstachys,8,,
2/4/15,6,Vulpia myuros,4,,
2/7/15,6,Eriogonum vimineum,1,,
2/7/15,6,Stellaria nitens,2,,
2/11/15,6,Lasthenia californica,20,,
2/11/15,6,Microseris douglasii,2,,
2/16/15,6,Vulpia microstachys,73,,
2/18/15,6,Microseris douglasii,2,,
2/18/15,6,Plantago erecta,4,,
2/25/15,6,Lasthenia californica,3,,
2/25/15,6,Phlox gracilis,1,,
2/25/15,6,Plantago erecta,2,,
2/25/15,6,Vulpia microstachys,1,,
12/8/14,7,Plantago erecta,20,,
12/10/14,7,Lotus humistratus,8,,
12/13/14,7,Astragalus gambelianus,1,astragal gambelianus -> see plot 55 (formerly bifidum),
12/13/14,7,Hemizonia congesta,7,,
12/13/14,7,Hemizonia congesta,7,,
12/13/14,7,Holocarpha virgata,6,,
12/13/14,7,Lasthenia californica,1,accidentally pulled up :( -> more in plot; lasthenia?,
12/13/14,7,Lotus humistratus,1,,
12/13/14,7,Lotus wrangelianus,5,,
12/13/14,7,Plantago erecta,9,,
12/13/14,7,Trifolium gracilentum,17,,
2/1/15,7,Achyrachaena mollis,1,,
2/1/15,7,Athysanus pusillus,2,,
2/1/15,7,Clarkia purpurea,1,,
2/1/15,7,Holocarpha virgata,1,,
2/1/15,7,Micropus californicus,80,,
2/9/15,24,Microseris douglasii,19,used to be mimulus douglasii; changed to microseris,
2/1/15,7,Plantago erecta,1,,
2/7/15,7,Crassula connata,1,,
2/7/15,7,Lasthenia californica,1,,
2/9/15,26,Microseris douglasii,1,mistake - cahnged from mimulus douglasii,
2/11/15,7,Dichelostemma capitatum,1,,
2/11/15,7,Lasthenia californica,3,,
2/11/15,7,Micropus californicus,11,,
2/11/15,7,Vulpia microstachys,5,,
2/18/15,7,Plantago erecta,30,,
2/21/15,7,Plantago erecta,8,,
2/25/15,7,Plantago erecta,10,,
2/25/15,7,Vulpia microstachys,1,,
3/1/15,7,Lasthenia californica,1,,
3/1/15,7,Micropus californicus,1,,
3/1/15,7,Plantago erecta,1,,
3/11/15,7,Camissonia graciliflora,1,,
3/11/15,7,Navarretia jepsonii,6,,
3/11/15,7,Plantago erecta,1,,
3/13/15,7,Lasthenia californica,1,,
3/13/15,7,Rigiopappus leptocladus,5,,
12/8/14,8,Geranium dissectum,13,"Erica said molle, plot lists says dissectum I see pic ",
12/8/14,8,Hemizonia congesta,4,,
12/8/14,8,Holocarpha virgata,3,,
12/8/14,8,Lolium multiflorum,1,,
12/8/14,8,Lupinus bicolor,19,,
12/8/14,8,Trifolium fucatum,7,,
12/8/14,8,Trifolium hirtum,8,,
12/10/14,8,Trifolium fucatum,1,dying -> fucatum,
12/13/14,8,Geranium dissectum,4,,
12/13/14,8,Hemizonia congesta,2,,
12/13/14,8,Holocarpha virgata,4,,
12/13/14,8,Lasthenia californica,1,tons in plot -> slightly hairy,
12/13/14,8,Trifolium fucatum,26,,
12/13/14,8,Trifolium gracilentum,2,,
12/13/14,8,Trifolium hirtum,15,,
12/16/14,8,Trifolium hirtum,1,,
1/5/15,8,Athysanus pusillus,4,see label in plot,
1/5/15,8,Cardamine oligosperma,2,see labeled plot 19,
1/9/15,8,Achyrachaena mollis,1,,
1/9/15,8,Agoseris heterophylla,4,,
1/9/15,8,Athysanus pusillus,4,,
1/9/15,8,Clarkia purpurea,2,,
1/9/15,8,Epilobium brachycarpum,3,,
1/14/15,8,Agoseris heterophylla,8,,
1/14/15,8,Lactuca serriola,1,,
1/18/15,8,Athysanus pusillus,1,,
1/18/15,8,Holocarpha virgata,1,,
1/18/15,8,Juncus bufonius,12,,
1/18/15,8,Plantago erecta,1,,
2/1/15,8,Agoseris heterophylla,1,,
2/1/15,8,Euphorbia crenulata,1,,
2/1/15,8,Grindelia camporum,2,,
2/1/15,8,Hemizonia congesta,1,,
2/1/15,8,Holocarpha virgata,1,,
2/1/15,8,Lasthenia californica,2,see stick in plot- flower down in center,
2/1/15,8,Nemophila menziesii,1,,
2/1/15,8,Trifolium fucatum,12,,
2/1/15,8,Trifolium hirtum,1,,
2/1/15,8,unknown forb,1,dying- only cotyledons present,
2/4/15,8,Lasthenia californica,2,,
2/7/15,8,Athysanus pusillus,1,,
2/7/15,8,Euphorbia crenulata,1,,
2/7/15,8,Filago gallica,1,,
2/11/15,8,Epilobium brachycarpum,1,,
2/11/15,8,Grindelia camporum,1,,
2/11/15,8,Juncus bufonius,1,,
2/11/15,8,Lasthenia californica,9,,
2/11/15,8,Vulpia myuros,1,,
2/16/15,8,Lactuca serriola,4,,
2/16/15,8,Lolium multiflorum,1,,
2/16/15,8,Trifolium fucatum,2,,
2/16/15,8,Vulpia myuros,11,,
2/20/15,8,Trifolium fucatum,1,,
2/21/15,8,Juncus bufonius,1,,
2/25/15,8,Castilleja rubicundula,3,,
2/25/15,8,Lolium multiflorum,1,,
2/25/15,8,Taeniatherum caput-medusae,1,,
3/1/15,8,Lasthenia californica,2,,
3/4/15,8,Hemizonia congesta,1,,
3/11/15,8,Achyrachaena mollis,1,,
3/13/15,8,Plectritis ciliosa,1,,
12/8/14,9,Hemizonia congesta,7,,
12/8/14,9,Lotus humistratus,11,,
12/8/14,9,Plantago erecta,3,,
12/8/14,9,Trifolium fucatum,3,,
12/13/14,9,Hemizonia congesta,7,,
12/13/14,9,Lotus purshianus,1,,
12/13/14,9,Lotus wrangelianus,1,,
12/13/14,9,Trifolium fucatum,1,,
12/13/14,9,Trifolium willdenovii,1,,
1/5/15,9,Anagallis arvensis,109,,
1/9/15,9,Clarkia purpurea,1,,
1/9/15,9,Epilobium brachycarpum,3,,
1/9/15,9,Juncus bufonius,1,,
1/14/15,9,Anagallis arvensis,5,,
1/14/15,9,Juncus bufonius,7,,
2/1/15,9,Anagallis arvensis,6,,
2/1/15,9,Juncus bufonius,11,,
2/7/15,9,Anagallis arvensis,2,,
2/7/15,9,Ancistrocarphus filagineus,1,,
2/7/15,9,Lactuca serriola,1,,
2/11/15,9,Ancistrocarphus filagineus,9,,
2/11/15,9,Juncus bufonius,1,,
2/11/15,9,Lactuca serriola,1,,
2/11/15,9,Navarretia pubescens,2,,
2/11/15,9,Trifolium albopurpureum,1,,
2/16/15,9,Hemizonia congesta,1,,
1/28/15,28,Mimulus guttatus,1,looked like guttatus; plot only has douglasii,
3/4/15,9,Hemizonia congesta,3,,
3/4/15,9,Navarretia jepsonii,2,,
12/8/14,10,Holocarpha virgata,5,,
12/13/14,10,Lotus wrangelianus,2,,
12/13/14,10,Plantago erecta,1,,
12/14/14,10,Vulpia microstachys,16,,
1/5/15,10,Juncus bufonius,1,,
1/5/15,10,Plantago erecta,21,,
1/14/15,10,Plantago erecta,1,,
2/1/15,10,Castilleja attenuata,3,,
2/1/15,10,Clarkia purpurea,2,,
2/1/15,10,Holocarpha virgata,1,,
2/1/15,10,Linanthus bicolor,7,,
2/4/15,10,Juncus bufonius,11,,
2/4/15,10,Plantago erecta,1,,
2/4/15,10,Taeniatherum caput-medusae,1,,
2/4/15,10,Vulpia microstachys,12,,
2/7/15,10,Micropus californicus,18,,
2/11/15,10,Aegilops triuncialis,1,,
2/11/15,10,Bromus hordeaceus,1,,
2/11/15,10,Lasthenia californica,2,,
2/11/15,10,Vulpia microstachys,6,,
2/18/15,10,Juncus bufonius,3,,
2/18/15,10,Plantago erecta,34,,
2/18/15,10,Vulpia microstachys,1,,
2/25/15,10,Vulpia microstachys,1,,
3/4/15,10,Lasthenia californica,1,,
3/11/15,10,Juncus bufonius,1,,
3/11/15,10,Linanthus bicolor,2,,
3/11/15,10,Plantago erecta,1,,
12/13/14,11,Trifolium albopurpureum,7,,
1/14/15,11,Clarkia purpurea,1,,
1/14/15,11,Lolium multiflorum,3,,
1/14/15,11,Lotus wrangelianus,1,,
2/7/15,11,Crassula connata,13,"7 rounds, 6 sharp",
2/11/15,11,Bromus hordeaceus,3,,
2/11/15,11,Lolium multiflorum,6,,
2/11/15,11,Vulpia microstachys,4,,
2/16/15,11,Bromus hordeaceus,6,,
2/16/15,11,Crassula connata,4,,
2/16/15,11,Lolium multiflorum,3,,
2/16/15,11,Taeniatherum caput-medusae,3,,
2/16/15,11,Vulpia microstachys,11,,
2/25/15,11,Agoseris heterophylla,1,,
2/25/15,11,Bromus hordeaceus,1,,
2/25/15,11,Bromus hordeaceus,1,,
2/25/15,11,Crassula connata,1,,
2/25/15,11,Lolium multiflorum,1,,
2/25/15,11,Plantago erecta,1,,
2/25/15,11,Vulpia microstachys,3,,
3/1/15,11,Athysanus pusillus,1,,
3/1/15,11,Sagina apetala,1,,
3/4/15,11,Calandrinia ciliata,1,,
3/4/15,11,Crassula connata,1,,
3/4/15,11,Navarretia pubescens,1,,
3/11/15,11,Crassula connata,3,,
3/11/15,11,Sagina apetala,6,,
12/16/14,12,Lactuca serriola,1,,
1/14/15,12,Calycadenia pauciflora,1,,
1/14/15,12,Lotus wrangelianus,1,,
1/14/15,12,Plantago erecta,31,,
2/4/15,12,Astragalus gambelianus,1,,
2/4/15,12,Calycadenia pauciflora,1,,
2/4/15,12,Holocarpha virgata,1,,
2/4/15,12,Vulpia microstachys,8,hairy,
2/7/15,12,Ancistrocarphus filagineus,1,,
2/11/15,12,Astragalus breweri,1,Lotus?,
2/11/15,12,Lolium multiflorum,11,,
2/11/15,12,Vulpia microstachys,2,,
2/16/15,12,Taeniatherum caput-medusae,1,,
2/16/15,12,Vulpia microstachys,10,,
2/16/15,12,Vulpia myuros,1,,
2/20/15,12,Plantago erecta,4,,
2/21/15,12,Microseris douglasii,6,,
2/21/15,12,Plantago erecta,2,,
2/21/15,12,Vulpia microstachys,16,,
2/25/15,12,Hesperolinon micranthum,1,,
2/25/15,12,Vulpia microstachys,17,,
3/1/15,12,Castilleja rubicundula,1,"yellow flower, dissected leaves, reddish tint",
3/4/15,12,Minuartia californica,1,,
3/4/15,12,Navarretia jepsonii,2,,
3/4/15,12,Plantago erecta,1,,
3/11/15,12,Micropus californicus,25,,
3/11/15,12,Navarretia jepsonii,3,,
3/11/15,12,Navarretia pubescens,2,,
3/11/15,12,Plantago erecta,1,,
3/13/15,12,Navarretia jepsonii,6,,
3/13/15,12,Navarretia pubescens,1,,
12/10/14,13,Lotus humistratus,8,,
12/13/14,13,Collinsia sparsiflora,7,,
12/16/14,13,Collinsia sparsiflora,6,,
12/16/14,13,Hemizonia congesta,2,,
12/16/14,13,Lotus humistratus,1,,
1/5/15,13,Lessingia ramulosa,7,,
1/9/15,13,Athysanus pusillus,3,,
1/9/15,13,Clarkia purpurea,3,,
1/9/15,13,Collinsia sparsiflora,6,,
1/9/15,13,Epilobium brachycarpum,1,,
1/9/15,13,Lessingia ramulosa,2,,
1/14/15,13,Athysanus pusillus,1,,
1/14/15,13,Calandrinia ciliata,1,,
1/14/15,13,Juncus bufonius,1,,
1/14/15,13,Plantago erecta,13,,
1/18/15,13,Trifolium albopurpureum,1,,
2/7/15,13,Athysanus pusillus,1,,
2/7/15,13,Juncus bufonius,3,,
2/7/15,13,Lessingia ramulosa,1,,
2/7/15,13,Plantago erecta,1,,
2/11/15,13,Ancistrocarphus filagineus,9,,
2/11/15,13,Vulpia microstachys,1,,
2/20/15,13,Microseris douglasii,1,,
2/20/15,13,Plantago erecta,4,,
2/25/15,13,Chorizanthe polygonoides,1,,
2/25/15,13,Hesperolinon disjunctum,2,,
2/25/15,13,Minuartia californica,1,,
2/25/15,13,Plantago erecta,6,,
3/4/15,13,Minuartia californica,1,,
3/11/15,13,Lagophylla minor,2,,
3/13/15,13,Lasthenia californica,3,,
3/13/15,13,Plantago erecta,2,,
3/13/15,13,Rigiopappus leptocladus,4,,
12/10/14,14,Lotus humistratus,1,,
12/13/14,14,Collinsia sparsiflora,11,,
12/13/14,14,Plantago erecta,12,,
12/13/14,14,Trifolium fucatum,8,,
12/13/14,14,Trifolium gracilentum,2,,
12/14/14,14,Vulpia microstachys,6,,
12/16/14,14,Collinsia sparsiflora,4,,
12/16/14,14,Elymus elymoides,2,double check these,
12/16/14,14,Lolium multiflorum,19,,
12/16/14,14,Lolium multiflorum,4,,
12/16/14,14,Taeniatherum caput-medusae,15,,
12/16/14,14,Vulpia microstachys,13,,
1/14/15,14,Achyrachaena mollis,1,,
1/14/15,14,Collinsia sparsiflora,2,,
1/14/15,14,Epilobium brachycarpum,3,,
1/14/15,14,Eriogonum vimineum,30,,
1/14/15,14,Plantago erecta,6,,
1/14/15,14,Vulpia microstachys,3,,
2/1/15,14,Athysanus pusillus,1,,
2/1/15,14,Castilleja rubicundula,1,,
2/1/15,14,Clarkia gracilis,2,,
2/1/15,14,Eriogonum vimineum,21,,
2/1/15,14,Lactuca serriola,1,,
2/1/15,14,Stellaria nitens,1,,
2/1/15,14,Stellaria nitens,10,,
2/7/15,14,Eriogonum vimineum,3,,
2/7/15,14,Juncus bufonius,3,,
2/7/15,14,Stellaria nitens,2,,
2/7/15,14,Stellaria nitens,2,,
2/11/15,14,Ancistrocarphus filagineus,26,,
2/11/15,14,Bromus hordeaceus,4,,
2/11/15,14,Juncus bufonius,3,,
2/11/15,14,Lolium multiflorum,6,,
2/11/15,14,Vulpia microstachys,5,,
2/25/15,14,Bromus hordeaceus,2,,
2/25/15,14,Castilleja rubicundula,2,,
2/25/15,14,Hesperolinon disjunctum,3,,
2/25/15,14,Lolium multiflorum,5,,
2/25/15,14,Plantago erecta,3,,
3/13/15,14,Ancistrocarphus filagineus,2,,
3/13/15,14,Navarretia jepsonii,3,,
12/10/14,15,Erodium brachycarpum,1,,
12/10/14,15,Erodium cicutarium,3,,
12/13/14,15,Erodium cicutarium,1,,
12/16/14,15,Lactuca serriola,1,,
12/16/14,15,Lolium multiflorum,32,,
12/16/14,15,Taeniatherum caput-medusae,9,,
12/16/14,15,Vulpia microstachys,16,,
1/18/15,15,Juncus bufonius,2,,
1/18/15,15,Juncus bufonius,3,,
1/18/15,15,Lessingia ramulosa,1,,
1/18/15,15,Lessingia ramulosa,1,,
1/18/15,15,Plantago erecta,1,,
2/1/15,15,Eremocarpus setigerus,2,see stick in plot,
2/1/15,15,Juncus bufonius,5,,
2/1/15,15,Micropus californicus,41,,
2/1/15,15,Taeniatherum caput-medusae,3,,
2/1/15,15,Trifolium fucatum,1,,
2/1/15,15,Trifolium gracilentum,2,,
2/7/15,15,Eremocarpus setigerus,1,centaurea?,
2/7/15,15,Juncus bufonius,5,,
2/7/15,15,Vulpia microstachys,1,,
2/11/15,15,Lolium multiflorum,1,,
2/16/15,15,Avena fatua,10,,
2/16/15,15,Bromus hordeaceus,7,,
2/16/15,15,Lolium multiflorum,15,,
2/16/15,15,Vulpia microstachys,1,,
2/16/15,15,Vulpia myuros,4,,
2/20/15,15,Bromus hordeaceus,11,,
2/20/15,15,Plantago erecta,2,,
2/25/15,15,Bromus hordeaceus,7,,
2/25/15,15,Hypochaeris glabra,2,,
2/25/15,15,Juncus bufonius,2,,
2/25/15,15,Lolium multiflorum,2,,
2/25/15,15,Microseris douglasii,1,,
3/4/15,15,Avena fatua,5,,
3/4/15,15,Vulpia microstachys,1,,
3/11/15,15,Hypochaeris glabra,3,,
3/11/15,15,Micropus californicus,1,,
3/13/15,15,Dichelostemma capitatum,1,,
3/13/15,15,Micropus californicus,4,,
3/13/15,15,Rigiopappus leptocladus,7,,
12/13/14,16,Lotus wrangelianus,14,,
12/16/14,16,Hemizonia congesta,2,,
1/9/15,16,Dichelostemma capitatum,1,"unknow bulb, long thin round",
1/9/15,16,Lessingia ramulosa,2,,
1/9/15,16,Lotus wrangelianus,1,,
1/9/15,16,Plantago erecta,63,,
1/14/15,16,Calycadenia pauciflora,1,,
1/14/15,16,Lolium multiflorum,12,,
1/14/15,16,Plantago erecta,6,,
2/4/15,16,Avena fatua,1,,
2/4/15,16,Bromus hordeaceus,2,,
2/4/15,16,Clarkia purpurea,2,,
2/4/15,16,Dichelostemma capitatum,1,"small bulb, zigadenus?",
2/4/15,16,Juncus bufonius,1,,
2/4/15,16,Lolium multiflorum,8,,
2/4/15,16,Vulpia microstachys,17,,
2/11/15,16,Bromus hordeaceus,17,,
2/11/15,16,Lolium multiflorum,23,,
2/11/15,16,Vulpia microstachys,6,,
2/16/15,16,Dichelostemma capitatum,2,,
2/16/15,16,Lactuca serriola,3,,
2/18/15,16,Plantago erecta,1,,
2/21/15,16,Lolium multiflorum,4,,
2/21/15,16,Plantago erecta,2,,
2/25/15,16,Bromus hordeaceus,1,,
2/25/15,16,Lolium multiflorum,1,,
3/4/15,16,Eriogonum vimineum,1,,
3/4/15,16,Rigiopappus leptocladus,5,,
3/11/15,16,Agoseris heterophylla,1,,
3/13/15,16,Dichelostemma capitatum,2,,
3/13/15,16,Rigiopappus leptocladus,1,,
12/8/14,17,Erodium cicutarium,1,,
12/13/14,17,Avena fatua,1,,
1/9/15,17,Crassula connata,87,,
1/9/15,17,Gilia tricolor,3,,
1/18/15,17,Velezia rigida,12,,
2/1/15,17,Crassula connata,65,,
2/1/15,17,Velezia rigida,5,,
2/9/15,17,Avena fatua,1,,
2/9/15,17,Avena fatua,1,,
2/9/15,17,Bromus hordeaceus,6,,
2/9/15,17,Calycadenia pauciflora,10,,
2/9/15,17,Centaurea solstitialis,1,,
2/9/15,17,Crassula connata,8,,
2/9/15,17,Gilia tricolor,1,,
2/9/15,17,Medicago polymorpha,1,,
2/9/15,17,Velezia rigida,4,,
2/11/15,17,Bromus madritensis,4,,
2/11/15,17,Vulpia myuros,13,,
2/18/15,17,Crassula connata,4,,
2/18/15,17,Plantago erecta,1,,
2/20/15,17,Castilleja densiflora,2,,
3/1/15,17,Sagina apetala,8,,
3/4/15,17,Crassula connata,1,,
3/4/15,17,Sagina apetala,1,,
3/4/15,17,Velezia rigida,1,,
3/13/15,17,Castilleja densiflora,1,,
3/13/15,17,Crassula connata,1,,
12/10/14,18,Lotus humistratus,4,,
2/9/15,18,Ancistrocarphus filagineus,2,,
2/11/15,18,Vulpia microstachys,10,,
2/18/15,18,Plantago erecta,2,,
2/18/15,18,Vulpia microstachys,3,,
3/4/15,18,Calandrinia ciliata,1,,
3/11/15,18,Ancistrocarphus filagineus,1,,
12/13/14,19,Hemizonia congesta,3,,
12/13/14,19,Lotus wrangelianus,8,,
12/13/14,19,Microseris douglasii,1,,
12/13/14,19,Trifolium albopurpureum,5,,
12/13/14,19,Trifolium gracilentum,1,,
12/13/14,19,Trifolium gracilentum,4,,
12/14/14,19,Microseris douglasii,4,,
12/16/14,19,Cardamine oligosperma,1,,
1/5/15,19,Lolium multiflorum,12,,
1/5/15,19,Lotus wrangelianus,4,,
1/14/15,19,Athysanus pusillus,2,,
1/14/15,19,Bromus hordeaceus,3,,
1/14/15,19,Collinsia sparsiflora,2,,
1/14/15,19,Lolium multiflorum,7,,
2/4/15,19,Trifolium bifidum,1,,
2/7/15,19,Agoseris heterophylla,1,,
2/7/15,19,Bromus hordeaceus,1,,
2/7/15,19,Eriogonum vimineum,1,,
2/7/15,19,Stellaria nitens,10,,
2/7/15,19,Trifolium bifidum,2,,
2/11/15,19,Bromus hordeaceus,1,,
2/11/15,19,Castilleja attenuata,1,,
2/11/15,19,Lasthenia californica,36,,
2/11/15,19,Lolium multiflorum,6,,
2/11/15,19,Vulpia microstachys,1,,
2/16/15,19,Bromus hordeaceus,1,,
2/16/15,19,Lolium multiflorum,1,,
2/16/15,19,Vulpia microstachys,6,,
2/25/15,19,Bromus hordeaceus,1,,
2/25/15,19,Cardamine oligosperma,1,,
2/25/15,19,Lactuca serriola,1,,
2/25/15,19,Lolium multiflorum,1,,
2/25/15,19,Vulpia microstachys,2,,
3/4/15,19,Calandrinia ciliata,2,,
3/4/15,19,Lasthenia californica,1,,
3/11/15,19,Calandrinia ciliata,1,,
3/13/15,19,Lasthenia californica,1,,
3/13/15,19,Plantago erecta,1,,
3/13/15,19,Trifolium albopurpureum,1,,
12/13/14,20,Hemizonia congesta,8,,
12/13/14,20,Trifolium fucatum,2,,
12/13/14,20,Trifolium gracilentum,2,,
12/13/14,20,Trifolium hirtum,1,,
12/13/14,20,unknown forb,1,dying -> leaves gone,
12/14/14,20,Avena fatua,1,,
12/14/14,20,Lolium multiflorum,39,,
1/5/15,20,Lolium multiflorum,55,,
1/18/15,20,Hemizonia congesta,1,,
2/7/15,20,Lactuca serriola,1,,
2/7/15,20,Stellaria nitens,3,,
2/11/15,20,Bromus hordeaceus,13,,
2/11/15,20,Lolium multiflorum,19,,
2/16/15,20,Avena fatua,1,,
2/16/15,20,Bromus hordeaceus,5,,
2/16/15,20,Juncus bufonius,1,,
2/16/15,20,Lolium multiflorum,24,,
12/8/14,21,Hemizonia congesta,7,,
12/8/14,21,Holocarpha virgata,7,,
12/8/14,21,Lotus wrangelianus,14,,
12/8/14,21,Microseris douglasii,14,,
12/13/14,21,Hemizonia congesta,3,,
12/13/14,21,Lotus wrangelianus,9,,
12/13/14,21,Microseris douglasii,7,,
12/13/14,21,Trifolium albopurpureum,3,,
12/14/14,21,Lactuca serriola,1,,
12/14/14,21,Trifolium albopurpureum,1,,
1/9/15,21,Lolium multiflorum,9,,
1/9/15,21,Trifolium gracilentum,1,,
1/14/15,21,Hemizonia congesta,1,,
1/14/15,21,Holocarpha virgata,3,,
2/1/15,21,Trifolium bifidum,1,,
2/4/15,21,Lolium multiflorum,10,,
2/4/15,21,Vulpia microstachys,34,,
2/11/15,21,Microseris douglasii,10,,
2/25/15,21,Bromus hordeaceus,1,,
2/25/15,21,Lolium multiflorum,3,,
