"ID","Site","Speciesno","Present","Quadrat","Year","cover","notes","Species_Name","Field10"
28.00,4.00,151.00,1.00,1.00,1998.00,,,"Plantago erecta",
29.00,4.00,181.00,1.00,1.00,1998.00,,,"Trifolium bifidum",
30.00,4.00,196.00,1.00,1.00,1998.00,,,"Vulpia microstachys",
31.00,4.00,118.00,1.00,1.00,1998.00,,"orig rec. as l. pinnatus","Lotus wrangelianus",
32.00,5.00,11.00,1.00,1.00,1998.00,,,"Achyrachaena mollis",
33.00,5.00,22.00,1.00,1.00,1998.00,,,"Avena fatua",
34.00,5.00,26.00,1.00,1.00,1998.00,,,"Bromus hordeaceus",
35.00,5.00,58.00,1.00,1.00,1998.00,,,"Collinsia sparsiflora",
36.00,5.00,62.00,1.00,1.00,1998.00,,,"Dichelostemma capitatum",
37.00,5.00,73.00,1.00,1.00,1998.00,,,"Erodium cicutarium",
38.00,5.00,103.00,1.00,1.00,1998.00,,,"Lasthenia californica",
39.00,5.00,151.00,1.00,1.00,1998.00,,,"Plantago erecta",
40.00,5.00,160.00,1.00,1.00,1998.00,,,"Ranunculus occidentalis",
41.00,5.00,180.00,1.00,1.00,1998.00,,,"Trifolium albopurpureum",
42.00,5.00,196.00,1.00,1.00,1998.00,,,"Vulpia microstachys",
43.00,5.00,260.00,1.00,1.00,1998.00,,,"Ancistrocarphus filagineus",
44.00,5.00,301.00,1.00,1.00,1998.00,,"orig rec. as l. pinnatus, lotus spp mixed up in this site","Lotus micranthus",
45.00,6.00,12.00,1.00,1.00,1998.00,,,"Agoseris heterophylla",
46.00,6.00,22.00,1.00,1.00,1998.00,,,"Avena fatua",
47.00,6.00,26.00,1.00,1.00,1998.00,,,"Bromus hordeaceus",
48.00,6.00,52.00,1.00,1.00,1998.00,,,"Clarkia purpurea",
49.00,6.00,62.00,1.00,1.00,1998.00,,,"Dichelostemma capitatum",
50.00,6.00,70.00,1.00,1.00,1998.00,,,"Eriogonum nudum",
51.00,6.00,106.00,1.00,1.00,1998.00,,,"Lepidium nitidum",
52.00,6.00,139.00,1.00,1.00,1998.00,,,"Nassella pulchra",
53.00,6.00,141.00,1.00,1.00,1998.00,,"orig rec. as n. pubescens","Navarretia jepsonii",
54.00,6.00,148.00,1.00,1.00,1998.00,,,"Phlox gracilis",
55.00,6.00,156.00,1.00,1.00,1998.00,,,"Poa secunda",
56.00,6.00,196.00,1.00,1.00,1998.00,,,"Vulpia microstachys",
57.00,7.00,19.00,1.00,1.00,1998.00,,,"Astragalus breweri",
58.00,7.00,20.00,1.00,1.00,1998.00,,,"Astragalus gambelianus",
59.00,7.00,21.00,1.00,1.00,1998.00,,"orig. rec. as ave. fat","Avena barbata",
60.00,7.00,26.00,1.00,1.00,1998.00,,,"Bromus hordeaceus",
61.00,7.00,41.00,1.00,1.00,1998.00,,,"Camissonia ovata",
62.00,7.00,103.00,1.00,1.00,1998.00,,,"Lasthenia californica",
63.00,7.00,106.00,1.00,1.00,1998.00,,,"Lepidium nitidum",
64.00,7.00,108.00,1.00,1.00,1998.00,,,"Linanthus bicolor",
65.00,7.00,139.00,1.00,1.00,1998.00,,,"Nassella pulchra",
66.00,7.00,141.00,1.00,1.00,1998.00,,"orig rec. as n. pubescens","Navarretia jepsonii",
67.00,7.00,151.00,1.00,1.00,1998.00,,,"Plantago erecta",
68.00,7.00,196.00,1.00,1.00,1998.00,,,"Vulpia microstachys",
69.00,7.00,226.00,1.00,1.00,1998.00,,,"Castilleja attenuata",
70.00,8.00,12.00,1.00,1.00,1998.00,,,"Agoseris heterophylla",
71.00,8.00,26.00,1.00,1.00,1998.00,,,"Bromus hordeaceus",
72.00,8.00,27.00,1.00,1.00,1998.00,,,"Bromus madritensis",
73.00,8.00,61.00,1.00,1.00,1998.00,,,"Delphinium variegatum",
74.00,8.00,91.00,1.00,1.00,1998.00,,,"Grindelia camporum",
75.00,8.00,103.00,1.00,1.00,1998.00,,,"Lasthenia californica",
76.00,8.00,108.00,1.00,1.00,1998.00,,,"Linanthus bicolor",
77.00,8.00,151.00,1.00,1.00,1998.00,,,"Plantago erecta",
78.00,8.00,185.00,1.00,1.00,1998.00,,,"Trifolium fucatum",
79.00,8.00,194.00,1.00,1.00,1998.00,,,"Viola douglasii",
80.00,8.00,196.00,1.00,1.00,1998.00,,,"Vulpia microstachys",
81.00,8.00,271.00,1.00,1.00,1998.00,,,"Castilleja rubicundula",
82.00,8.00,118.00,1.00,1.00,1998.00,,"orig rec. as l. pinnatus","Lotus wrangelianus",
83.00,9.00,19.00,1.00,1.00,1998.00,,,"Astragalus breweri",
84.00,9.00,21.00,1.00,1.00,1998.00,,"orig rec. as ave fat","Avena barbata",
85.00,9.00,26.00,1.00,1.00,1998.00,,,"Bromus hordeaceus",
86.00,9.00,77.00,1.00,1.00,1998.00,,,"Euphorbia crenulata",
87.00,9.00,91.00,1.00,1.00,1998.00,,,"Grindelia camporum",
88.00,9.00,108.00,1.00,1.00,1998.00,,,"Linanthus bicolor",
89.00,9.00,120.00,1.00,1.00,1998.00,,,"Lupinus bicolor",
90.00,9.00,139.00,1.00,1.00,1998.00,,,"Nassella pulchra",
91.00,9.00,151.00,1.00,1.00,1998.00,,,"Plantago erecta",
92.00,9.00,156.00,1.00,1.00,1998.00,,,"Poa secunda",
93.00,9.00,160.00,1.00,1.00,1998.00,,,"Ranunculus occidentalis",
94.00,10.00,21.00,1.00,1.00,1998.00,,"orig rec as avefat","Avena barbata",
95.00,10.00,26.00,1.00,1.00,1998.00,,,"Bromus hordeaceus",
96.00,10.00,27.00,1.00,1.00,1998.00,,,"Bromus madritensis",
97.00,10.00,61.00,1.00,1.00,1998.00,,,"Delphinium variegatum",
98.00,10.00,62.00,1.00,1.00,1998.00,,,"Dichelostemma capitatum",
99.00,10.00,70.00,1.00,1.00,1998.00,,,"Eriogonum nudum",
100.00,10.00,89.00,1.00,1.00,1998.00,,,"Gilia tricolor",
101.00,10.00,91.00,1.00,1.00,1998.00,,,"Grindelia camporum",
102.00,10.00,94.00,1.00,1.00,1998.00,,,"Holocarpha virgata",
103.00,10.00,108.00,1.00,1.00,1998.00,,,"Linanthus bicolor",
104.00,10.00,142.00,1.00,1.00,1998.00,,,"Navarretia pubescens",
105.00,10.00,151.00,1.00,1.00,1998.00,,,"Plantago erecta",
106.00,10.00,161.00,1.00,1.00,1998.00,,,"Rigiopappus leptocladus",
107.00,10.00,194.00,1.00,1.00,1998.00,,,"Viola douglasii",
108.00,10.00,196.00,1.00,1.00,1998.00,,,"Vulpia microstachys",
109.00,10.00,103.00,1.00,1.00,1998.00,,"orig rec as las chrysantha","Lasthenia californica",
110.00,10.00,118.00,1.00,1.00,1998.00,,"orig rec. as l. pinnatus","Lotus wrangelianus",
111.00,11.00,11.00,1.00,1.00,1998.00,,,"Achyrachaena mollis",
112.00,11.00,26.00,1.00,1.00,1998.00,,,"Bromus hordeaceus",
113.00,11.00,61.00,1.00,1.00,1998.00,,,"Delphinium variegatum",
114.00,11.00,62.00,1.00,1.00,1998.00,,,"Dichelostemma capitatum",
115.00,11.00,131.00,1.00,1.00,1998.00,,"orig rec as filgal","Micropus californicus",
116.00,11.00,91.00,1.00,1.00,1998.00,,,"Grindelia camporum",
117.00,11.00,108.00,1.00,1.00,1998.00,,,"Linanthus bicolor",
118.00,11.00,114.00,1.00,1.00,1998.00,,,"Lomatium marginatum",
119.00,11.00,120.00,1.00,1.00,1998.00,,,"Lupinus bicolor",
120.00,11.00,139.00,1.00,1.00,1998.00,,,"Nassella pulchra",
121.00,11.00,151.00,1.00,1.00,1998.00,,,"Plantago erecta",
122.00,11.00,189.00,1.00,1.00,1998.00,,"orig rec. as t. veriscolor","Triphysaria eriantha",
123.00,11.00,103.00,1.00,1.00,1998.00,,"orig rec as las chry","Lasthenia californica",
124.00,12.00,26.00,1.00,1.00,1998.00,,,"Bromus hordeaceus",
125.00,12.00,50.00,1.00,1.00,1998.00,,,"Chlorogalum pomeridianum",
126.00,12.00,62.00,1.00,1.00,1998.00,,,"Dichelostemma capitatum",
127.00,12.00,91.00,1.00,1.00,1998.00,,,"Grindelia camporum",
128.00,12.00,103.00,1.00,1.00,1998.00,,,"Lasthenia californica",
129.00,12.00,114.00,1.00,1.00,1998.00,,,"Lomatium marginatum",
130.00,12.00,142.00,1.00,1.00,1998.00,,,"Navarretia pubescens",
131.00,12.00,151.00,1.00,1.00,1998.00,,,"Plantago erecta",
132.00,12.00,156.00,1.00,1.00,1998.00,,,"Poa secunda",
133.00,12.00,188.00,1.00,1.00,1998.00,,,"Trifolium willdenovii",
134.00,12.00,189.00,1.00,1.00,1998.00,,"orig rec. as t. versicolor","Triphysaria eriantha",
135.00,12.00,194.00,1.00,1.00,1998.00,,,"Viola douglasii",
136.00,12.00,196.00,1.00,1.00,1998.00,,,"Vulpia microstachys",
137.00,12.00,206.00,1.00,1.00,1998.00,,,"Minuartia douglasii",
138.00,12.00,118.00,1.00,1.00,1998.00,,"orig rec as l. pinnatus","Lotus wrangelianus",
139.00,13.00,12.00,1.00,1.00,1998.00,,,"Agoseris heterophylla",
140.00,13.00,62.00,1.00,1.00,1998.00,,,"Dichelostemma capitatum",
141.00,13.00,73.00,1.00,1.00,1998.00,,,"Erodium cicutarium",
142.00,13.00,103.00,1.00,1.00,1998.00,,,"Lasthenia californica",
143.00,13.00,180.00,1.00,1.00,1998.00,,,"Trifolium albopurpureum",
144.00,13.00,194.00,1.00,1.00,1998.00,,,"Viola douglasii",
145.00,13.00,260.00,1.00,1.00,1998.00,,,"Ancistrocarphus filagineus",
146.00,13.00,118.00,1.00,1.00,1998.00,,"orig rec. as l. pinnatus","Lotus wrangelianus",
147.00,14.00,19.00,1.00,1.00,1998.00,,,"Astragalus breweri",
148.00,14.00,26.00,1.00,1.00,1998.00,,,"Bromus hordeaceus",
149.00,14.00,58.00,1.00,1.00,1998.00,,,"Collinsia sparsiflora",
150.00,14.00,62.00,1.00,1.00,1998.00,,,"Dichelostemma capitatum",
151.00,14.00,73.00,1.00,1.00,1998.00,,,"Erodium cicutarium",
152.00,14.00,91.00,1.00,1.00,1998.00,,,"Grindelia camporum",
153.00,14.00,98.00,1.00,1.00,1998.00,,,"Hypochaeris glabra",
154.00,14.00,103.00,1.00,1.00,1998.00,,,"Lasthenia californica",
155.00,14.00,114.00,1.00,1.00,1998.00,,,"Lomatium marginatum",
156.00,14.00,120.00,1.00,1.00,1998.00,,,"Lupinus bicolor",
157.00,14.00,139.00,1.00,1.00,1998.00,,,"Nassella pulchra",
158.00,14.00,236.00,1.00,1.00,1998.00,,"orig called. Stel med","Cerastium glomeratum",
159.00,14.00,271.00,1.00,1.00,1998.00,,"orig rec. as t. versicolor","Castilleja rubicundula",
160.00,14.00,196.00,1.00,1.00,1998.00,,,"Vulpia microstachys",
161.00,14.00,306.00,1.00,1.00,1998.00,,,"Melica imperfecta",
162.00,15.00,19.00,1.00,1.00,1998.00,,,"Astragalus breweri",
163.00,15.00,26.00,1.00,1.00,1998.00,,,"Bromus hordeaceus",
164.00,15.00,50.00,1.00,1.00,1998.00,,,"Chlorogalum pomeridianum",
165.00,15.00,62.00,1.00,1.00,1998.00,,,"Dichelostemma capitatum",
166.00,15.00,98.00,1.00,1.00,1998.00,,,"Hypochaeris glabra",
167.00,15.00,103.00,1.00,1.00,1998.00,,,"Lasthenia californica",
168.00,15.00,139.00,1.00,1.00,1998.00,,,"Nassella pulchra",
169.00,15.00,151.00,1.00,1.00,1998.00,,,"Plantago erecta",
170.00,15.00,188.00,1.00,1.00,1998.00,,,"Trifolium willdenovii",
171.00,15.00,189.00,1.00,1.00,1998.00,,"orig rec. as t. versicolor","Triphysaria eriantha",
172.00,15.00,226.00,1.00,1.00,1998.00,,,"Castilleja attenuata",
173.00,16.00,12.00,1.00,1.00,1998.00,,,"Agoseris heterophylla",
174.00,16.00,20.00,1.00,1.00,1998.00,,,"Astragalus gambelianus",
175.00,16.00,26.00,1.00,1.00,1998.00,,,"Bromus hordeaceus",
176.00,16.00,60.00,1.00,1.00,1998.00,,,"Cryptantha hispidula",
177.00,16.00,62.00,1.00,1.00,1998.00,,,"Dichelostemma capitatum",
178.00,16.00,89.00,1.00,1.00,1998.00,,,"Gilia tricolor",
179.00,16.00,103.00,1.00,1.00,1998.00,,,"Lasthenia californica",
180.00,16.00,106.00,1.00,1.00,1998.00,,,"Lepidium nitidum",
181.00,16.00,151.00,1.00,1.00,1998.00,,,"Plantago erecta",
182.00,16.00,156.00,1.00,1.00,1998.00,,,"Poa secunda",
183.00,16.00,181.00,1.00,1.00,1998.00,,,"Trifolium bifidum",
184.00,16.00,196.00,1.00,1.00,1998.00,,,"Vulpia microstachys",
185.00,16.00,118.00,1.00,1.00,1998.00,,"orig rec as l. pinnatus","Lotus wrangelianus",
186.00,17.00,26.00,1.00,1.00,1998.00,,,"Bromus hordeaceus",
187.00,17.00,27.00,1.00,1.00,1998.00,,,"Bromus madritensis",
188.00,17.00,43.00,1.00,1.00,1998.00,,,"Castilleja densiflora",
189.00,17.00,73.00,1.00,1.00,1998.00,,,"Erodium cicutarium",
190.00,17.00,89.00,1.00,1.00,1998.00,,,"Gilia tricolor",
191.00,17.00,189.00,1.00,1.00,1998.00,,"orig rec. as t. versicolor","Triphysaria eriantha",
192.00,17.00,197.00,1.00,1.00,1998.00,,"orig rec as v. bromoides","Vulpia myuros",
193.00,17.00,312.00,1.00,1.00,1998.00,,,"Petrorhagia prolifera",
194.00,18.00,12.00,1.00,1.00,1998.00,,,"Agoseris heterophylla",
195.00,18.00,21.00,1.00,1.00,1998.00,,"orig rec. as ave fatua","Avena barbata",
196.00,18.00,26.00,1.00,1.00,1998.00,,,"Bromus hordeaceus",
197.00,18.00,60.00,1.00,1.00,1998.00,,,"Cryptantha hispidula",
198.00,18.00,62.00,1.00,1.00,1998.00,,,"Dichelostemma capitatum",
199.00,18.00,79.00,1.00,1.00,1998.00,,,"Filago gallica",
200.00,18.00,103.00,1.00,1.00,1998.00,,,"Lasthenia californica",
201.00,18.00,233.00,1.00,1.00,1998.00,,"orig called platyglossa","Layia septentrionalis",
202.00,18.00,139.00,1.00,1.00,1998.00,,,"Nassella pulchra",
203.00,18.00,151.00,1.00,1.00,1998.00,,,"Plantago erecta",
204.00,18.00,180.00,1.00,1.00,1998.00,,,"Trifolium albopurpureum",
205.00,18.00,196.00,1.00,1.00,1998.00,,,"Vulpia microstachys",
206.00,18.00,260.00,1.00,1.00,1998.00,,,"Ancistrocarphus filagineus",
207.00,18.00,118.00,1.00,1.00,1998.00,,"orig called l. pinnatus","Lotus wrangelianus",
208.00,19.00,12.00,1.00,1.00,1998.00,,,"Agoseris heterophylla",
209.00,19.00,26.00,1.00,1.00,1998.00,,,"Bromus hordeaceus",
210.00,19.00,50.00,1.00,1.00,1998.00,,,"Chlorogalum pomeridianum",
211.00,19.00,55.00,1.00,1.00,1998.00,,,"Claytonia parviflora",
212.00,19.00,58.00,1.00,1.00,1998.00,,,"Collinsia sparsiflora",
213.00,19.00,77.00,1.00,1.00,1998.00,,,"Euphorbia crenulata",
214.00,19.00,96.00,1.00,1.00,1998.00,,,"Hordeum marinum",
215.00,19.00,103.00,1.00,1.00,1998.00,,,"Lasthenia californica",
216.00,19.00,106.00,1.00,1.00,1998.00,,,"Lepidium nitidum",
217.00,19.00,120.00,1.00,1.00,1998.00,,,"Lupinus bicolor",
218.00,19.00,185.00,1.00,1.00,1998.00,,,"Trifolium fucatum",
219.00,19.00,191.00,1.00,1.00,1998.00,,,"Triteleia laxa",
221.00,19.00,196.00,1.00,1.00,1998.00,,"orig also had v. bromoides","Vulpia microstachys",
222.00,19.00,299.00,1.00,1.00,1998.00,,"orig rec. as l. perenne","Lolium multiflorum",
223.00,20.00,12.00,1.00,1.00,1998.00,,,"Agoseris heterophylla",
224.00,20.00,26.00,1.00,1.00,1998.00,,,"Bromus hordeaceus",
225.00,20.00,50.00,1.00,1.00,1998.00,,,"Chlorogalum pomeridianum",
226.00,20.00,58.00,1.00,1.00,1998.00,,,"Collinsia sparsiflora",
227.00,20.00,77.00,1.00,1.00,1998.00,,,"Euphorbia crenulata",
228.00,20.00,106.00,1.00,1.00,1998.00,,,"Lepidium nitidum",
229.00,20.00,111.00,1.00,1.00,1998.00,,,"Lolium multiflorum",
230.00,20.00,236.00,1.00,1.00,1998.00,,"orig called. Stel med","Cerastium glomeratum",
231.00,20.00,185.00,1.00,1.00,1998.00,,,"Trifolium fucatum",
232.00,21.00,11.00,1.00,1.00,1998.00,,,"Achyrachaena mollis",
233.00,21.00,12.00,1.00,1.00,1998.00,,,"Agoseris heterophylla",
234.00,21.00,26.00,1.00,1.00,1998.00,,,"Bromus hordeaceus",
235.00,21.00,50.00,1.00,1.00,1998.00,,,"Chlorogalum pomeridianum",
236.00,21.00,62.00,1.00,1.00,1998.00,,,"Dichelostemma capitatum",
237.00,21.00,156.00,1.00,1.00,1998.00,,,"Poa secunda",
238.00,21.00,166.00,1.00,1.00,1998.00,,,"Sidalcea diploscypha",
239.00,21.00,186.00,1.00,1.00,1998.00,,,"Trifolium hirtum",
240.00,21.00,15.00,1.00,1.00,1998.00,,"orig rec. as A. grandiflora","Amsinckia menziesii",
241.00,21.00,111.00,1.00,1.00,1998.00,,"orig rec as l. multiflorum","Lolium multiflorum",
242.00,22.00,21.00,1.00,1.00,1998.00,,"orig rec. as ave fatua","Avena barbata",
243.00,22.00,26.00,1.00,1.00,1998.00,,,"Bromus hordeaceus",
244.00,22.00,52.00,1.00,1.00,1998.00,,,"Clarkia purpurea",
245.00,22.00,58.00,1.00,1.00,1998.00,,"orig rec as collinsia heterophylla","Collinsia sparsiflora",
246.00,22.00,92.00,1.00,1.00,1998.00,,,"Hemizonia congesta",
247.00,22.00,120.00,1.00,1.00,1998.00,,,"Lupinus bicolor",
248.00,22.00,175.00,1.00,1.00,1998.00,,,"Taeniatherum caput-medusae",
249.00,22.00,181.00,1.00,1.00,1998.00,,,"Trifolium bifidum",
250.00,22.00,196.00,1.00,1.00,1998.00,,,"Vulpia microstachys",
251.00,22.00,15.00,1.00,1.00,1998.00,,"orig rec. as A. grandiflora","Amsinckia menziesii",
252.00,23.00,12.00,1.00,1.00,1998.00,,,"Agoseris heterophylla",
253.00,23.00,22.00,1.00,1.00,1998.00,,,"Avena fatua",
254.00,23.00,26.00,1.00,1.00,1998.00,,,"Bromus hordeaceus",
255.00,23.00,52.00,1.00,1.00,1998.00,,,"Clarkia purpurea",
256.00,23.00,58.00,1.00,1.00,1998.00,,"orig rec. as col. Heterophylla","Collinsia sparsiflora",
257.00,23.00,62.00,1.00,1.00,1998.00,,,"Dichelostemma capitatum",
258.00,23.00,106.00,1.00,1.00,1998.00,,,"Lepidium nitidum",
259.00,23.00,120.00,1.00,1.00,1998.00,,,"Lupinus bicolor",
260.00,23.00,156.00,1.00,1.00,1998.00,,,"Poa secunda",
261.00,23.00,236.00,1.00,1.00,1998.00,,"orig called. Stel med","Cerastium glomeratum",
262.00,23.00,181.00,1.00,1.00,1998.00,,,"Trifolium bifidum",
263.00,23.00,185.00,1.00,1.00,1998.00,,,"Trifolium fucatum",
264.00,23.00,196.00,1.00,1.00,1998.00,,,"Vulpia microstachys",
265.00,23.00,15.00,1.00,1.00,1998.00,,"orig rec. as A. grandiflora","Amsinckia menziesii",
266.00,23.00,265.00,1.00,1.00,1998.00,,,"Brachypodium distachyon",
267.00,24.00,11.00,1.00,1.00,1998.00,,,"Achyrachaena mollis",
268.00,24.00,26.00,1.00,1.00,1998.00,,,"Bromus hordeaceus",
269.00,24.00,58.00,1.00,1.00,1998.00,,,"Collinsia sparsiflora",
270.00,24.00,62.00,1.00,1.00,1998.00,,,"Dichelostemma capitatum",
271.00,24.00,103.00,1.00,1.00,1998.00,,,"Lasthenia californica",
272.00,24.00,111.00,1.00,1.00,1998.00,,,"Lolium multiflorum",
273.00,24.00,114.00,1.00,1.00,1998.00,,,"Lomatium marginatum",
274.00,24.00,120.00,1.00,1.00,1998.00,,,"Lupinus bicolor",
275.00,24.00,142.00,1.00,1.00,1998.00,,,"Navarretia pubescens",
276.00,24.00,151.00,1.00,1.00,1998.00,,,"Plantago erecta",
277.00,24.00,156.00,1.00,1.00,1998.00,,,"Poa secunda",
278.00,24.00,160.00,1.00,1.00,1998.00,,,"Ranunculus occidentalis",
279.00,24.00,168.00,1.00,1.00,1998.00,,,"Sisyrinchium bellum",
280.00,24.00,181.00,1.00,1.00,1998.00,,,"Trifolium bifidum",
281.00,24.00,185.00,1.00,1.00,1998.00,,,"Trifolium fucatum",
282.00,24.00,197.00,1.00,1.00,1998.00,,"orig rec as v. bromoides","Vulpia myuros",
283.00,24.00,196.00,1.00,1.00,1998.00,,,"Vulpia microstachys",
284.00,24.00,198.00,1.00,1.00,1998.00,,,"Wyethia glabra",
285.00,25.00,11.00,1.00,1.00,1998.00,,,"Achyrachaena mollis",
286.00,25.00,22.00,1.00,1.00,1998.00,,,"Avena fatua",
287.00,25.00,26.00,1.00,1.00,1998.00,,,"Bromus hordeaceus",
288.00,25.00,52.00,1.00,1.00,1998.00,,,"Clarkia purpurea",
289.00,25.00,61.00,1.00,1.00,1998.00,,,"Delphinium variegatum",
290.00,25.00,79.00,1.00,1.00,1998.00,,,"Filago gallica",
291.00,25.00,87.00,1.00,1.00,1998.00,,,"Geranium molle",
292.00,25.00,98.00,1.00,1.00,1998.00,,,"Hypochaeris glabra",
293.00,25.00,160.00,1.00,1.00,1998.00,,,"Ranunculus occidentalis",
294.00,25.00,181.00,1.00,1.00,1998.00,,,"Trifolium bifidum",
295.00,25.00,193.00,1.00,1.00,1998.00,,,"Vicia villosa",
296.00,25.00,196.00,1.00,1.00,1998.00,,,"Vulpia microstachys",
297.00,25.00,118.00,1.00,1.00,1998.00,,"orig rec. as l. pinnatus","Lotus wrangelianus",
298.00,26.00,12.00,1.00,1.00,1998.00,,,"Agoseris heterophylla",
299.00,26.00,16.00,1.00,1.00,1998.00,,"?could this have been cent trich?","Anagallis arvensis",
300.00,26.00,26.00,1.00,1.00,1998.00,,,"Bromus hordeaceus",
301.00,26.00,219.00,1.00,1.00,1998.00,,"orig rec. as c. connata","Aphanes occidentalis",
302.00,26.00,62.00,1.00,1.00,1998.00,,,"Dichelostemma capitatum",
303.00,26.00,79.00,1.00,1.00,1998.00,,,"Filago gallica",
304.00,26.00,103.00,1.00,1.00,1998.00,,,"Lasthenia californica",
305.00,26.00,106.00,1.00,1.00,1998.00,,,"Lepidium nitidum",
306.00,26.00,108.00,1.00,1.00,1998.00,,,"Linanthus bicolor",
307.00,26.00,149.00,1.00,1.00,1998.00,,,"Plagiobothrys nothofulvus",
308.00,26.00,151.00,1.00,1.00,1998.00,,,"Plantago erecta",
309.00,26.00,156.00,1.00,1.00,1998.00,,,"Poa secunda",
310.00,26.00,180.00,1.00,1.00,1998.00,,,"Trifolium albopurpureum",
311.00,26.00,196.00,1.00,1.00,1998.00,,,"Vulpia microstachys",
312.00,26.00,118.00,1.00,1.00,1998.00,,"orig rec. as l. pinnatus","Lotus wrangelianus",
313.00,27.00,12.00,1.00,1.00,1998.00,,,"Agoseris heterophylla",
314.00,27.00,26.00,1.00,1.00,1998.00,,,"Bromus hordeaceus",
315.00,27.00,27.00,1.00,1.00,1998.00,,,"Bromus madritensis",
316.00,27.00,62.00,1.00,1.00,1998.00,,,"Dichelostemma capitatum",
317.00,27.00,131.00,1.00,1.00,1998.00,,"orig called F. gallica","Micropus californicus",
318.00,27.00,94.00,1.00,1.00,1998.00,,,"Holocarpha virgata",
319.00,27.00,151.00,1.00,1.00,1998.00,,,"Plantago erecta",
320.00,27.00,161.00,1.00,1.00,1998.00,,,"Rigiopappus leptocladus",
321.00,27.00,103.00,1.00,1.00,1998.00,,"orig rec. as las chrysantha","Lasthenia californica",
322.00,27.00,295.00,1.00,1.00,1998.00,,,"Lessingia ramulosa",
323.00,27.00,118.00,1.00,1.00,1998.00,,"orig rec as l. pinnatus","Lotus wrangelianus",
324.00,27.00,307.00,1.00,1.00,1998.00,,,"Mimulus androsaceus",
325.00,28.00,12.00,1.00,1.00,1998.00,,,"Agoseris heterophylla",
326.00,28.00,26.00,1.00,1.00,1998.00,,,"Bromus hordeaceus",
327.00,28.00,27.00,1.00,1.00,1998.00,,,"Bromus madritensis",
328.00,28.00,62.00,1.00,1.00,1998.00,,,"Dichelostemma capitatum",
329.00,28.00,131.00,1.00,1.00,1998.00,,"orig called. F. gallica","Micropus californicus",
330.00,28.00,87.00,1.00,1.00,1998.00,,,"Geranium molle",
331.00,28.00,90.00,1.00,1.00,1998.00,,,"Githopsis specularioides",
332.00,28.00,103.00,1.00,1.00,1998.00,,,"Lasthenia californica",
333.00,28.00,151.00,1.00,1.00,1998.00,,,"Plantago erecta",
334.00,28.00,161.00,1.00,1.00,1998.00,,,"Rigiopappus leptocladus",
335.00,28.00,180.00,1.00,1.00,1998.00,,,"Trifolium albopurpureum",
336.00,28.00,196.00,1.00,1.00,1998.00,,,"Vulpia microstachys",
337.00,28.00,260.00,1.00,1.00,1998.00,,,"Ancistrocarphus filagineus",
338.00,28.00,295.00,1.00,1.00,1998.00,,,"Lessingia ramulosa",
339.00,28.00,307.00,1.00,1.00,1998.00,,,"Mimulus androsaceus",
340.00,29.00,12.00,1.00,1.00,1998.00,,,"Agoseris heterophylla",
341.00,29.00,20.00,1.00,1.00,1998.00,,,"Astragalus gambelianus",
342.00,29.00,26.00,1.00,1.00,1998.00,,,"Bromus hordeaceus",
