Species_Name,HeightS,SLAS,LWCS,CNS,PerNS,HeightNS,SLANS,LWCNS,CNNS,PerNNS,Genus,Species,Family,Native.Exotic,Grass.Forb.Shrub,Annual.Perennial,Monocot.Dicot
Chamomilla suaveolens,NA,NA,NA,NA,NA,6.1,198.2664526,0.715265082,12.24561404,3.42,Chamomilla,suaveolens,Asteraceae,Exotic,Forb,Annual,dicot
Chlorogalum pomeridianum,23.47,111.4796216,0.733571873,13.46056782,3.17,39.3,141.7711608,0.808718677,23.32954545,1.76,Chlorogalum,pomeridianum,Liliaceae,Native,Forb,Perennial,monocot
Chorizanthe membranacea,26.1,112.4045802,0.682808717,32.57364341,1.29,25.2,142.7966102,0.710784314,36.83928571,1.12,Chorizanthe,membranacea,Polygonaceae,Native,Forb,Annual,dicot
Chorizanthe polygonoides,0.85,130.1086957,0.643410853,101.65,0.4,NA,NA,NA,NA,NA,Chorizanthe,polygonoides,Polygonaceae,Native,Forb,Annual,dicot
Cirsium vulgare,NA,NA,NA,NA,NA,79.9,143.2121572,0.877140852,28.8203125,1.28,Cirsium,vulgare,Asteraceae,Exotic,Forb,Perennial,dicot
Clarkia gracilis,33.5,207.2053232,0.854655982,16.22619048,2.52,16.95,159.0145985,0.759859772,21.03645833,1.92,Clarkia,gracilis,Onagraceae,Native,Forb,Annual,dicot
Clarkia purpurea,16.2,151.9294606,0.813899614,13.86824324,2.96,21.5,147.7192982,0.805460751,21.30051813,1.93,Clarkia,purpurea,Onagraceae,Native,Forb,Annual,dicot
Claytonia exigua,2.15,189.955157,0.934680726,24.32653061,1.47,3.75,169.1144708,0.928571429,61.13793103,0.58,Claytonia,exigua,Portulacaceae,Native,Forb,Annual,dicot
Claytonia parviflora,8.6,412.1597633,0.921395349,10.84660767,3.39,8.45,399.1084337,0.94597761,15.17596567,2.33,Claytonia,parviflora,Portulacaceae,Native,Forb,Annual,dicot
Collinsia heterophylla,NA,NA,NA,NA,NA,38.4,217.9583333,0.804001633,34.9137931,1.16,Collinsia,heterophylla,Scrophulariaceae,Native,Forb,Annual,dicot
Collinsia sparsiflora,9.76,227.8695652,0.847883598,9.716553288,4.41,15.7,276.56056,0.855474453,18.49763033,2.11,Collinsia,sparsiflora,Scrophulariaceae,Native,Forb,Annual,dicot
Convolvulus arvensis,NA,NA,NA,NA,NA,15.8,250.4100719,0.827874435,9.847727273,4.4,Convolvulus,arvensis,Convolvulaceae,Exotic,Forb,Annual,dicot
Crassula connata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crassula,connata,Crassulaceae,Native,Forb,Annual,dicot
Cryptantha hispidula,7.3,136.1189802,0.804215197,23.91772152,1.58,32.05,158.0224719,0.814814815,20.12087912,1.82,Cryptantha,hispidula,Boraginaceae,Native,Forb,Annual,dicot
Cynosurus echinatus,29.3,339.9726027,0.776712887,56.73809524,0.84,66.1,345.4154519,0.748025712,35.58558559,1.11,Cynosurus,echinatus,Poaceae,Exotic,Grass,Annual,monocot
Dactylis glomerata,NA,NA,NA,NA,NA,111.5,157.7207977,0.721632504,24.34337349,1.66,Dactylis,glomerata,Poaceae,Exotic,Grass,Perennial,monocot
Daucus pusillus,24.2,191.9637291,0.771556189,14.57241379,2.9,12.9,229.95905,0.762636081,15.58555133,2.63,Daucus,pusillus,Apiaceae,Exotic,Forb,Annual,dicot
Delphinium hesperium,72.1,121.521079,0.821895581,19.47938144,1.94,53.4,114.2866273,0.805789996,25.8,1.45,Delphinium,hesperium,Ranunculaceae,Native,Forb,Perennial,dicot
Delphinium variegatum,21.9,138.0003081,0.823580572,19.49019608,2.04,25.8,168.0123958,0.806708803,18.74626866,2.01,Delphinium,variegatum,Ranunculaceae,Native,Forb,Perennial,dicot
Dichelostemma capitatum,17.07,102.8691335,0.819575975,18.43693694,2.22,44,99.75231575,0.863945205,27.95714286,1.4,Dichelostemma,capitatum,Liliaceae,Native,Forb,Perennial,monocot
Dodecatheon hendersonii,21.6,346.4065336,0.913609282,16.76293103,2.32,26.5,250.7094176,0.90443201,20.02139037,1.87,Dodecatheon,hendersonii,Primulaceae,Native,Forb,Perennial,dicot
Elymus elymoides,33.9,85.16469038,0.406335549,18.9408867,2.03,41,83.22156476,0.462923729,44.80263158,0.76,Elymus,elymoides,Poaceae,Native,Grass,Perennial,monocot
Elymus glaucus,83.9,238.7175664,0.638178483,24.97945205,1.46,94.7,282.3858773,0.703186197,13.42769231,3.25,Elymus,glaucus,Poaceae,Native,Grass,Perennial,monocot
Elytrigia repens,NA,NA,NA,NA,NA,101.5,81.5613577,0.567524842,29.84722222,1.44,Elytrigia,repens,Poaceae,Exotic,Grass,Perennial,monocot
Epilobium brachycarpum,108.8,144.7350427,0.778744327,15.71167883,2.74,46.3,116.22142,0.734504792,24.54705882,1.7,Epilobium,brachycarpum,Onagraceae,Native,Forb,Annual,dicot
Eremocarpus setigerus,1.45,179.5863747,0.661449753,19.47029703,2.02,1.65,198.7583893,0.736096351,15.59782609,2.76,Eremocarpus,setigerus,Euphorbiaceae,Native,Forb,Annual,dicot
Eriogonum covilleanum,21,129.8128456,0.734650113,22.36787565,1.93,NA,NA,NA,NA,NA,Eriogonum,\covilleanum\,Polygonaceae,Native,Forb,Annual,dicot
Eriogonum nudum,67.8,141.4014985,0.814092585,14.25496689,3.02,54.3,110.341,0.7529048,14.20327869,3.05,Eriogonum,nudum,Polygonaceae,Native,Shrub,Perennial,dicot
Eriogonum vimineum,13.1,117.3721654,0.775291003,16.30769231,2.47,15.4,176.0741301,0.799301655,37.19469027,1.13,Eriogonum,vimineum,Polygonaceae,Native,Forb,Annual,dicot
Eriophyllum lanatum,4.99,159.60658,0.786090309,17.98765432,2.43,51.2,196.3546798,0.794742164,31.23529412,1.36,Eriophyllum,lanatum,Asteraceae,Native,Forb,Perennial,dicot
Erodium botrys,25.04,137.6369072,0.827799228,33.28455285,1.23,14.8,201.06201,0.840884604,13.278125,3.2,Erodium,botrys,Geraniaceae,Exotic,Forb,Annual,dicot
Erodium brachycarpum,26.2,239.7447183,0.813065657,30.72463768,1.38,15.73,144.0364712,0.762245137,24.0505618,1.78,Erodium,brachycarpum,Geraniaceae,Exotic,Forb,Annual,dicot
Erodium cicutarium,12.91,163.1761417,NA,9.827272727,4.4,8.025,236.7008798,0.785129175,20.73658537,2.05,Erodium,cicutarium,Geraniaceae,Exotic,Forb,Annual,dicot
Eschscholzia californica,12.35,143.4537371,0.827153972,10.57286432,3.98,10.6,263.0736842,0.847037355,11.5369863,3.65,Eschscholzia,californica,Papaveraceae,Native,Forb,Perennial,dicot
Euphorbia crenulata,10.5,336.6371681,0.739631336,17.36046512,2.58,17.4,297.6076555,0.776709402,13.73584906,3.18,Euphorbia,crenulata,Euphorbiaceae,Native,Forb,Annual,dicot
Filago californica,18.8,261.1702128,0.672473868,18.66101695,2.36,8.85,174.7,0.616858238,37.04504505,1.11,Filago,californica,Asteraceae,Native,Forb,Annual,dicot
Filago gallica,NA,NA,NA,NA,NA,13.3,348.1609195,0.732307692,15.89015152,2.64,Filago,gallica,Asteraceae,Exotic,Forb,Annual,dicot
Fritillaria pluriflora,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fritillaria,pluriflora,Liliaceae,Native,Forb,Perennial,monocot
Galium aparine,NA,NA,NA,NA,NA,38.1,387.7011494,0.851977882,24.5477707,1.57,Galium,aparine,Rubiaceae,Native,Forb,Annual,dicot
Galium murale,6.2,291.3636364,0.768421053,18.50243902,2.05,4.05,250.6896552,0.712871287,17.60655738,2.44,Galium,murale,Rubiaceae,Exotic,Forb,Annual,dicot
Galium porrigens,47.8,301.3157895,0.766153846,23.96969697,1.65,NA,509.4117647,0.842592593,17.31404959,2.42,Galium,porrigens,Rubiaceae,Native,Shrub,Perennial,dicot
Gastridium ventricosum,18.8,283,0.728292971,NA,below detection,38,252.5525292,0.703301778,60.06153846,0.65,Gastridium,ventricosum,Poaceae,Exotic,Grass,Annual,monocot
Geranium dissectum,13.6,211.9635844,0.795904984,16.31048387,2.48,8.3,176.1220677,0.793695661,17.23673469,2.45,Geranium,dissectum,Geraniaceae,Exotic,Forb,Annual,dicot
Geranium molle,NA,NA,NA,NA,NA,16.6,570.3884462,0.830175913,14.83146067,2.67,Geranium,molle,Geraniaceae,Exotic,Forb,Annual,dicot
Gilia capitata,24.8,170.7974245,0.827583262,16.27906977,2.58,NA,NA,NA,NA,NA,Gilia,capitata,Polemoniaceae,Native,Forb,Annual,dicot
Gilia tricolor,9.95,252.4242424,0.825396825,25.11515152,1.65,14.7,167.5669291,0.817790531,20.53110048,2.09,Gilia,tricolor,Polemoniaceae,Native,Forb,Annual,dicot
Githopsis specularioides,3.9,305.7142857,0.722772277,19.61375661,1.89,2.1,194.7058824,0.46875,28.06849315,0.73,Githopsis,specularioides,Campanulaceae,Native,Forb,Annual,dicot
Grindelia camporum,36.5,154.8011971,0.771492771,16.31178707,2.63,66.58333333,124.190091,0.684509379,19.74311927,2.18,Grindelia,camporum,Asteraceae,Native,Forb,Perennial,dicot
Helianthella californica,NA,NA,NA,NA,NA,40,174.9147589,0.771244986,16.84462151,2.51,Helianthella,californica,Asteraceae,Native,Forb,Perennial,dicot
Helianthus exilis,57,195.0782911,0.87078806,12.0543131,3.13,NA,NA,NA,NA,NA,Helianthus,exilis,Asteraceae,Native,Forb,Annual,dicot
Hemizonia congesta,63.6,175.3085877,0.846415922,15.46938776,2.45,35.6,225.5860492,0.829465679,16.06530612,2.45,Hemizonia,congesta,Asteraceae,Native,Forb,Annual,dicot
Hesperevax sparsiflora,4.7,355,0.781206171,20.56497175,1.77,5,350.1298701,0.758998435,16.456,2.5,Hesperevax,sparsiflora,Asteraceae,Native,Forb,Annual,dicot
Hesperolinon californicum,16.7,182,0.821150855,20.48691099,1.91,NA,NA,NA,NA,NA,Hesperolinon,californicum,Linaceae,Native,Forb,Annual,dicot
Hesperolinon disjunctum,19.4,147.1551724,0.784386617,28.75735294,1.36,NA,NA,NA,NA,NA,Hesperolinon,disjunctum,Linaceae,Native,Forb,Annual,dicot
Hesperolinon micranthum,5.42,152.5,0.473684211,13.98986486,2.96,6,185.5,0.800664452,23.86826347,1.67,Hesperolinon,micranthum,Linaceae,Native,Forb,Annual,dicot
Hieracium albiflorum,5.85,237.5475802,0.87184669,13.73770492,3.05,8.6,315.0561523,0.891688923,17.96296296,2.16,Hieracium,albiflorum,Asteraceae,Native,Forb,Perennial,dicot
Holocarpha virgata,39,184.4004226,0.830178523,14.14074074,2.7,24.3,146.6566265,0.714039621,17.97706422,2.18,Holocarpha,virgata,Asteraceae,Native,Forb,Annual,dicot
Holodiscus discolor,NA,NA,NA,NA,NA,141.4,347.4350779,0.71917424,17.63346614,2.51,Holodiscus,discolor,Rosaceae,Native,Shrub,Perennial,dicot
Hordeum brachyantherum,62.8,325.5253837,0.74105778,28.60431655,1.39,54.8,183.5945946,0.589648799,42.94623656,0.93,Hordeum,brachyantherum,Poaceae,Native,Grass,Perennial,monocot
Hordeum depressum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hordeum,depressum,Poaceae,Native,Grass,Annual,monocot
Hordeum marinum,15,263.2507289,0.706586826,19.5,1.98,17,252.8195489,0.6675,32.91525424,1.18,Hordeum,marinum,Poaceae,Exotic,Grass,Annual,monocot
Hordeum murinum,23.1,305.0865385,0.74939759,18.2371134,1.94,42.4,390.75,0.733460257,12.78504673,3.21,Hordeum,murinum,Poaceae,Exotic,Grass,Annual,monocot
Hypochaeris glabra,2.3,236.3098237,0.884665666,20.12021858,1.83,5.1,222.7049608,0.895226371,17.98617512,2.17,Hypochaeris,glabra,Asteraceae,Exotic,Forb,Annual,dicot
Hypochaeris radicata,14.2,246.7988741,0.898931906,16.78508772,2.28,9.5,229.4902083,0.887872292,19.05208333,1.92,Hypochaeris,radicata,Asteraceae,Exotic,Forb,Perennial,dicot
Iris douglasiana,21.7,111.1935577,0.750469043,25.67241379,1.74,65.29,99.86897694,0.754594968,25.93,1.73,Iris,douglasiana,Iridaceae,Native,Forb,Perennial,monocot
Lactuca serriola,26.3,313.0451739,0.850788006,13.34304207,3.09,18.4,317.1323379,0.869354925,20.77540107,1.87,Lactuca,serriola,Asteraceae,Exotic,Forb,Annual,dicot
Lagophylla minor,9.5,177.0489039,0.844193379,23.3557047,1.49,15.2,213.5714286,0.820768137,18.77368421,1.9,Lagophylla,minor,Asteraceae,Native,Forb,Annual,dicot
Lasthenia californica,9.14,256.9653179,0.853265479,16.25941423,2.39,17.45,433.9215686,0.881670534,NA,NA,Lasthenia,californica,Asteraceae,Native,Forb,Annual,dicot
Lathyrus vestitus,35,212.9524277,0.744646212,13.62179487,3.12,96.55555556,248.2348075,0.7929359,8.153271028,5.35,Lathyrus,vestitus,Fabaceae,Native,Forb,Perennial,dicot
Layia platyglossa,37.7,327.0077434,0.872153868,20.11931818,1.76,14.4,316.3559322,0.851665619,19.16336634,2.02,Layia,platyglossa,Asteraceae,Native,Forb,Annual,dicot
Layia septentrionalis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Layia,septentrionalis,Asteraceae,Native,Forb,Annual,dicot
Lepidium nitidum,10.78,159.373297,0.788289588,19.48275862,2.03,5.1,311.1731844,0.808351178,16.48706897,2.32,Lepidium,nitidum,Brassicaceae,Native,Forb,Annual,dicot
Lessingia ramulosa,19.6,227.6789168,0.75693465,17.4279476,2.29,NA,NA,NA,NA,NA,Lessingia,ramulosa,Asteraceae,Native,Forb,Annual,dicot
Linanthus bicolor,3.8,268.1538462,0.740518962,NA,NA,7.6,283.5971223,0.805049088,19.71428571,2.03,Linanthus,bicolor,Polemoniaceae,Native,Forb,Annual,dicot
Linanthus ciliatus,NA,NA,NA,NA,NA,14.4,132.8460039,0.796912114,17.31944444,2.16,Linanthus,ciliatus,Polemoniaceae,Native,Forb,Annual,dicot
Linanthus dichotomus,8.26,183.2222222,0.824789098,20.46192893,1.97,NA,NA,NA,NA,NA,Linanthus,dichotomus,Polemoniaceae,Native,Forb,Annual,dicot
Linanthus jepsonii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Linanthus,jepsonii,Polemoniaceae,Native,Forb,Annual,dicot
Linanthus latisectus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Linanthus,latisectus,Polemoniaceae,Native,Forb,Annual,dicot
Lithophragma heterophyllum,NA,NA,NA,NA,NA,35.8,412.7935448,0.872850775,16.5186722,2.41,Lithophragma,heterophyllum,Saxifragaceae,Native,Forb,Perennial,dicot
Lolium multiflorum,49.7,220.4824561,0.699505766,NA,below detection,53.5,252.2536688,0.715393795,21.15591398,1.86,Lolium,multiflorum,Poaceae,Exotic,Grass,Annual,monocot
Lomatium dasycarpum,29.4,127.7456543,0.826999486,14.90613718,2.77,25.3,72.2342418,0.739006949,16.92561983,2.42,Lomatium,dasycarpum,Apiaceae,Native,Forb,Perennial,dicot
Lomatium macrocarpum,34.6,130.5355786,0.780363245,16.39015152,2.64,NA,NA,NA,NA,NA,Lomatium,macrocarpum,Apiaceae,Native,Forb,Perennial,dicot
Lomatium marginatum,21,84.82453505,0.766271982,13.00634921,3.15,12.2,163.4059927,0.721114938,25.23225806,1.55,Lomatium,marginatum,Apiaceae,Native,Forb,Perennial,dicot
Lomatium utriculatum,11.87,84.86423156,0.801072099,15.688,2.5,19.9,145.8940862,0.789227478,15.33858268,2.54,Lomatium,utriculatum,Apiaceae,Native,Forb,Perennial,dicot
Lotus humistratus,7.5,141.10096,0.815210933,15.76076555,2.09,5.55,162.6954733,0.783903957,18.9478673,2.11,Lotus,humistratus,Fabaceae,Native,Forb,Annual,dicot
Lotus micranthus,15.85,292.1412037,0.82133995,13.34969325,3.26,13.6,267.0879121,0.777506112,8.793522267,4.94,Lotus,micranthus,Fabaceae,Native,Forb,Annual,dicot
Lotus purshianus,16.75,333.0717185,0.823879886,15.40072202,2.77,NA,NA,NA,NA,NA,Lotus,purshianus,Fabaceae,Native,Forb,Annual,dicot
Lotus wrangelianus,5.91,195.7414966,0.827626642,12.45954693,3.09,9.65,238.3460949,0.855754363,11.20930233,3.44,Lotus,wrangelianus,Fabaceae,Native,Forb,Annual,dicot
Lupinus albifrons,74.5,111.700915,0.776275168,11.7630854,3.63,58,84.3549897,0.727763902,20.22885572,2.01,Lupinus,albifrons,Fabaceae,Native,Shrub,Perennial,dicot
Lupinus bicolor,15.85,149.3274854,0.819258007,10.4739726,3.65,35.8,166.2698413,0.824669516,11.54847645,3.61,Lupinus,bicolor,Fabaceae,Native,Forb,Annual,dicot
Lupinus microcarpus,14.2,140.5690586,0.851051603,10.40730337,3.56,29.2,237.3772495,0.866920939,9.510204082,4.41,Lupinus,microcarpus,Fabaceae,Native,Forb,Annual,dicot
Lupinus succulentus,16.9,145.1173243,0.860240185,10.3415978,3.63,46.3,140.8080926,0.856983695,9.401392111,4.31,Lupinus,succulentus,Fabaceae,Native,Forb,Annual,dicot
Madia elegans,35.2,186.5177948,0.788643068,20.09326425,1.93,30.6,209.8153409,0.835935679,28.71428571,1.33,Madia,elegans,Asteraceae,Native,Forb,Annual,dicot
Madia exigua,15.9,250.755814,0.829534192,30.84,1.25,11.25,222.4161074,0.770416025,28.60992908,1.41,Madia,exigua,Asteraceae,Native,Forb,Annual,dicot
Madia gracilis,37.1,171.8381344,0.810894942,27.67375887,1.41,30.7,242.5022502,0.836111521,20.31443299,1.94,Madia,gracilis,Asteraceae,Native,Forb,Annual,dicot
Medicago polymorpha,15.89,198.9073634,0.745772947,10.34624697,4.13,19.46,271.1075949,0.779882976,9.990804598,4.35,Medicago,polymorpha,Fabaceae,Exotic,Forb,Annual,dicot
Melica californica,63.7,111.5188897,0.487857848,19.26829268,2.05,43.2,131.9361277,0.555654102,26.80921053,1.52,Melica,californica,Poaceae,Native,Grass,Perennial,monocot
Melica imperfecta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Melica,imperfecta,Poaceae,Native,Grass,Annual,monocot
Melica torreyana,50,283.0181347,0.576522216,29.01492537,1.34,52,397.3679654,0.65,18.44888889,2.25,Melica,torreyana,Poaceae,Native,Grass,Perennial,monocot
