Site,Spp,1,2,3,4,5
4,Bromus madritensis,,,,,
4,Calochortus luteus,,,,,
4,Calycadenia pauciflora,5,8,15,,
4,Camissonia graciliflora,0.1,,,,
4,Centaurea solstitialis,,,,,
4,Chlorogalum pomeridianum,0.7,,,,9
4,Chorizanthe membranacea,,1.5,6,,
4,Clarkia purpurea,,,,,
4,Collinsia sparsiflora,,,,,
4,Dichelostemma capitatum,0.8,0.4,0.5,,0.1
4,Elymus elymoides,,,,,
4,Epilobium brachycarpum,,,,,
4,Eremocarpus setigerus,,,,,
4,Eriogonum vimineum,0.7,0.1,,,
4,Euphorbia crenulata,1.3,,,0.4,
4,Filago gallica,,,,,
4,Grindelia camporum,0.1,4,,,
4,Hemizonia congesta,0.5,0.2,0.4,14,15
4,Hesperolinon californicum,,0.3,0.7,0.1,
4,Hypochaeris glabra,,,,,
4,Lactuca serrida,,,,,
4,Lasthenia californica,26,50,15,3,
4,Lotus humistratus,0.1,,,,
4,Lotus micranthus,,,,,
4,Lotus Purshianus,0.1,,,0.3,
4,Lotus wrangelianus,1.5,0.3,0.4,0.7,0.3
4,Melica californica,,,,,
4,Micropus californicus,0.1,,0.4,,0.3
4,Microseris douglasii,0.3,,2.4,,
4,Nassella pulchra,7.5,8,1.3,,
4,Navarretia jepsonii,,0.3,,,
4,Phlox gracilis,0.1,0.1,,,
4,Plantago erecta,4,5,2.4,1.2,0.1
4,Poa secunda,,,,,
4,Rigiopappus leptocladus,,,0.2,,
4,Sidalcea diploscypha,,,,0.4,
4,Sonchus oleraceus,0.3,0.3,,0.2,0.5
4,Stellaria nitens,,,,,
4,Taeniatherum caput-medusae,0.4,,,,0.4
4,Trifolium albopurpureum,,,,,
4,Trifolium bifidum,1.1,0.1,,0.1,
4,Trifolium gracilentum,0.1,0.2,,0.4,0.6
4,Uropappus lindleyi,,,,,
4,Vulpia microstachys,0.4,,,,
4,Vulpia myuros,,0.5,0.6,,0.3
4,Zigadenus fremontii,,,,,
4,Rock,1,5,2,,5
4,Bare,3,1,1.5,4,9
NOTES:,,,,,,
5,Achyrachaena mollis,,0.5,0.2,0.1,
5,Aegilops triuncialis,,0.6,1.5,,
5,Allium sp.,,,,,0.1
5,Anagallis arvensis,,,,,
5,Avena barbata,,,,,
5,Avena fatua,60,0.2,60,45,35
5,Brodeia elegans,,,,,0.4
5,Bromus diandrus,,,,,
5,Bromus hordeaceus,,,,,0.1
5,Bromus madritensis,,,,,
5,Calochortus luteus,,,,,
5,Calochortus superbus,,,,,
5,Castilleja rubicundula,,0.1,,,
5,Centaurea solstitialis,,,,5,26
5,Cerastium glomeratum,,,,,
5,Chlorogalum pomeridianum,,7,,,2
5,Clarkia gracilis,0.1,,,,
5,Collinsia sparsiflora,,,,,
5,Delphinium variegatum,,,,,
5,Dichelostemma capitatum,0.5,1.2,0.4,,2
5,Epilobium brachycarpum,0.1,,0.1,0.2,
5,Eremocarpus setigerus,,,,,
5,Erodium cicutarium,,,,,
5,Euphorbia crenulata,0.1,0.2,,,
5,Grindelia camporum,,,,0.6,0.2
5,Hemizonia congesta,7,4,5.3,8,
5,Lactuca serriola,,,,,
5,Lasthenia californica,,,,,
5,Lolium multiflorum,,,,,2
5,Lomantium marginatum?,,,,,
5,Lomatium utriculatum,0.1,1,,,
5,Lotus micranthus,,0.5,,0.5,1.2
5,Lotus Purshianus,,,,,
5,Lotus wrangelianus,,,,,
5,Melilotus indica,,,,,
5,Micropus californicus,,,,,
5,Microseris douglasii,,,,,
5,Nassella pulchra,,7,,,
5,Perideridia kelloggii,,,,,
5,Phlox gracilis,0.1,,0.1,,
5,Plantago erecta,0.1,17,,,
5,Ranunculus occidentalis,,2,,1.5,
5,Rigiopappus leptocladus,,,,,0.1
5,Sidalcea diploscypha,,0.4,,0.1,
5,Sisyrinchium bellum,0.1,2.5,,,
5,Sonchus oleraceus,0.4,,0.3,0.5,4
5,Stellaria nitens,,,,,
5,Taeniatherum caput-medusae,6,0.4,3,1,3
5,Torilis arvensis,,,,,
5,Trifolium bifidum,0.3,,,,
5,Trifolium fucatum,,,,,
5,Trifolium gracilentum,0.3,0.3,0.2,0.3,0.1
5,Triteleia laxa,,,,,
5,Triteleia laxa,,,,,
5,Vulpia microstachys,,1.5,,,
5,Vulpia myuros,0.8,,0.9,0.1,
5,Zigadenus fremontii,,,0.6,,
5,Bare,3,2.5,0.1,1.5,0.2
5,Rock,,,,,0.3
NOTES:,,,,,,
6,Agoseris heterophylla,,,,,
6,Allium serra,,,,,
6,Ancistrocarphus filagineus,1,,,,
6,Astragalus gambelianus,,,,0.1,
6,Athysanus pusillus,0.2,0.2,0.2,,0.1
6,Avena barbata,,,,,
6,Bromus hordeaceus,,1.5,0.1,,
6,Calycadenia pauciflora,,,,,
6,Camissonia graciliflora,,,,0.1,
6,Castilleja attenuata,,,,,
6,Chlorogalum pomeridianum,,0.6,,,0.6
6,Collinsia sparsiflora,0.4,0.5,0.2,0.3,1.5
6,Dichelostemma capitatum,1,1.1,0.2,1.5,0.5
6,Elymus elymoides,,0.5,,6,
6,Epilobium brachycarpum,,0.1,0.3,,
6,Eremocarpus setigerus,,,,,
6,Eriogonum vimineum,2.5,0.1,0.3,0.2,0.3
6,Euphorbia crenulata,0.1,1.5,0.1,,0.4
6,Filago californica,,,,,
6,Grindelia camporum,,,,0.3,
6,Hemizonia congesta,9,17,35,3,15
6,Hordeum brachyantherum,5,,,,
6,Hordeum marinum,,,,,0.2
6,Lactuca serriola,,0.2,,,
6,Lasthenia californica,30,0.3,4,35,10
6,Linanthus bicolor,,,0.1,0.6,
6,Lolium multiflorum,,,,,
6,Lotus humistratus,,,,,
6,Lotus micranthus,,,,,
6,Micropus californicus,0.3,,0.3,,
6,Microseris douglasii,0.2,0.2,1,,0.2
6,Minuartia californica,,,,,
6,Nassella pulchra,10,35,26,13,30
6,Navarretia jepsonii,0.4,,,,
6,Phlox gracilis,0.4,1,,,
6,Plantago erecta,3,0.1,0.1,0.2,0.7
6,Poa secunda,,,,,0.1
6,Sidalcea diploscypha,1,0.2,0.6,,1.5
6,Sisyrinchium bellum,,,11,,
6,Sonchus oleraceus,0.1,0.5,0.3,,
6,Stellaria nitens,0.1,0.2,0.1,,0.1
6,Trifolium albopurpureum,,0.3,0.2,,
6,Trifolium bifidum,,,,,
6,Trifolium gracilentum,0.1,0.1,,,
6,Vulpia microstachys,,0.1,,,1
6,Vulpia myuros,,,,,
6,unk gall plant,,,,,
6,Zigadenus fremontii,,,0.4,0.5,0.5
6,Bare,5,0.2,2,5,4.5
6,Rock,,,,,
NOTES:,,,,,,
7,Achyrachaena mollis,,,,0.2,
7,Aegilops triuncialis,,,,,
7,Agoseris heterophylla,3,25,12,0.6,6.5
7,Allium sp.,,,0.4,,
7,Anagallis arvensis,,,,,
7,Ancistrocarphus filagineus,,,,,
7,Astragalus breweri,,,,,0.3
7,Astragalus gambelianus,0.1,,,,
7,Athysanus pusillus,,0.1,,,
7,Avena barbata,,,,,
7,Brodeia elegans,,,0.5,,
7,Bromus hordeaceus,,,,,
7,Bromus madritensis,,,,,
7,Calochortus luteus,,,,,
7,Calycadenia pauciflora,,,,,
7,Camissonia graciliflora,1,0.2,,,
7,Camissonia ovata,,,,,
7,Castilleja attenuata,,,,,
7,Castilleja rubicundula,,,,,0.2
7,Centaureum trichanthum,,,,,
7,Clarkia purpurea,,,,,
7,Delphinium variegatum,0.2,0.3,,,
7,Dichelostemma capitatum,5,0.6,0.3,0.2,0.3
7,Epilobium brachycarpum,,,,,
7,Eremocarpus setigerus,,,,,
7,Euphorbia crenulata,,0.1,,,
7,Filago gallica,,,,,
7,Gilia tricolor,,,,,
7,Hemizonia congesta,,2.5,,5,0.3
7,Holocarpha virgata,18,,,,0.7
7,Hordeum marinum,,,,,
7,Hypochaeris glabra,,,,,
7,Juncus sp.,,,,,0.5
7,Lactuca serriola,,,,0.2,2.3
7,Lasthenia californica,8,0.3,0.3,0.2,
7,Linanthus bicolor,0.7,0.8,,3,0.4
7,Lolium multiflorum,,,,,
7,Lomatium dasycarpum,,,,,
7,Lotus humistratus,,,,,
7,Lotus wrangelianus,1.2,0.3,35,2,5
7,Lupinus bicolor,,,,,
7,Medicago polymorpha,,,,,
7,Micropus californicus,3.5,0.8,,0.1,
7,Microseris douglasii,,,,,
7,Mimulus douglasii,0.1,,,,
7,Mimulus guttatus,,,,,20
7,Minuartia douglasii,,,,,
7,Nassella pulchra,8,,,,
7,Navarretia jepsonii,2.5,,,,
7,Phlox gracilis,,,,,
7,Plantago erecta,,4,,18,0.5
7,Poa secunda,,,,1,0.5
7,Rigiopappus leptocladus,,,,,
7,Sidalcea diploscypha,,0.1,5,3,
7,Silene gallica,,,,,1.3
7,Stellaria nitens,,,,,
7,Taeniatherum caput-medusae,,,,,
7,Trifolium ciliolatum,,,,,
7,Trifolium fucatum,,,4,25,1
7,Trifolium gracilentum,,0.1,0.3,,
7,Trifolium hirtum,,,,2,
7,Trifolium microcephalum,,,,,
7,Trifolium microdon,,,3.1,0.3,
7,Trifolium willdenovii,,,,,
7,Vulpia microstachys,,0.3,,,1
7,Zigadenus fremontii,,,0.6,1,
7,Bare,10,15,4,30,25
7,Rock,,,,,
NOTES:,Plot 5: above stake 5c gully is below stake,,,,,
8,Achyrachaena mollis,,0.1,,1,
8,Aegilops triuncialis,,,,,
8,Agoseris heterophylla,,,,,
8,Allium serra ?,,,,,
8,Anagallis arvensis,,,,,
8,Athysanus pusillus,0.2,,0.1,,
8,Avena fatua,,,,,
8,Brodeia elegans,,,,,
8,Bromus hordeaceus,,,,,0.26
8,Calochortus luteus,,,,,0.3
8,Calochortus superbus,,,0.2,,
8,Camissonia ovata,,,,,
8,Cardamine oligosperma,,,,,
8,Castilleja attenuata,,,,,
8,Castilleja rubicundula,9,0.5,,,
8,Cerastium glomeratum,,,,,
8,Clarkia purpurea,0.1,,,0.2,
8,Delphinium variegatum,,,,,
8,Dichelostemma capitatum,2,1,0.3,0.2,0.5
8,Elymus elymoides,,,,,
8,Elytrigia repens,,,,,
8,Epilobium brachycarpum,0.3,,,0.5,
8,Eremocarpus setigerus,,,,,
8,Erodium brachycarpum,,,,,
8,Erodium cicutarium,,,,,
8,Euphorbia crenulata,0.2,0.1,,,
8,Filago gallica,,,12,,
8,Gastridium ventricosum,,,,,
8,Geranium dissectum,,,0.3,1.5,0.1
8,Grindelia camporum,1,3.5,,,
8,Hemizonia congesta,35,11,10,34,4
8,Holocarpha virgata,,,36,3,
8,Hordeum marinum,,,,,
8,Hypochaeris glabra,,,2.5,,
8,Lactuca serriola,,,,0.1,
8,Lasthenia californica,0.3,,0.3,,
8,Linanthus bicolor,0.2,0.6,,,
8,Lolium multiflorum,23,,,,3
8,Lotus wrangelianus,0.2,,,,
8,Lupinus bicolor,0.4,0.5,6,1.2,1
8,Medicago polymorpha,,,,,
8,Micropus californicus,,,,,
8,Navarretia pubescens,,,,,
8,Nemophila menziesii,,,,0.3,
8,Nemophila pedunculata,,,,,
8,Perideridia kelloggii,2,1,,,
8,Phlox gracilis,,,,,
8,Plantago erecta,,,0.4,,
8,Plectritis ciliosa,,0.5,0.2,,
8,Poa secunda,0.4,,,,
8,Ranunculus occidentalis,0.1,0.5,,,0.3
8,Sidalcea diploscypha,0.4,,,,
8,Stellaria nitens,,,,,
8,Taeniatherum caput-medusae,0.4,,,,0.5
8,Trifolium bifidum,,,,,
8,Trifolium dubium,,,,,
8,Trifolium fucatum,34,8,,12,1
8,Trifolium gracilentum,,,3.5,,
8,Trifolium hirtum,,,,,
8,Trifolium willdenovii,0.3,,,,
8,Triphysaria eriantha,,,,,
8,Viola douglasii,0.2,,,,
8,Vulpia bromoides?,,,,,
8,Vulpia microstachys,,,,,
8,Vulpia myuros,,,0.1,2,
8,Wyethia glabra,,9,2.5,,
8,Zigadenus fremontii,,,,,
8,Bare ,0.3,1.5,3,3.5,
8,Rock,,,,,
NOTES:,,,,,,
9,Achyrachaena mollis,,,,,
9,Aegilops triuncialis,,,,,2
9,Agoseris heterophylla,8,20,4,,
9,Allium sp?,1,0.4,0.1,0.5,
9,Anagallis arvensis,,,,,0.13
9,Ancistrocarphus filagineus,,,,0.2,
9,Astragalus gambelianus,,,,,
9,Avena barbata,,,,,0.5
9,Avena fatua,,,,,
9,Brodeia elegans,,,,,
9,Bromus diandrus,,,,,
9,Bromus hordeaceus,,,,,0.2
9,Bromus madritensis,,,,,
9,Castilleja rubicundula,2,7,,,
9,Cerastium glomeratum,,,,,
9,Clarkia purpurea,,,,,
9,Dichelostemma capitatum,,,,0.4,
9,Epilobium brachycarpum,,,,,
9,Eremocarpus setigerus,,,1,2,
9,Eriogonum nudum,,,0.6,,
9,Euphorbia crenulata,,,,,
9,Galium murale,,,,,
9,Gastridium ventricosum,,,,,
9,Hemizonia congesta,1.5,,,,10
9,Hordeum marinum,,,,,
9,Juncus sp.,,,,,
9,Lactuca serriola,,3,,,
9,Lolium multiflorum,,,,,
9,Lomatium dasycarpum,,,,,
9,Lotus humistratus,,,0.2,0.1,
9,Lotus micranthus,,,,,0.4
9,Lotus wrangelianus,,,,,1.5
9,Lupinus bicolor,,,,,
9,Mimulus guttatus,10,,,,
9,Nassella pulchra,,,0.1,0.5,0.5
9,Navarretia jepsonii,,,,,
9,Navarretia pubescens,,,,,
9,Phlox gracilis,,,,,
9,Poa secunda,,,,,
9,Scutellaria siphoncampyloides,,,,,
9,Sidalcea diploscypha,,,,,
9,Sonchus oleraceus,,0.1,,,
9,Streptanthus breweri,,,,,
9,Taeniatherum caput-medusae,,,,,
9,Trifolium albopurpureum,,,,,
9,Trifolium ciliolatum?,,,,,
9,Trifolium fucatum,,,,,
9,Trifolium microdon,,,,,
9,Trifolium variegatum,,,,,
9,Trifolium willdenovii,,,,,
9,Uropappus lindleyi,,,,,
9,Vulpia microstachys,,,,,
9,Zigadenus fremontii,,,,,
9,Bare,55,60,54,32,27
9,Rock,,,,1,
NOTES:,Plot 1 completely destroyed by vehicle,,,,,
,Used yellow flag for #5 marker,,,,,
,"Plot 1 - driven thru, visible tire tracks, ",,,,,
,v little veg ,,,,,
10,Achyrachaena mollis,,,,,
10,Aegilops triuncialis,18,20,40,3.5,2.5
10,Agoseris heterophylla,0.3,0.2,0.3,0.3,
10,Astragalus gambelianus,,0.1,,,
10,Athysanus pusillus,,0.1,,,
10,Avena barbata,,2,18,10,90
10,Bromus hordeaceus,20,1,6,50,9
10,Bromus madritensis,0.2,,,,
10,Calochortus luteus,0.3,0.2,0.2,0.2,
10,Calycadenia pauciflora,,0.7,,,
10,Castilleja attenuata,2.5,0.2,,0.6,0.1
10,Centaurium trichanthum,,,,,
10,Clarkia purpurea,1,0.3,,,0.3
10,Delphinium variegatum,3,0.6,,,3
10,Dichelostemma capitatum,0.1,0.1,0.2,2.5,0.1
10,Elymus elymoides,,8,,,
10,Epilobium brachycarpum,,,,,
10,Eremocarpus setigerus,0.3,0.1,0.1,0.4,0.3
10,Euphorbia crenulata,,,,,
10,Gastridium ventricosum,0.1,,,,
10,Gilia tricolor,0.3,,,0.8,
10,Githopsis specularioides,0.2,,,,
10,Grindelia camporum,,,,,
10,Holocarpha virgata,2,0.7,4,2,0.3
10,Hordeum marinum,,,,,
10,Hypochaeris glabra,,,,,
10,Lactuca serriola,,,,,
10,Lasthenia californica,,4,1.5,3.5,1
10,Lepidium nitidum,1,,,,
10,Linanthus bicolor,0.6,0.3,1.1,4,1.2
10,Lolium multiflorum,,,,,
10,Lotus wrangelianus,,0.1,0.1,0.8,3
10,Micropus californicus,0.5,0.1,0.4,0.6,
10,Microseris douglasii,,,,,
10,Navarretia pubescens,0.6,0.3,,0.1,
10,Plantago erecta,2,0.3,0.2,1,0.4
10,Plectritis ciliosa,,,0.2,,
10,Poa secunda,0.1,,,,
10,Ranunculus occidentalis,,,,,
10,Rigiopappus leptocladus,,,,,
10,Sidalcea diploscypha,,,,,
10,Silene gallica,,,,0.2,0.5
10,Taeniatherum caput-medusae,,,,,
10,Trifolium albopurpureum,,,,,
10,Trifolium willdenovii,,,,,
10,Trifolium variegatum,,,,0.2,2
10,Triphysaria eriantha,,,,,
10,Viola douglasii,2.5,3,,,
10,Vulpia microstachys,1,5,0.6,0.5,3.5
10,Bare,4,1,7,2,1.5
10,Rock,3,10,,0.3,
NOTES:,,,,,,
11,Achyrachaena mollis,,,0.2,,
11,Aegilops triuncialis,,,,,
11,Agoseris heterophylla,0.4,2,0.2,7,
11,Ancistrocarphus filagineus,,,,6,
11,Astragalus gambelianus,,0.1,,,
11,Athysanus pusillus,1,,0.1,0,0.3
11,Bromus hordeaceus,15,15,20,16,25
11,Calochortus luteus,0.2,,0.2,0.4,
11,Camissonia gracilis,,,0.1,0.2,
11,Calycadenia pauciflora,,0.1,,,
11,Castilleja attenuata,,,0.3,,
11,Centaurea solstitialis,,,,,
11,Cerastium glomeratum,0.5,,,,
11,Chlorogalum pomeridianum,,,,1,
11,Clarkia purpurea,5,0.2,1.5,,
11,Delphinium variegatum,3.5,,0.4,,0.5
11,Dichelostemma capitatum,0.2,0.1,0.2,2,0.2
11,Eremocarpus setigerus,,,,0.1,
11,Filago gallica,,,,,
11,Gastridium ventricosum,,,,,
11,Gilia tricolor,,,,,
11,Githopsis specularioides,,,,0.4,
11,Grindelia camporum,12,1,,1,
11,Hemizonia congesta,,,,,
11,Holocarpha virgata,,1.2,9,1,
11,Hypochaeris glabra,,0.1,,,
11,Lactuca serriola,,,,,0.1
11,Lasthenia californica,1,3.5,3,0.1,0.1
11,Lepidium nitidum,,,,,
11,Linanthus bicolor,3.5,,0.2,,0.2
11,Lolium multiflorum,,,,,1
11,Lomatium dasycarpum,,1,,,
11,Lomatium macrocarpum,,,,,
11,Lomatium marginatum,,3,,,
11,Lotus humistratus,,,0.5,,
11,Lotus wrangelianus,0.2,0.4,3,0.1,
11,Lupinus bicolor,0.3,0.2,1.5,0.2,
11,Medicago polymorpha,,,,,
11,Micropus californicus,4.1,1.2,2.5,,
11,Microseris douglasii,,0.2,1,0.8,
11,Mimulus douglasii,,,,,
11,Nassella pulchra,8,4.3,9,7,11
11,Navarretia jepsonii,0.4,,1,0.5,
11,Navarretia pubescens,,2.2,2.2,0.4,
11,Pectocarya pusilla,,,,,
11,Plantago erecta,,0.2,3,0.1,
11,Plectritis ciliosa,0.4,0.1,0.5,,
11,Poa secunda,0.1,,,2,
11,Ranunculus occidentalis,,,,,
11,Rigiopappus leptocladus,,,0.2,,
11,Sanicula bipinnata,1.7,7.5,0.4,,
11,Sanicula bipinnatifida,,,,,
11,Sidalcea diploscypha,,,0.3,0.4,
11,Stellaria media,,,,,
11,Stellaria nitens,0.1,0.1,,,0.2
11,Taeniatherum caput-medusae,2,3,0.1,2,
11,Trifolium albopurpureum,0.3,0.6,4,,
11,Trifolium bifidum,,,,,
11,Trifolium gracilentum,,,,,
11,Trifolium hirtum,,,,,0.1
11,Triphysaria eriantha,,3.5,,,
11,Vicia villosa,,,,0.4,
11,Vulpia microstachys,0.1,2.5,0.6,,
11,Wyethia glabra,,,,,
11,Bare,6,1,3,23,1.5
11,Rock,,3,1.5,4,
NOTES:,Plot 5 downslope by road,,,,,
12,Achyrachaena mollis,0.1,,,,
12,Aegilops triuncialis,0.2,0.2,0.2,,
12,Agoseris heterophylla,,,,0.1,
12,Allium sp.,,,,,
12,Ancistrocarphus filagineus,,,,,0.3
12,Astragalus breweri,6.5,1,,,
12,Astragalus gambelianus,0.3,,0.1,,
12,Athysanus pusillus,,,,,
12,Avena barbata,10,0.3,,8,0.2
12,Bromus hordeaceus,2,,1.3,6,0.2
12,Bromus madritensis,,,,,
12,Calochortus luteus,,0.1,,,
12,Calycadenia pauciflora,,,,,2.5
12,Camissonia graciliflora,,,,,
12,Castilleja attenuata,,0.4,0.1,0.8,0.2
12,Chlorogalum pomeridianum,,0.5,,,4
12,Clarkia purpurea,,,,0.1,
12,Cuscuta californica,,,,,
12,Delphinium variegatum,0.2,0.1,0.3,0.7,0.1
12,Dichelostemma capitatum,0.3,0.1,0.1,,0.1
12,Eremocarpus setigerus,,,0.1,0.1,0.1
12,Erodium cicutarium,,,,,
12,Filago californica,,,,,
12,Filago gallica,,,,,
12,Gastridium ventricosum,,,,,
12,Githopsis specularioides,,,,,
