Site,Spp,1,2,3,4,5,Notes
4,Castilleja rubicundula,,,,,,
4,Centaurea solstitialis,,,,,,
4,Chlorogalum pomeridianum,0.9,2,0.5,,20,
4,Chorizanthe membranacea,,,,,,
4,Clarkia gracilis,,,,,,
4,Clarkia purpurea,,,,,,
4,Collinsia sparsiflora,,,,,,
4,Delphinium variegatum,,,,,,
4,Dichelostemma capitatum,0.3,0.2,0.5,,,
4,Epilobium brachycarpum,0.2,,,4,,
4,Eremocarpus setigerus,,,,,,
4,Eriogonum vimineum,0.6,,,,,
4,Euphorbia crenulata,,,,0.1,,
4,Filago gallica,,,,,,
4,Grindelia camporum,,8,,,,
4,Hemizonia congesta,2,0.3,0.1,0.1,3,
4,Hesperolinon californicum,,1,2,3,,
4,Holocarpha virgata,,,,,,
4,Hypochaeris glabra,,,,,,
4,Lactuca serriola,0.1,,0.1,0.2,0.5,
4,Lagophylla minor,,0.1,0.1,,,
4,Lasthenia californica,2,3,3,,,
4,Lotus humistratus,,,,,,
4,Lotus micranthus,,,,,,
4,Lotus purshianus,,,,,,
4,Lotus wrangelianus,0.1,,0.1,,0.1,
4,Lupinus bicolor,,,,,,
4,Melica californica,,,,,,
4,Micropus californicus,,,,,,
4,Microseris douglasii,,,,,,
4,Minuartia douglasii,,,,,,
4,Nassella pulchra,10,7,2,1,2,
4,Navarretia jepsonii,,,,,,
4,Navarretia pubescens,,,,,,
4,Phlox gracilis,0.1,,,,,
4,Plantago erecta,9,12,3,0.1,,
4,Poa secunda,,,0.2,,,
4,Rigiopappus leptocladus,,,0.1,,,
4,Sidalcea diploscypha,,,,,0.1,
4,Stellaria nitens,,,,,,
4,Taeniatherum caput-medusae,0.1,,,,0.3,
4,Trifolium bifidum,,,,,,
4,Trifolium fucatum,,,,,,
4,Trifolium gracilentum,,,,,,
4,Uropappus lindleyi,,,,,,
4,Vulpia microstachys,0.2,,2,,0.1,
4,Vulpia myuros,,,,,,
4,Zigadenus fremontii,,,,,,
5,Achyrachaena mollis,,,0.1,,,
5,Aegilops triuncialis,3,10,2,,,
5,Agoseris heterophylla,,,,,,
5,Anagallis arvensis,,0.1,,,,
5,Ancistrocarphus filagineus,,,,,,
5,Avena fatua,25,0.1,50,13,19,
5,Brodiaea elegans,,,,,,
5,Bromus diandrus,,,,,,
5,Bromus hordeaceus,,,,,,
5,Bromus japonicus,,,,,,
5,Bromus madritensis,,,,,,
5,Calochortus luteus,,,,,,
5,Calochortus superbus,,0.2,,0.1,,"in fruit, ID uncertain"
5,Calochortus vestae,,,,,,
5,Castilleja rubicundula,,,,,,
5,Centaurea solstitialis,,,,4,0.4,
5,Cerastium glomeratum,,,,,,
5,Chlorogalum pomeridianum,,0.4,,,2,
5,Clarkia gracilis,,,,,,
5,Clarkia purpurea,,,,,,
5,Collinsia sparsiflora,,,,,,
5,Delphinium variegatum,,,,,,
5,Dichelostemma capitatum,0.2,2,2,2,2,
5,Epilobium brachycarpum,,,0.3,0.2,,
5,Eremocarpus setigerus,,,,,,
5,Euphorbia crenulata,,,,,,
5,Grindelia camporum,,,,3,3,
5,Helianthella species,,,,0.4,,
5,Hemizonia congesta,0.4,,1,,,
5,Holocarpha virgata,,,,,,
5,Lactuca serriola,,0.3,0.2,0.5,0.1,quad 2 Lactuca saligna
5,Lasthenia californica,,,,,,
5,Lolium multiflorum,,,,,,
5,Lomatium marginatum,,0.2,,,,
5,Lomatium utriculatum,0.3,,,,0.9,
5,Lotus micranthus,,,,,,
5,Lotus purshianus,,,,1,9,
5,Lotus wrangelianus,0.1,0.2,,,,
5,Lupinus succulentus,,,,,,
5,Medicago polymorpha,,,,,,
5,Melilotus indica,,,,,,
5,Micropus californicus,,,,,,
5,Microseris douglasii,,,,,,
5,Nassella pulchra,,6,,0.4,3,
5,Perideridia kelloggii,,,,3,,
5,Phlox gracilis,,,,,,
5,Plantago erecta,,2,,,,
5,Poa secunda,,,,,,
5,Quercus species,,,0.1,,,
5,Ranunculus occidentalis,,0.7,,2,1,
5,Rigiopappus leptocladus,,,,,,
5,Senecio vulgaris,,,,,,
5,Sidalcea diploscypha,,,,,,
5,Sisyrinchium bellum,16,12,,,,
5,Stellaria nitens,,,,,,
5,Taeniatherum caput-medusae,1,,,,,
5,Torilis arvensis,,,,,,
5,Trifolium albopurpureum,,,,,,
5,Trifolium bifidum,,,0.1,,,
5,Trifolium fucatum,,,,,,
5,Trifolium gracilentum,,0.1,0.1,,,
5,Triteleia laxa,,,,,,
5,Vulpia microstachys,1,2,0.3,,,
5,Vulpia myuros,,,,,,
5,Zigadenus fremontii,,,,,,
6,Agoseris heterophylla,0.1,0.2,,,0.3,
6,Ancistrocarphus filagineus,2,,,0.1,,
6,Astragalus gambelianus,,,,0.1,,
6,Athysanus pusillus,,0.1,0.2,0.1,,
6,Avena fatua,,,,,,
6,Bromus hordeaceus,,2,,,,
6,Calandrinia ciliata,,,,,,
6,Calycadenia pauciflora,,,,,,
6,Camissonia graciliflora,,,,0.1,,
6,Castilleja attenuata,,,,,,
6,Chlorogalum pomeridianum,,,,,4,
6,Clarkia gracilis,,,,,,
6,Collinsia sparsiflora,0.1,0.8,0.7,4,7,
6,Dichelostemma capitatum,0.4,0.2,,,0.3,
6,Elymus elymoides,,4,,0.1,,
6,Epilobium brachycarpum,0.1,,,,0.3,
6,Eremocarpus setigerus,0.1,,,,0.1,
6,Eriogonum nudum,,,,,,
6,Eriogonum vimineum,0.1,0.8,2,0.3,0.2,
6,Erodium cicutarium,,,,,,
6,Euphorbia crenulata,0.1,,,,0.1,
6,Filago californica,,,,,,
6,Grindelia camporum,,,,1,,
6,Hemizonia congesta,1,4,1,0.4,2,
6,Hesperolinon californicum,,,,,,
6,Holocarpha virgata,,,,,,
6,Hordeum brachyantherum,4,,,,,
6,Hordeum marinum,,,,,,
6,Lactuca serriola,0.3,1,0.3,,0.1,quad 1 & 2 are Lactuca saligna
6,Lasthenia californica,0.2,0.1,2,12,15,
6,Lepidium nitidum,,,,,,
6,Linanthus bicolor,,,0.1,,,
6,Lolium multiflorum,,,,,,
6,Lotus humistratus,,,,,,
6,Lotus micranthus,,,,,,
6,Melica californica,,,,,,
6,Micropus californicus,,0.1,0.1,,,
6,Microseris douglasii,0.3,,,,0.7,
6,Minuartia californica,,,,,,
6,Minuartia douglasii,,,,,,
6,Nassella pulchra,10,20,32,17,12,
6,Navarretia jepsonii,0.1,,,,,
6,Phlox gracilis,0.2,1,0.4,,0.1,
6,Plantago erecta,0.1,,0.2,0.1,0.4,
6,Poa secunda,2,1,,,,
6,Rigiopappus leptocladus,,,,,,
6,Sagina apetala,,,,,,
6,Sidalcea diploscypha,0.2,0.2,0.1,,0.5,
6,Sisyrinchium bellum,,,,,,
6,Stellaria nitens,0.1,0.2,0.1,,,
6,Trifolium albopurpureum,,0.1,,,,
6,Trifolium bifidum,,,,,,
6,Trifolium gracilentum,,,,,,
6,Vulpia microstachys,5,2,3,5,2,
6,Vulpia myuros,,,,,,
6,Zigadenus fremontii,,,,2,0.6,
7,Achyrachaena mollis,0.1,,0.2,1,,
7,Aegilops triuncialis,,0.1,1,0.1,,pulled
7,Agoseris heterophylla,0.3,0.1,0.8,0.3,2,
7,Anagallis arvensis,,,,,,
7,Ancistrocarphus filagineus,0.2,,,,,
7,Astragalus breweri,,,,,,
7,Astragalus gambelianus,0.1,,,,0.2,
7,Athysanus pusillus,,,,,,
7,Avena fatua,,,,,,
7,Brodiaea elegans,,,,,,
7,Bromus hordeaceus,,,,,,
7,Bromus madritensis,,,,,,
7,Calandrinia ciliata,,,,0.2,,
7,Calochortus luteus,0.1,,,,,"ID uncertain, in fruit"
7,Calochortus superbus,,,,,,
7,Calycadenia pauciflora,,,,,,
7,Camissonia graciliflora,0.5,13,,,,
7,Castilleja attenuata,,,,,,
7,Castilleja rubicundula,,,,,,
7,Centaurium trichanthum,,,,,,
7,Clarkia purpurea,3,,,,,
7,Collinsia sparsiflora,,,,,,
7,Delphinium variegatum,,0.2,,,,
7,Dichelostemma capitatum,0.7,0.3,3,0.8,0.3,
7,Epilobium brachycarpum,0.1,,,,0.1,
7,Eremocarpus setigerus,0.4,1,3,0.1,,
7,Euphorbia crenulata,,0.2,0.4,,,
7,Filago gallica,,,,,,
7,Fritillaria pluriflora,,,,,,
7,Gilia tricolor,,,,,,
7,Grindelia camporum,,,0.4,,,
7,Hemizonia congesta,,4,15,0.3,0.5,
7,Holocarpha virgata,9,0.2,,,1,
7,Hordeum marinum,,,,,,
7,Hypochaeris glabra,,,,,,
7,Lactuca serriola,,,,,,
7,Lasthenia californica,2,0.4,0.1,0.1,,
7,Linanthus bicolor,0.2,0.7,,0.3,,
7,Lolium multiflorum,,,,,,
7,Lomatium dasycarpum,,,,,,
7,Lotus humistratus,,,,,0.2,
7,Lotus wrangelianus,0.2,,,0.2,1,
7,Lupinus bicolor,,,,,,
7,Medicago polymorpha,,,,,,
7,Micropus californicus,10,3,,0.1,0.1,
7,Microseris douglasii,,,,,,
7,Mimulus douglasii,0.1,,,,,
7,Mimulus guttatus,,,,,0.2,
7,Minuartia californica,,,,,,
7,Minuartia douglasii,,,,,,
7,Nassella pulchra,,,,,,
7,Navarretia jepsonii,16,,,,,
7,Phlox gracilis,,,0.1,0.2,,
7,Plantago erecta,,0.8,,40,20,
7,Poa secunda,,,,3,3,
7,Rigiopappus leptocladus,0.7,,,,0.7,
7,Sagina apetala,,,,,,
7,Sidalcea diploscypha,,0.4,3,0.5,,
7,Silene gallica,,,,,,
7,Stellaria nitens,,,,,,
7,Taeniatherum caput-medusae,,,,,,
7,Trifolium albopurpureum,,,,,,
7,Trifolium bifidum,,,,,,
7,Trifolium ciliolatum,,,,,,
7,Trifolium fucatum,,,,,,
7,Trifolium gracilentum,,,0.1,0.1,,
7,Trifolium hirtum,,,,,,
7,Trifolium microcephalum,,,,,,
7,Trifolium microdon,,,,,,
7,Trifolium variegatum,,,,,,
7,Trifolium willdenovii,,,,,0.1,
7,Vulpia microstachys,2,1,,0.2,,
7,Zigadenus fremontii,,,,,,
8,Achyrachaena mollis,,0.1,0.1,,,
8,Aegilops triuncialis,,,,,,
8,Agoseris heterophylla,,3,1,3,13,
8,Allium serra,,,,,,
8,Anagallis arvensis,0.1,,,,0.1,
8,Apocynum cannabinum,,,,,,
8,Asclepias eriocarpa,,,7,,,
8,Asclepias fascicularis,,,,,,
8,Astragalus breweri,,,,,,
8,Athysanus pusillus,0.1,,0.1,,0.1,
8,Avena fatua,,,,,0.5,
8,Brodiaea elegans,,,,,,
8,Bromus hordeaceus,,,,1,6,
8,Calochortus luteus,,,,,,
8,Calochortus superbus,,,,,,
8,Camissonia ovata,,,,,,
8,Cardamine oligosperma,,,,0.1,0.2,
8,Castilleja attenuata,,,,,,
8,Castilleja rubicundula,,,,,,
8,Cerastium glomeratum,,,,,,
8,Clarkia purpurea,,,0.3,0.5,,
8,Delphinium variegatum,,,,,,
8,Dichelostemma capitatum,,0.3,2,0.3,1.5,
8,Elymus elymoides,,,,,,
8,Elytrigia repens,,,,,,
8,Epilobium brachycarpum,0.1,2,,0.2,,
8,Eremocarpus setigerus,,,0.1,,0.5,
8,Erodium brachycarpum,0.1,,,,,
8,Erodium cicutarium,,,,,,
8,Euphorbia crenulata,0.9,0.4,,,,
8,Filago gallica,,,,,,
8,Gastridium ventricosum,,,,,,
8,Geranium dissectum,,,1.5,21,0.1,
8,Grindelia camporum,6,5,,,,
8,Hemizonia congesta,3,24,0.1,23,16,
8,Holocarpha virgata,,,8,2,,
8,Hordeum marinum,,,,,,
8,Hypochaeris glabra,,,,,,
8,Lactuca serriola,0.1,,,0.2,0.2,Quad 5 is Lactuca saligna
8,Lasthenia californica,,0.8,0.8,,,
8,Lepidium nitidum,,,,,,
8,Linanthus bicolor,,0.1,,,,
8,Lolium multiflorum,14,18,,3,3,
8,Lotus wrangelianus,,,,,,
8,Lupinus bicolor,,,0.3,1.2,0.4,
8,Medicago polymorpha,,,,,,
8,Micropus californicus,,,1,,,
8,Navarretia pubescens,,,,,,
8,Nemophila menziesii,,,,5,0.3,
8,Nemophila pedunculata,,,,,,
8,Perideridia kelloggii,3,2,,,,
8,Phlox gracilis,,,,,,
8,Plantago erecta,,,31,0.3,,
8,Plectritis ciliosa,,0.4,0.1,,,
8,Poa secunda,2,,,,,
8,Ranunculus occidentalis,0.6,1.5,,,1,
8,Senecio vulgaris,,,,,,
8,Sidalcea diploscypha,,,0.3,,,
8,Stellaria nitens,,,,,,
8,Taeniatherum caput-medusae,,,,,13,
8,Thysanocarpus curvipes,,,,,,
8,Trifolium bifidum,,,,,,
8,Trifolium dubium,,,,,,
8,Trifolium fucatum,,,,,,
8,Trifolium gracilentum,,,,,,
8,Trifolium hirtum,,,,,,
8,Trifolium willdenovii,,,,,,
8,Triphysaria eriantha,,,,,,
8,Viola douglasii,0.5,,,,,
8,Vulpia bromoides,,,,,,
8,Vulpia microstachys,,0.2,0.2,2,2,
8,Vulpia myuros,,,,,,
8,Wyethia glabra,,12,,,,
8,Zigadenus fremontii,,0.3,,,,
9,Achyrachaena mollis,,,,,,
9,Aegilops triuncialis,,,,,0.1,pulled
9,Agoseris grandiflora,,,,,,
9,Agoseris heterophylla,7,4,0.5,0.1,0.5,
9,Anagallis arvensis,,,,,6,
9,Ancistrocarphus filagineus,,,11,33,,
9,Antirrhinum vexillo-calyculatum,,,0.1,,0.7,
9,Asclepias fascicularis,,,,,0.1,
9,Astragalus gambelianus,,,,,,
9,Avena fatua,,,,,,
9,Brodiaea elegans,,,,,,
9,Bromus diandrus,,,,,,
9,Bromus hordeaceus,,,,,,
9,Bromus madritensis,,,,,,
9,Caladrina ciliata,,0.3,,,,
9,Castilleja rubicundula,0.5,,,,,
9,Cerastium glomeratum,,,,,,
9,Clarkia purpurea,,,,,18,
9,Dichelostemma capitatum,,,,,0.1,
9,Epilobium brachycarpum,,3,0.5,0.4,,
9,Eremocarpus setigerus,,,0.1,,,
9,Eriodictyon californicum,,,,,,
9,Eriogonum nudum,,,7,,,
9,Eriogonum vimineum,,,,,,
9,Euphorbia crenulata,0.3,0.2,,,0.1,
9,Gastridium ventricosum,,,,,,
9,Helianthus exilis,,,,,0.2,
9,Hemizonia congesta,43,24,9,1.2,5,
9,Hordeum marinum,,,,,,
9,Juncus sp,7,0.2,0.1,0.1,0.2,
9,Lactuca serriola,0.3,,,,,
9,Lolium multiflorum,,,,,,
9,Lotus humistratus,,,2,1.2,2,
9,Lotus micranthus,,,,,,
9,Lotus purshianus,,,,,0.3,
9,Lotus wrangelianus,,,,,,
9,Lupinus bicolor,,,,,,
9,Mimulus guttatus,,,,,,
9,Nassella pulchra,,,1,,,
9,Navarretia jepsonii,,,12,22,,
9,Navarretia pubescens,,,,,,
9,Phlox gracilis,,,,,,
9,Plantago erecta,,,,,0.2,
9,Poa secunda,,,,,,
9,Polypogon monspeliensis,,,,,,
9,Ranunculus occidentalis,,,,,,
9,Sidalcea diploscypha,,2,,,,
9,Streptanthus breweri,,,,,,
9,Taeniatherum caput-medusae,,,,,,
9,Trifolium albopurpureum,,,,,,
9,Trifolium ciliolatum,,,,,,
9,Trifolium fucatum,,,,,,
9,Trifolium microdon,,,,,,
9,Trifolium variegatum,,,,,,
9,Trifolium willdenovii,,,,,,
9,Triteleia hyacinthina,0.1,,,,,"ID uncertain, in fruit"
9,Uropappus lindleyi,,,,,,
9,Vulpia microstachys,,,,,,
9,Zigadenus fremontii,1,,,,,
10,Achyrachaena mollis,,,,,,
10,Adenostoma fasciculatum,,,,,,
10,Aegilops triuncialis,,0.1,2,,,pulled in quad 2
10,Agoseris heterophylla,,,0.3,0.2,0.1,
10,Ancistrocarphus filagineus,,,,,,
10,Astragalus breweri,,0.1,0.1,0.1,,
10,Astragalus gambelianus,,,,,,
10,Athysanus pusillus,,,,,,
10,Avena fatua,,0.3,,,,
10,Bromus hordeaceus,0.1,0.1,0.1,,0.3,
10,Bromus madritensis,,,,,,
10,Calochortus luteus,,,,,,
10,Calochortus superbus,,,,1,0.6,
10,Calycadenia pauciflora,,0.2,,,,
10,Castilleja attenuata,,,,,,
10,Centaurium trichanthum,,,,,,
10,Clarkia purpurea,0.2,0.1,0.4,1,2,
10,Delphinium variegatum,4,0.1,,,,
10,Dichelostemma capitatum,,0.1,0.2,2,0.1,
10,Elymus elymoides,,9,,,,
10,Epilobium brachycarpum,,,,,,
10,Eremocarpus setigerus,0.6,0.5,0.2,3,1,
10,Euphorbia crenulata,,,,,,
10,Gastridium ventricosum,,,,,,
10,Gilia tricolor,0.9,,,2,,
10,Githopsis specularioides,,,0.1,,,
10,Grindelia camporum,,,,,,
10,Holocarpha virgata,5,10,17,9,4,
10,Hordeum marinum,,,,,,
10,Hypochaeris glabra,,,,,,
10,Lactuca serriola,,,,,,
10,Lasthenia californica,0.3,0.8,1.3,8,,
10,Lepidium nitidum,,,,,,
10,Linanthus bicolor,0.3,0.2,0.8,13,1,
10,Lolium multiflorum,,,,,,
10,Lomatium dasycarpum,,,,,,
10,Lotus wrangelianus,,,0.5,1,36,
10,Micropus californicus,0.3,0.1,0.3,1,,
10,Microseris douglasii,,,,,,
10,Navarretia pubescens,3,1,,2,0.2,
10,Plantago erecta,28,11,0.2,11,11,
10,Plectritis ciliosa,,,,,,
10,Poa bulbosa,,,,,,
10,Poa secunda,,,,,0.8,
10,Ranunculus occidentalis,,,,,,
10,Rigiopappus leptocladus,,,,,,
10,Sidalcea diploscypha,,,,,,
10,Silene gallica,,,,,,
10,Taeniatherum caput-medusae,,,,,,
10,Trifolium albopurpureum,,,,,,
10,Trifolium gracilentum,,,,,,
10,Trifolium variegatum,,,,,,
10,Trifolium willdenovii,,,,,,
10,Triphysaria eriantha,0.1,,,0.1,,
10,Viola douglasii,2,6,,,,
10,Vulpia microstachys,2,2,4,3,1,
11,Achyrachaena mollis,,,,,,
11,Aegilops triuncialis,,,,,,
11,Agoseris heterophylla,0.2,0.1,0.5,0.2,0.4,
11,Ancistrocarphus filagineus,,,,2,,
11,Astragalus breweri,,,,,,
11,Astragalus gambelianus,,,,,,
11,Athysanus pusillus,,,,,0.3,
11,Avena fatua,,,,,,
11,Bromus hordeaceus,0.1,5,5,5,3,
11,Calochortus luteus,0.1,0.1,,0.2,0.2,
11,Calycadenia pauciflora,,1,,,,
11,Camissonia graciliflora,,,0.7,0.6,,
11,Castilleja attenuata,,,,,,
11,Centaurea solstitialis,,,,,,
11,Cerastium glomeratum,,,,,,
