site,Spp,1,2,3,4,5,Notes
3,Camissonia graciliflora,0.1,,,,,
3,Camissonia ovata,,,,,,
3,Castilleja rubicundula,,,,,,
3,Centaurea solstitialis,,,,,2,
3,Chlorogalum pomeridianum,,,,,,
3,Chorizanthe membranacea,1.5,,,,,
3,Clarkia gracilis,,,1.5,,,
3,Collinsia sparsiflora,,,0.3,,,
3,Cuscuta californica,,,,,,
3,Delphinium variegatum,,,,,0.1,"very small leaves, ID uncertain"
3,Dichelostemma capitatum,0.1,,0.5,,0.3,
3,Epilobium brachycarpum,,,,,,
3,Eremocarpus setigerus,,,,,,
3,Eriogonum nudum,,,,,,
3,Eriogonum vimineum,0.1,1.3,0.2,0.3,,
3,Erodium cicutarium,,,,9,,
3,Euphorbia crenulata,,,,,,
3,Filago gallica,,,,,,
3,Gilia tricolor,3,,,0.1,,
3,Grindelia camporum,,,,,1.2,
3,Hemizonia congesta,,,9,,0.7,
3,Holocarpha virgata,2,8,,0.3,,
3,Hypochaeris glabra,,,,,,
3,Hypochaeris radicata,,,,,,
3,Lactuca serriola,,,1,,0.3,"Quad 3, 0.3 is L. saligna, quad 5 all saligna"
3,Lagophylla minor,,0.1,,,,
3,Lasthenia californica,0.1,13,15,,,
3,Lepidium nitidum,,,,,,
3,Lolium multiflorum,,,2,,5,
3,Lotus humistratus,0.8,,,,,
3,Lotus purshianus,,,,,2.4,
3,Lotus wrangelianus,,0.6,7,,1,
3,Lupinus bicolor,,1.5,,0.1,,
3,Lupinus succulentus,,,,,3,
3,Melilotus indica,,,,,,
3,Micropus californicus,0.1,,0.5,0.3,,
3,Microseris douglasii,0.4,3,,,,
3,Mimulus douglasii,,,,,,
3,Nassella pulchra,,0.4,30,,11,
3,Plantago erecta,21,0.3,1.4,3.5,1.3,
3,Ranunculus occidentalis,,,,,,
3,Rigiopappus leptocladus,,,,,,
3,Sidalcea diploscypha,,,0.7,,,
3,Sisyrinchium bellum,,,,,1,
3,Streptanthus breweri,,,,,,
3,Taeniatherum caput-medusae,,,,,0.1,
3,Thysanocarpus curvipes,,,,,,
3,Torilis arvensis,,,,,,
3,Trifolium albopurpureum,,,3,,,
3,Trifolium fucatum,,,,,1.2,
3,Trifolium gracilentum,,,,,,
3,Trifolium hirtum,,,,0.4,0.2,
3,Uropappus lindleyi,,,,,,
3,Vulpia microstachys,0.4,0.2,2,,0.1,
3,Vulpia myuros,,,,,,
NOTES:,,,,,,,
4,Achyrachaena mollis,,,,0.1,,
4,Aegilops triuncialis,0.1,,,79,,pulled in quad 1
4,Agoseris heterophylla,,,,,,
4,Ancistrocarphus filagineus,,0.1,,,,
4,Astragalus gambelianus,,0.2,0.1,,,
4,Athysanus pusillus,,,,,,
4,Avena fatua,12,11,21,50,50,
4,Bromus hordeaceus,7,1,4,12,0.2,
4,Bromus madritensis,,,,,,
4,Calochortus luteus,,,,,,
4,Calycadenia pauciflora,11,2.6,5,,,
4,Camissonia graciliflora,,,,,,
4,Centaurea solstitialis,,,,,,
4,Chlorogalum pomeridianum,0.2,1,,,5,
4,Chorizanthe membranacea,,,,,,
4,Clarkia purpurea,,,,,,
4,Collinsia sparsiflora,,,,,,
4,Dichelostemma capitatum,1.1,0.1,0.5,,0.1,
4,Elymus elymoides,,,,,,
4,Epilobium brachycarpum,0.3,,0.1,,,
4,Eremocarpus setigerus,,,,,,
4,Eriogonum vimineum,7,0.1,,,,
4,Euphorbia crenulata,0.5,,,0.1,,
4,Filago gallica,,,,,,
4,Grindelia camporum,,12,,,,
4,Hemizonia congesta,2,0.1,0.2,0.2,0.4,
4,Hesperolinon californicum,,0.4,1.7,0.1,,Seems like disjunctum
4,Hypochaeris glabra,,,,,,
4,Lactuca serriola,0.1,0.1,,0.2,3,Quad 5 all saligna
4,Lasthenia californica,6,9,8,0.3,,
4,Lotus humistratus,,,,,,
4,Lotus micranthus,,,,,,
4,Lotus Purshianus,,,,,,
4,Lotus wrangelianus,0.5,0.1,0.3,0.3,,
4,Melica californica,,,,,,
4,Micropus californicus,,,,,,
4,Microseris douglasii,,,,,,
4,Nassella pulchra,6,11,0.8,1,1,
4,Navarretia jepsonii,,,,,,
4,Phlox gracilis,,,,,,
4,Plantago erecta,9,19,2,0.1,,
4,Poa secunda,,,,,,
4,Rigiopappus leptocladus,,,,,,
4,Sidalcea diploscypha,,,,,,
4,Stellaria nitens,,,,,,
4,Taeniatherum caput-medusae,12,,,0.3,13,
4,Trifolium albopurpureum,,,,,,
4,Trifolium bifidum,0.2,0.1,0.1,1.1,0.4,
4,Trifolium gracilentum,,,,,0.1,hard to tell apart from bifidum
4,Uropappus lindleyi,,,,,,
4,Vulpia microstachys,0.2,2,0.8,1,0.1,
4,Vulpia myuros,,,,,,
4,Zigadenus fremontii,,,,0.1,,
NOTES:,Rebar quad 2-4.Gopher disturbance 10 % quad 5. ,,,,,,
5,Achyrachaena mollis,,0.1,,,,
5,Aegilops triuncialis,0.6,2,3,0.1,,
5,Allium sp.,,,,,,
5,Anagallis arvensis,,0.3,12,,,
5,Avena fatua,25,0.3,43,38,60,Could be barbata.
5,Brodiaea elegans,,,,0.1,,
5,Bromus diandrus,,,,,,
5,Bromus hordeaceus,,0.1,,,,
5,Bromus japonicus,,,,1.2,,nodding reddish late-season brome
5,Bromus madritensis,,,,,,
5,Calochortus luteus,,,,,,
5,Calochortus superbus,,,,0.1,0.3,
5,Castilleja rubicundula,,0.1,,,,
5,Centaurea solstitialis,,,,36,6,
5,Cerastium glomeratum,,,,,,
5,Chlorogalum pomeridianum,,3,,,1,
5,Clarkia gracilis,,,,,,
5,Collinsia sparsiflora,,,,,,
5,Delphinium variegatum,,,,,,
5,Dichelostemma capitatum,,0.8,0.6,0.3,2.1,
5,Epilobium brachycarpum,0.1,0.2,0.2,0.1,,
5,Eremocarpus setigerus,,,,,,
5,Erodium cicutarium,,,,,,
5,Euphorbia crenulata,0.1,0.1,,,,
5,Grindelia camporum,,,,0.9,2.5,
5,Hemizonia congesta,1.1,1.4,0.7,,,
5,Lactuca serriola,37,4,4,8,10,All quads L. saligna only
5,Lasthenia californica,,,,,,
5,Lolium multiflorum,,,,,,
5,Lomantium marginatum,,,,,,
5,Lomatium utriculatum,0.3,,,,0.2,
5,Lotus micranthus,,,,,,
5,Lotus purshianus,,,0.2,0.8,5,
5,Lotus wrangelianus,,,,0.1,1,
5,Melilotus indica,,,,,,
5,Micropus californicus,,,,,,
5,Microseris douglasii,,,,,,
5,Nassella pulchra,,3,,0.4,10,
5,Perideridia kelloggii,,,,1,,
5,Phlox gracilis,,,,,,
5,Plantago erecta,,33,,,,
5,Ranunculus occidentalis,,0.4,,0.4,0.2,
5,Rigiopappus leptocladus,,,,,,
5,Senecio vulgaris,,0.1,,,,
5,Sidalcea diploscypha,0.2,0.1,,,,
5,Sisyrinchium bellum,5,16,,,,
5,Stellaria nitens,,0.1,,0.1,,
5,Taeniatherum caput-medusae,21,3,1,0.2,,
5,Torilis arvensis,,,,,,
5,Trifolium bifidum,,,,,,
5,Trifolium fucatum,,,,,,
5,Trifolium gracilentum,2.7,0.4,1.2,0.2,,
5,Triteleia laxa,,,,,,
5,Triteleia laxa,,,,,,
5,Vulpia microstachys,2.5,5,1.4,,,
5,Vulpia myuros,,,,,,
5,Zigadenus fremontii,,,,0.2,,
NOTES:,,,,,,,
6,Agoseris heterophylla,,0.2,0.2,,0.4,
6,Allium serra,,,,,,
6,Ancistrocarphus filagineus,0.4,,,,,
6,Astragalus gambelianus,,,0.4,0.6,,
6,Athysanus pusillus,0.2,0.2,0.1,0.1,,
6,Avena fatua,,,0.2,,,
6,Bromus hordeaceus,,0.1,0.8,,0.1,
6,Calandrinia ciliata,,0.2,,,,
6,Calycadenia pauciflora,,,,,,
6,Camissonia graciliflora,,,,,,
6,Castilleja attenuata,,,,,,
6,Chlorogalum pomeridianum,,,,,1.2,
6,Collinsia sparsiflora,2,1.2,0.3,4,3,
6,Dichelostemma capitatum,0.6,0.6,0.3,1,0.2,
6,Elymus elymoides,,2,,,,
6,Epilobium brachycarpum,0.1,0.5,0.6,0.1,0.5,
6,Eremocarpus setigerus,,,,,,
6,Eriogonum vimineum,5,1.5,3,1.7,0.3,
6,Euphorbia crenulata,0.1,0.4,0.2,,0.1,
6,Filago californica,,,,,,
6,Grindelia camporum,,,,,,
6,Hemizonia congesta,11,4,7,1.5,24,
6,Hordeum brachyantherum,7,,,,,
6,Hordeum marinum,,,,,,
6,Lactuca serriola,5,34,2.5,0.2,10,All quads L. saligna only
6,Lasthenia californica,2.7,0.3,10,40,37,
6,Linanthus bicolor,,,0.1,,,
6,Lolium multiflorum,,,,,,
6,Lotus humistratus,,,0.1,,,
6,Lotus micranthus,,,,,,
6,Micropus californicus,,,0.1,0.1,,
6,Microseris douglasii,0.1,,,0.1,,
6,Minuartia californica,,,,0.1,,
6,Nassella pulchra,10,37,26,44,19,
6,Navarretia jepsonii,0.1,,,,,
6,Phlox gracilis,,1.3,0.6,,,
6,Plantago erecta,0.1,,,0.2,,
6,Poa secunda,1,1,,,0.1,
6,Sidalcea diploscypha,0.1,0.3,,,0.2,
6,Sisyrinchium bellum,,,,,,
6,Stellaria nitens,,1.3,0.5,,,
6,Trifolium albopurpureum,,0.1,0.2,,,
6,Trifolium bifidum,,,,,,
6,Trifolium gracilentum,,,,,,
6,Vulpia microstachys,10,15,3,16,4,
6,Vulpia myuros,,,,,,
6,Zigadenus fremontii,1,0.2,,0.4,1,
NOTES:,,,,,,,
7,Achyrachaena mollis,0.1,,,0.6,,
7,Aegilops triuncialis,1.4,0.6,0.6,0.1,,pulled all quads
7,Agoseris heterophylla,1,2.6,3,0.2,0.8,
7,Allium sp.,,,,,,
7,Anagallis arvensis,,,,,,
7,Ancistrocarphus filagineus,,,,,,
7,Astragalus breweri,,,,,,
7,Astragalus gambelianus,,,,,,
7,Athysanus pusillus,,,,,,
7,Avena fatua,,,,,,
7,Brodiaea elegans,0.1,,,,,
7,Bromus hordeaceus,,,,,,
7,Bromus madritensis,,,,,,
7,Calochortus luteus,,,,,,
7,Calycadenia pauciflora,,,,,0.6,
7,Camissonia graciliflora,,0.4,,,,
7,Camissonia ovata,,,,,,
7,Castilleja attenuata,,,,,0.2,
7,Castilleja rubicundula,,,,,0.1,
7,Centaurium trichanthum,,,,,,
7,Clarkia purpurea,0.3,0.1,,,0.3,
7,Delphinium variegatum,0.1,,,,,
7,Dichelostemma capitatum,0.8,1.4,0.3,0.6,0.3,
7,Epilobium brachycarpum,0.5,0.5,0.2,0.3,0.1,
7,Eremocarpus setigerus,,,,,,
7,Euphorbia crenulata,,0.3,0.1,,,
7,Filago gallica,,,,,,
7,Gilia tricolor,,,,,,
7,Hemizonia congesta,,37,18,2.3,2.2,
7,Holocarpha virgata,22,0.3,,,0.8,
7,Hordeum marinum,,,,,,
7,Hypochaeris glabra,,,,,,
7,Juncus sp.,,,,,,
7,Lactuca serriola,,,,0.2,,
7,Lasthenia californica,3.2,1.4,,0.2,,
7,Linanthus bicolor,0.1,1.7,,0.4,0.1,
7,Lolium multiflorum,,,,,,
7,Lomatium dasycarpum,,,,,0.1,
7,Lotus humistratus,,,,,16,
7,Lotus wrangelianus,0.7,0.6,24,3,,
7,Lupinus bicolor,,,,,,
7,Medicago polymorpha,,,,,,
7,Micropus californicus,2.3,0.4,,,,
7,Microseris douglasii,,,,0.1,,
7,Mimulus douglasii,,,,,,
7,Mimulus guttatus,,,,,0.6,
7,Minuartia douglasii,,,,,,
7,Nassella pulchra,,,,,,
7,Navarretia jepsonii,9,,,,,
7,Phlox gracilis,,,,0.2,,
7,Plantago erecta,,0.3,,35,6,
7,Poa secunda,,,,2,0.6,
7,Rigiopappus leptocladus,,,,,,
7,Sidalcea diploscypha,,,7.5,0.4,,
7,Silene gallica,,,,,,
7,Stellaria nitens,,0.1,,0.1,,
7,Taeniatherum caput-medusae,,,,0.3,,
7,Trifolium ciliolatum,,,,,,
7,Trifolium bifidum,,0.2,18,,,
7,Trifolium fucatum,,,3,46,1,
7,Trifolium gracilentum,,,,2,,no flowers
7,Trifolium hirtum,,,,,1.3,
7,Trifolium microcephalum,,,,,,
7,Trifolium microdon,,,,,,
7,Trifolium willdenovii,,,,,0.1,very dentate leaves
7,Vulpia microstachys,1,2.5,,0.7,2,
7,Zigadenus fremontii,,,,,1,
7,Calochortus superbus,,,,,,
NOTES:,"Gopher disturbance quad #4, needs 3 rebar. ",,,,,,
8,Achyrachaena mollis,,,0.1,1,,
8,Aegilops triuncialis,,,0.7,,,Pulled
8,Agoseris heterophylla,,0.2,7,0.2,1.5,
8,Allium serra,,,,,,
8,Anagallis arvensis,,,,,,
8,Apocynum cannabinum,,,,,,
8,Asclepias eriocarpa,,,,1.6,,
8,Athysanus pusillus,,,,,,
8,Avena fatua,,,,,,
8,Brodiaea elegans,,,,,0.4,
8,Bromus hordeaceus,,,,0.1,7,
8,Calochortus luteus,,,,,,
8,Calochortus superbus,,,,,,
8,Camissonia ovata,,,,,,
8,Cardamine oligosperma,,,,,,
8,Castilleja attenuata,,,,,,
8,Castilleja rubicundula,,,,,,
8,Cerastium glomeratum,,,,,,
8,Clarkia purpurea,,,0.1,0.1,,
8,Delphinium variegatum,,,,,,
8,Dichelostemma capitatum,0.3,,,0.1,0.6,
8,Elymus elymoides,0.4,,,,,
8,Elytrigia repens,,,,,,
8,Epilobium brachycarpum,,2.4,,2.5,0.2,
8,Eremocarpus setigerus,,,,,,
8,Erodium brachycarpum,,,,,,
8,Erodium cicutarium,,,0.3,,,
8,Euphorbia crenulata,0.2,0.3,,,,
8,Filago gallica,,,2,,,
8,Gastridium ventricosum,,,,,,
8,Geranium dissectum,,,11,45,4,
8,Grindelia camporum,3,0.5,,,,
8,Hemizonia congesta,4,24,0.4,30,12,
8,Holocarpha virgata,,,20,0.3,,
8,Hordeum marinum,,,,,,
8,Hypochaeris glabra,,,0.8,,,
8,Lactuca serriola,,,0.3,0.3,0.5,
8,Lasthenia californica,0.1,0.4,1.9,,,
8,Linanthus bicolor,0.4,0.6,,,,
8,Lolium multiflorum,22,16,,0.3,0.2,
8,Lotus wrangelianus,,,,,,
8,Lupinus bicolor,0.5,5,9.5,2.4,4,
8,Medicago polymorpha,,,,,,
8,Micropus californicus,,,,,,
8,Navarretia pubescens,,,,,,
8,Nemophila menziesii,,,,,0.3,
8,Nemophila pedunculata,,,,,,
8,Perideridia kelloggii,3,1,,,,
8,Phlox gracilis,,,,,,
8,Plantago erecta,,,16,,,
8,Plectritis ciliosa,,1.6,2,0.1,,
8,Poa secunda,1.6,1,0.3,,,
8,Ranunculus occidentalis,0.1,0.9,,,1,
8,Senecio vulgaris,,,,,0.1,
8,Sidalcea diploscypha,,,1.2,,,
8,Stellaria nitens,,,,,0.3,
8,Taeniatherum caput-medusae,12,,,0.2,13,
8,Trifolium bifidum,18,,,,,no flowers
8,Trifolium dubium,,,,,12,
8,Trifolium fucatum,44,26,,40,29,
8,Trifolium gracilentum,,,0.5,,,no flowers
8,Trifolium hirtum,,,1,,,no flowers
8,Trifolium willdenovii,,,,,,
8,Triphysaria eriantha,,,,,,
8,Viola douglasii,0.4,,,,,
8,Vulpia bromoides,,,,,,
8,Vulpia microstachys,0.1,0.4,4,0.6,,
8,Vulpia myuros,,,,3,,
8,Wyethia glabra,,14,,,,
8,Zigadenus fremontii,,,,,,
NOTES:,"Gopher quad 1 - 10%, quad 2 - 15%, needs 1 rebar cap & 3 rebar. ",,,,,,
9,Achyrachaena mollis,,,,,,
9,Aegilops triuncialis,,,,,,
9,Agoseris heterophylla,50,19,2,,0.2,
9,Allium sp.,,,,,,
9,Anagallis arvensis,,0.2,,,32,
9,Ancistrocarphus filagineus,,,2.3,15,,
9,Antirrhinum vexillo-calyculatum,,,,,0.1,
9,Asclepias fascicularis,,,,,0.1,
9,Astragalus gambelianus,,,,,0.1,
9,Avena fatua,,,,,,
9,Brodiaea elegans,,0.3,,,0.2,
9,Bromus diandrus,,,,,,
9,Bromus hordeaceus,,,,,,
9,Bromus madritensis,,,,,,
9,Castilleja rubicundula,0.6,0.2,,,,
9,Cerastium glomeratum,,,,,,
9,Clarkia purpurea,,,0.1,,2.6,
9,Dichelostemma capitatum,,0.1,,0.6,,
9,Epilobium brachycarpum,,3,0.3,0.5,0.4,
9,Eremocarpus setigerus,,,,,,
9,Eriodictyon californicum,,,,,,
9,Eriogonum nudum,,,10,0.1,,
9,Euphorbia crenulata,0.3,0.6,,,,
9,Galium murale,,,,,,
9,Gastridium ventricosum,,,,,,
9,Helianthus exilis,,,,,,
9,Hemizonia congesta,23,20,20,11,31,
9,Hordeum marinum,,,,,,
9,Juncus sp.,10,0.1,,,,not in flower
9,Lactuca serriola,2,,,,,Only L. saligna observed
9,Lolium multiflorum,,,,,,
9,Lomatium dasycarpum,,,,,,
9,Lotus humistratus,,,26,20,1,
9,Lotus micranthus,,,,,,
9,Lotus purshianus,,,,,5,
9,Lotus wrangelianus,,,,,,
9,Lupinus bicolor,,,,,,
9,Mimulus guttatus,5,,,,,
9,Nassella pulchra,,,,,,
9,Navarretia jepsonii,,,1,19,,
9,Navarretia pubescens,,,,,,
9,Phlox gracilis,,,,,,
9,Poa secunda,,,,,,
9,Scutellaria siphoncampyloides,,,,,,
9,Sidalcea diploscypha,,,,,,
9,Streptanthus breweri,,,,,,
9,Taeniatherum caput-medusae,,,,,,
9,Trifolium albopurpureum,,,,,,
9,Trifolium ciliolatum,,,,,,
9,Trifolium fucatum,28,0.9,,,,
9,Trifolium microdon,,,,,,
9,Trifolium variegatum,,,,,,
9,Trifolium willdenovii,,,,,,
9,Triteleia hyacinthina,,,,,,
9,Uropappus lindleyi,,,,,,
9,Vulpia microstachys,,,,,,
9,Zigadenus fremontii,0.6,,,,,
NOTES:,"Gopher - quad 2 - 50 %, needs 3 rebar. ",,,,,,
10,Achyrachaena mollis,,,,,,
10,Adenostoma fasciculatum,,,,,,
10,Aegilops triuncialis,,7,43,1,0.6,
10,Agoseris heterophylla,0.1,,0.8,0.3,0.1,
10,Astragalus gambelianus,0.2,,,,,
10,Athysanus pusillus,,,,,,
10,Avena fatua,,0.2,,,0.1,
10,Bromus hordeaceus,6,0.2,12,14,23,
10,Bromus madritensis,,,,,,
10,Calochortus luteus,,,,,,
10,Calycadenia pauciflora,,,,,,
10,Castilleja attenuata,0.2,,,0.1,,
10,Centaurium trichanthum,,,,,,
10,Clarkia purpurea,0.1,0.2,0.2,,0.1,wider leaves
10,Delphinium variegatum,0.1,,,,,
10,Dichelostemma capitatum,,0.1,0.1,0.3,,
10,Elymus elymoides,,7,,,,
10,Epilobium brachycarpum,,,,,,
10,Eremocarpus setigerus,,,,,,
10,Euphorbia crenulata,,,,,,
10,Gastridium ventricosum,,,,,,
10,Gilia tricolor,1.4,,,1,,
10,Githopsis specularioides,,,,,,
10,Grindelia camporum,,,,,,
10,Hesperolinon sp.,,,,,,
10,Holocarpha virgata,16,24,14,15,14,
10,Hordeum marinum,,,,,,
10,Hypochaeris glabra,0.1,,,,,
10,Lactuca serriola,,,0.1,,0.2,
10,Lasthenia californica,0.6,4,,9,,
10,Lepidium nitidum,,,,,,
10,Linanthus bicolor,0.2,0.1,0.2,0.1,,
10,Lolium multiflorum,,,,,,
10,Lotus wrangelianus,,0.8,1,5,31,
10,Micropus californicus,0.1,0.1,0.2,,0.2,
10,Microseris douglasii,,,,,,
10,Navarretia pubescens,3,2.4,0.3,0.7,0.1,
10,Plantago erecta,43,15,0.1,33,4,
10,Plectritis ciliosa,,,,,,
10,Poa secunda,,0.2,,,,
10,Ranunculus occidentalis,,,,,,
10,Rigiopappus leptocladus,,,,,,
10,Sidalcea diploscypha,,,,,,
10,Silene gallica,,,,,,
10,Taeniatherum caput-medusae,,,,,,
10,Trifolium albopurpureum,,,,,,
10,Trifolium willdenovii,,,,,,
10,Trifolium variegatum,,,,0.2,4,
10,Triphysaria eriantha,,,,,,
10,Viola douglasii,2.5,3,,,,
10,Vulpia microstachys,3,4,0.9,12,1.4,
NOTES:,"Gopher - quad 3 - 20%, quad 4 - 10%. Needs rebar 2-4. ",,,,,,
11,Achyrachaena mollis,,,,,,
11,Aegilops triuncialis,,,,,,
11,Agoseris heterophylla,,,,0.1,,
11,Ancistrocarphus filagineus,,,,0.5,,
11,Astragalus gambelianus,,0.1,,,,
11,Athysanus pusillus,,,,,0.2,
11,Bromus hordeaceus,13,40,40,23,2,
11,Calochortus luteus,0.1,,,,0.1,fruit no flowers
11,Camissonia graciliflora,,,,,,
11,Calycadenia pauciflora,,4,,,,
11,Castilleja attenuata,,,,,,
11,Centaurea solstitialis,,,,,,
11,Cerastium glomeratum,,,,,,
11,Chlorogalum pomeridianum,,,,2,,
11,Clarkia purpurea,0.1,0.1,0.1,,,wide leaves
11,Delphinium variegatum,0.3,,0.2,,1,
11,Dichelostemma capitatum,0.1,0.1,0.2,,0.4,
11,Eremocarpus setigerus,,,,,,
11,Eriodium cicutarium,0.1,,,,,
11,Epilobium spp. ,,,,,,
11,Filago gallica,,,,,,
11,Gastridium ventricosum,,,,,,
11,Gilia tricolor,,,,,,
11,Githopsis specularioides,,,,,,
11,Grindelia camporum,22,6,,1.5,,
11,Hemizonia congesta,,,,,26,
11,Holocarpha virgata,0.1,,19,13,,
11,Hypochaeris glabra,0.1,0.1,,,,
11,Lactuca serriola,,,,0.3,25,
11,Lasthenia californica,2.5,4,13,,0.6,
11,Lepidium nitidum,,,,,,
11,Linanthus bicolor,0.1,,,,0.1,
11,Lolium multiflorum,,,,,3,
11,Lomatium dasycarpum,,2,,,,
11,Lomatium macrocarpum,,,,,,
11,Lomatium marginatum,,,,,,
11,Lotus humistratus,,,,1,,
11,Lotus wrangelianus,1.3,1,26,27,0.2,
11,Lupinus bicolor,17,0.4,0.6,6.5,3,
11,Medicago polymorpha,,,,,,
11,Micropus californicus,14,1,0.3,,,
11,Microseris douglasii,,,,,,
11,Mimulus douglasii,,,,,,
11,Nassella pulchra,7,4,8,8,27,
11,Navarretia jepsonii,,,0.3,1,,
11,Navarretia pubescens,0.5,5,,,,
11,Pectocarya pusilla,,,,,,
11,Plantago erecta,,2.5,4,0.3,0.1,
11,Plectritis ciliosa,0.2,,0.1,,,
11,Poa secunda,0.5,,,1.2,,
